cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,0.143397,0.152076,0.00788514,0.00770799,0.127536,0.134604,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,,
1,initial_eval,1,1,False,False,0.135688,0.12841,0.00727768,0.150274,0.159827,0.0284345,0.0282743,0.128403,0.13568,True,0.07119832499999999,0.0629245,0.129433,-3.32813e-26,0.1868,0.0107474,0.0814975,0.04358,0.0546042,0.339602,0.339371,1.20386,1.20372,,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,0.142621,0.150384,0.0118544,0.0117627,0.130797,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,,
3,initial_eval,3,0,False,False,0.131512,0.138218,-0.00670622,0.145734,0.153742,0.00818718,0.00803682,0.131505,0.13821,False,0.09145946249999999,0.177598,0.0626052,0.0967103,0.0976938,0.0551307,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288,,,,,,,,
4,train,0,0,True,True,0.128787,0.135701,-0.00691319,0.143396,0.152076,0.00788507,0.00770791,0.12878,0.135693,False,0.09056831250000001,0.0587714,0.194422,0.0493447,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878485,0.927907,1.641e-08,1.49532e-08,-0.00635672,0.000556475,0.0827244,0.00347799,0.0827244,1.03936e-05
5,train,1,1,True,True,0.136057,0.12941,0.00664633,0.150934,0.159833,0.0284818,0.0282701,0.129403,0.136049,True,0.07119273749999999,0.062923,0.1294,-2.02639e-26,0.186798,0.0107464,0.0814954,0.0435765,0.0546026,0.339586,0.339411,0.879522,0.926422,1.58192e-06,1.53472e-06,0.00755082,0.000904488,0.055759,0.00356107,0.055759,1.014e-05
6,train,2,1,True,True,0.137531,0.130872,0.00665968,0.143043,0.15079,0.0118496,0.0117539,0.130864,0.137524,True,0.0967402875,0.101402,0.068849,0.150535,0.0420288,0.0842051,0.0846064,0.121207,0.121089,0.341461,0.341441,0.880415,0.925206,1.64889e-08,1.43817e-08,0.00717801,0.000518331,1.13296e-07,0.00354653,0.00354653,4.16244e-06
7,train,3,0,True,True,0.132383,0.13954,-0.00715699,0.146161,0.154656,0.00817121,0.00800503,0.132376,0.139533,False,0.09142293750000001,0.177603,0.0624335,0.0966652,0.0976356,0.0551296,0.112825,0.0751032,0.0539884,0.339971,0.339876,0.880218,0.925536,1.64214e-08,1.4962e-08,-0.00654943,0.000607565,0.0302346,0.00346318,0.0302346,7.55614e-06
8,final_eval,0,0,False,False,0.129643,0.136362,-0.00671885,0.144913,0.152876,0.00780814,0.00766836,0.129636,0.136354,False,0.090556625,0.0586872,0.194737,0.0492789,0.0989667,0.0478398,0.0691796,0.111619,0.0941448,0.339314,0.339236,1.14705,1.14704,,,,,,,,
9,final_eval,1,1,False,False,0.136889,0.129405,0.00748416,0.151294,0.161422,0.0285212,0.0283552,0.129398,0.136881,True,0.0712019,0.0628254,0.129395,-3.32306e-26,0.187009,0.0107454,0.0814868,0.0435622,0.0545914,0.339518,0.339261,1.13969,1.13967,,,,,,,,
10,final_eval,2,1,False,False,0.13784,0.131274,0.00656588,0.143461,0.151166,0.0118446,0.0117494,0.131267,0.137833,True,0.0967502875,0.101498,0.0688473,0.150519,0.0420268,0.0842042,0.084604,0.12121,0.121093,0.341398,0.341388,1.13967,1.13966,,,,,,,,
11,final_eval,3,0,False,False,0.132527,0.139167,-0.00664045,0.146694,0.154481,0.0081366,0.00799574,0.132519,0.13916,False,0.09149617499999999,0.178193,0.0624316,0.096664,0.097634,0.0551286,0.112829,0.0751023,0.0539869,0.339888,0.339827,1.13967,1.13965,,,,,,,,
