cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,max_abs_hidden_apply_gate_signal,max_hidden_apply_gate_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,0.143397,0.152076,0.00788514,0.00770799,0.127536,0.134604,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,,,,,
1,initial_eval,1,1,False,False,0.135688,0.12841,0.00727768,0.150274,0.159827,0.0284345,0.0282743,0.128403,0.13568,True,0.07119832499999999,0.0629245,0.129433,-3.3507e-26,0.1868,0.0107474,0.0814975,0.04358,0.0546042,0.339602,0.339371,1.20386,1.20372,,,,,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,0.142621,0.150384,0.0118544,0.0117627,0.130797,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.131512,0.138218,-0.00670622,0.145734,0.153742,0.00818718,0.00803682,0.131505,0.13821,False,0.09145946249999999,0.177598,0.0626052,0.0967103,0.0976938,0.0551307,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288,,,,,,,,,,,
4,train,0,0,True,True,0.128787,0.135701,-0.00691319,0.143396,0.152076,0.00788507,0.00770791,0.12878,0.135693,False,0.09056831250000001,0.0587714,0.194422,0.0493447,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878485,0.927907,1.64098e-08,1.49529e-08,0.125648,9.40512e-05,1.17456,-0.00638277,0.000530426,0.0827304,0.00347799,0.0827304,0.0182363
5,train,1,1,True,True,0.136623,0.129772,0.00685135,0.155511,0.164355,0.00804042,0.00781695,0.129765,0.136616,True,0.06397787374999998,0.0515206,0.122599,-1.51935e-26,0.188176,0.00402769,0.0622289,0.0426522,0.0406186,0.337839,0.33776,0.87928,0.926785,1.47391e-08,1.34516e-08,0.119752,0.0497503,1.19445,0.00809441,0.00124306,0.0602212,0.00356107,0.0602212,0.0191185
6,train,2,1,True,True,0.144788,0.137837,0.00695153,0.164028,0.171665,0.00828982,0.00815015,0.137829,0.14478,True,0.0777352875,0.0821252,0.0483632,0.125678,0.0196266,0.0707966,0.0699877,0.103889,0.101416,0.33956,0.339565,0.883528,0.921231,1.57047e-08,1.43266e-08,0.0608354,0.0474117,1.18491,0.00764147,0.000689937,1.18323e-07,0.0035465,0.0035465,0.01845
7,train,3,0,True,True,0.131586,0.138762,-0.00717561,0.154621,0.162623,0.00726964,0.00709652,0.131579,0.138754,False,0.06934862500000001,0.192649,0.0263661,0.0535444,0.0805351,0.02347,0.110079,0.0553494,0.012796,0.337962,0.337924,0.879708,0.926242,2.58466e-06,2.51095e-06,0.130845,0.0379454,1.17544,-0.00659075,0.000584858,0.0759197,0.00346318,0.0759197,0.0201528
8,final_eval,0,0,False,False,0.133093,0.140054,-0.00696168,0.162299,0.170079,0.0120137,0.0117252,0.133085,0.140046,False,0.052526883749999996,0.00508382,0.155133,0.00302933,0.0283249,0.0391273,0.00656652,0.150304,0.0326462,0.337706,0.337695,1.13988,1.13987,,,,,,,,,,,
9,final_eval,1,1,False,False,0.143938,0.135965,0.00797354,0.16659,0.176259,0.00888189,0.00857498,0.135957,0.143931,True,0.042725153625,0.0105189,0.0979705,-1.87731e-27,0.173125,-2.59694e-26,0.000740129,0.0594467,-2.14457e-26,0.337381,0.337269,1.13965,1.13962,,,,,,,,,,,
10,final_eval,2,1,False,False,0.159568,0.152424,0.00714495,0.186992,0.194376,0.00246091,0.00213184,0.152415,0.15956,True,0.0495668,0.0546568,0.0199107,0.0988382,-1.42857e-25,0.0386994,0.0427967,0.0680892,0.0735434,0.336556,0.336569,1.13948,1.13947,,,,,,,,,,,
11,final_eval,3,0,False,False,0.134999,0.141567,-0.00656772,0.160386,0.167256,0.0114516,0.0113165,0.134992,0.141559,False,0.05917874249999999,0.18342,0.0162415,0.0327791,0.0844482,0.00819444,0.104957,0.0433897,-5.15178e-26,0.33828,0.338306,1.13983,1.13982,,,,,,,,,,,
