cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,max_abs_hidden_apply_gate_signal,max_hidden_apply_gate_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,0.143397,0.152076,0.00788511,0.00770796,0.127536,0.134603,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,,,,,
1,initial_eval,1,1,False,False,0.135686,0.128408,0.007278,0.150274,0.159827,0.0284345,0.0282743,0.128401,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.35105e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.20386,1.20372,,,,,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,0.142621,0.150384,0.0118544,0.0117627,0.130797,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818712,0.00803675,0.131504,0.13821,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288,,,,,,,,,,,
4,train,0,0,True,True,0.128787,0.135701,-0.00691319,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878485,0.927907,7.35517e-09,8.06568e-09,0.168085,1.17649,1.17649,-0.00614808,0.000765109,0.165334,3.63609e-06,0.165334,0.0490783
5,train,1,1,True,True,0.131,0.124054,0.00694601,0.14747,0.155536,0.00631803,0.00606953,0.124047,0.130993,True,0.07182382749999999,0.0515205,0.122595,-1.54561e-26,0.226139,0.00402762,0.0622288,0.0664711,0.0416086,0.33766,0.337589,0.874652,0.93358,7.7847e-09,9.75554e-09,0.209689,0.0493081,1.19446,0.0292126,0.0222666,0.495303,3.41479e-06,0.495303,0.0391944
6,train,2,1,True,True,0.142687,0.13579,0.00689653,0.159508,0.167174,0.00889055,0.00878226,0.135783,0.142679,True,0.08371656250000001,0.0821251,0.0681726,0.125678,0.0341027,0.0707965,0.0699876,0.117069,0.101801,0.340043,0.34004,0.882642,0.92233,0.00397327,9.37831e-09,0.0784597,1.16469,1.19446,0.00708642,0.000189894,6.71021e-07,3.44109e-06,3.44109e-06,0.0490823
7,train,3,0,True,True,0.130077,0.138109,-0.00803204,0.148828,0.163774,0.0050784,0.0099736,0.13007,0.138102,False,0.076602755,0.192649,0.0508146,0.0538455,0.109098,0.0234698,0.110079,0.0630445,0.00982164,0.338641,0.337693,0.87692,0.930323,0.0766767,0.0571151,0.16586,1.2,1.2,-0.00648703,0.001545,0.152103,3.64426e-06,0.152103,0.0483795
8,final_eval,0,0,False,False,0.124394,0.130736,-0.00634177,0.144242,0.15093,0.0100954,0.0113661,0.124388,0.130729,False,0.06289485,0.00508697,0.192425,0.00320324,0.0519831,0.0391702,0.00660089,0.180924,0.0237654,0.33753,0.337537,1.14823,1.14822,,,,,,,,,,,
9,final_eval,1,1,False,False,0.152973,0.129672,0.0233014,0.154805,0.187776,0.00747761,0.0131592,0.129665,0.152966,True,0.05091499625,0.0105181,0.134746,-1.98577e-27,0.176705,-2.59996e-26,0.00079477,0.0845561,-1.53865e-26,0.338898,0.336487,1.13965,1.13943,,,,,,,,,,,
10,final_eval,2,1,False,False,0.159165,0.152021,0.00714357,0.186652,0.194023,0.00274814,0.00235527,0.152013,0.159156,True,0.0510148,0.0546666,0.0405345,0.0989559,0.0032307,0.0387098,0.042836,0.0767092,0.0524757,0.336483,0.336497,1.13943,1.13956,,,,,,,,,,,
11,final_eval,3,0,False,False,0.134769,0.141225,-0.00645638,0.161821,0.169506,0.0096161,0.0124059,0.134761,0.141217,False,0.061722488750000006,0.183447,0.0417961,0.0330602,0.0703732,0.00820341,0.104992,0.051908,-3.5566e-26,0.338152,0.338069,1.13983,1.13982,,,,,,,,,,,
