cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,max_abs_hidden_apply_gate_signal,max_hidden_apply_gate_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,0.143397,0.152076,0.00788511,0.00770796,0.127536,0.134603,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,,,,,
1,initial_eval,1,1,False,False,0.135686,0.128408,0.007278,0.150274,0.159827,0.0284345,0.0282743,0.128401,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.35105e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.20386,1.20372,,,,,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,0.142621,0.150384,0.0118544,0.0117627,0.130797,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818712,0.00803675,0.131504,0.13821,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288,,,,,,,,,,,
4,train,0,0,True,True,0.128787,0.135701,-0.00691319,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878485,0.927907,1.64106e-08,2.01978e-08,0.16808,2.70606e-07,1.17456,-0.0063773,0.000535893,0.0827501,0.00347799,0.0827501,0.0182363
5,train,1,1,True,True,0.136208,0.129392,0.00681589,0.154689,0.163518,0.00792673,0.00770446,0.129385,0.1362,True,0.06449869625,0.0515206,0.122595,-1.51941e-26,0.190977,0.00402767,0.0622289,0.0426693,0.0419711,0.337824,0.337744,0.879113,0.927014,1.7047e-06,2.26885e-06,0.168112,7.31824e-05,1.16517,0.00816204,0.00134615,0.0698025,0.00356107,0.0698025,0.0191185
6,train,2,1,True,True,0.144616,0.13767,0.00694694,0.163686,0.171325,0.00839287,0.00825353,0.137662,0.144608,True,0.07812772500000001,0.0821252,0.0486042,0.125678,0.0206731,0.0707966,0.0699877,0.103927,0.10323,0.339595,0.3396,0.883458,0.921316,1.57062e-08,1.96673e-08,0.0784559,1.15705,1.15705,0.00743043,0.000483487,1.29118e-07,0.00354653,0.00354653,0.0485599
7,train,3,0,True,True,0.131285,0.138434,-0.0071497,0.153026,0.161015,0.00827191,0.0081048,0.131277,0.138427,False,0.07310055,0.192649,0.0265546,0.075381,0.0825665,0.02347,0.110079,0.0451757,0.0289286,0.338174,0.338132,0.879575,0.92642,1.63407e-08,1.94076e-08,0.165758,0.0503203,1.19446,-0.00659332,0.00055638,0.0759439,0.00346318,0.0759439,0.0209014
8,train,0,0,True,True,0.134226,0.141259,-0.00703293,0.163796,0.171619,0.010494,0.0102122,0.134219,0.141251,False,0.0572017675,0.00508146,0.155192,0.0274239,0.0300583,0.0391273,0.00659858,0.141252,0.0528806,0.337808,0.337795,0.881528,0.923779,1.33086e-08,5.98696e-09,0.116784,0.0474168,1.18491,-0.0065236,0.000509329,0.000420152,0.00344834,0.00344834,0.0214213
9,train,1,1,True,True,0.147579,0.140338,0.00724167,0.170172,0.179125,0.0084204,0.00812291,0.14033,0.147571,True,0.0402469875,-7.40265e-38,0.0939844,-6.82839e-27,0.163867,-1.71552e-26,1.53756e-51,0.0641245,-1.57418e-26,0.337401,0.337296,0.884093,0.920578,2.09938e-08,2.6963e-08,0.128437,0.0379491,1.17544,0.00769107,0.000449395,0.00665326,0.00353192,0.00665326,0.0218659
10,train,2,1,True,True,0.15965,0.152515,0.00713546,0.187391,0.19474,0.0097382,0.00933785,0.152508,0.159644,True,0.032917803749999995,0.0278673,0.00930019,0.108623,2.85736e-28,0.00136344,0.0117232,0.0184627,0.0860026,0.336594,0.33661,0.888543,0.915434,1.49549e-06,1.9742e-06,0.0565956,1.12019,1.16605,0.00765537,0.000519904,1.36613e-07,0.00351727,0.00351727,0.0309788
11,train,3,0,True,True,0.156669,0.164446,-0.0077771,0.191478,0.199505,0.00683119,0.00649317,0.156661,0.164437,False,0.030493953749999997,0.0869438,0.00563853,0.0239754,0.0824804,3.16577e-52,0.0449135,-4.04381e-28,-3.01108e-26,0.336175,0.336167,0.888717,0.915316,1.6821e-08,3.23982e-07,0.0295142,0.0503203,1.19446,-0.00706781,0.000709294,1.36613e-07,0.00343347,0.00343347,0.0235466
12,train,0,0,True,True,0.163778,0.170775,-0.00699689,0.199099,0.206301,0.0133106,0.012466,0.163774,0.170771,False,0.020318246249999998,-2.18405e-26,0.0532589,0.0220943,-2.82479e-26,0.0260519,-5.12005e-27,0.0588849,0.00225597,0.334975,0.335115,0.89139,0.912425,5.35331e-09,3.3358e-10,8.12505e-05,0.0474168,1.18491,-0.0063066,0.000690293,1.36613e-07,0.00341854,0.00341854,0.0233762
13,train,1,1,True,True,0.172651,0.166344,0.00630747,0.201869,0.208357,0.0313646,0.0298822,0.166345,0.172652,True,0.010233075,-4.99381e-75,0.0210172,-4.41835e-27,0.0344731,6.39764e-51,-1.17069e-75,0.0263743,5.207e-52,0.328786,0.330036,0.892763,0.910987,3.0849e-08,3.69891e-11,1.8863e-07,0.0379491,1.17544,0.00693702,0.000629543,1.36612e-07,0.00350257,0.00350257,0.023158
14,train,2,1,True,True,0.173105,0.166163,0.00694238,0.201665,0.208806,0.0291181,0.0278054,0.166163,0.173105,True,0.0056932475,4.97306e-126,-2.24512e-53,0.0420991,5.51265e-30,-6.37106e-102,1.16583e-126,-2.8315e-53,0.00344688,0.330215,0.330578,0.891911,0.911893,6.78312e-08,2.62862e-11,4.37921e-10,0.0285564,1.16605,0.0075762,0.000633821,1.36612e-07,0.00348784,0.00348784,0.022775
15,train,3,0,True,True,0.166367,0.173944,-0.00757617,0.201902,0.209694,0.031747,0.0304064,0.166369,0.173945,False,-5.0845625e-28,1.13709e-174,-5.13344e-102,-4.06765e-27,1.26046e-78,-1.45674e-150,2.2059e-125,-6.47421e-102,8.85915e-52,0.328143,0.329793,0.891152,0.91272,1.74079e-38,6.10257e-14,1.01667e-12,0.0192365,1.15673,-0.00692393,0.000652238,1.36612e-07,0.00340184,0.00340184,0.0222499
16,train,0,0,True,True,0.167019,0.173943,-0.0069239,0.202572,0.209694,0.0318427,0.0304065,0.167021,0.173944,False,7.621212488371e-68,2.60065e-223,-1.17408e-150,-9.3032e-76,2.88283e-127,6.09697e-67,1.70795e-96,-1.48073e-150,2.02619e-100,0.327945,0.329793,0.892098,0.911713,3.56343e-69,1.41671e-16,2.36019e-15,0.00999234,1.14748,-0.00626224,0.000661657,1.36612e-07,0.00338672,0.00338672,0.0216014
17,train,1,1,True,True,0.173943,0.167681,0.00626222,0.203252,0.209693,0.0319404,0.0304065,0.167682,0.173944,True,1.7430999973402498e-116,1.16607e-159,1.85878e-167,-2.1278e-124,6.59352e-176,1.39448e-115,3.90639e-145,-1.03364e-159,4.63425e-149,0.327735,0.329793,0.893046,0.910713,7.3205e-100,3.28971e-19,5.48055e-18,0.000822137,1.13831,0.00691038,0.000648165,1.36611e-07,0.00347295,0.00347295,0.0208474
18,train,2,1,True,True,0.17459,0.16768,0.00691036,0.203252,0.210359,0.0319404,0.0304902,0.167682,0.174592,True,-2.9491125e-143,-1.16159e-210,-1.85164e-218,2.11963e-175,-2.35929e-142,-1.38913e-166,-3.89139e-196,1.02967e-210,-4.61645e-200,0.327734,0.329721,0.892225,0.911582,6.00785e-130,7.64151e-22,1.27233e-20,7.14582e-08,1.13749,0.0075677,0.000657339,1.36611e-07,0.00345808,0.00345808,0.0199737
19,train,3,0,True,True,0.16768,0.175247,-0.00756767,0.203251,0.211035,0.0319405,0.0305755,0.167681,0.175249,False,-5.2856625e-122,1.1573e-261,1.8448e-269,-4.22853e-121,2.35057e-193,1.38399e-217,3.877e-247,-1.02587e-261,4.59938e-251,0.327734,0.329641,0.891414,0.912458,4.92892e-160,1.77546e-24,2.95619e-23,5.33773e-12,1.13749,-0.00689636,0.000671308,1.36611e-07,0.00337157,0.00337157,0.0190436
20,train,0,0,True,True,0.168351,0.175247,-0.00689634,0.203941,0.211035,0.0320401,0.0305755,0.168352,0.175248,False,-1.2089525e-170,2.47033e-310,0.0,-9.67162e-170,5.3763e-242,3.1655e-266,8.86758e-296,-2.47033e-310,1.05198e-299,0.327511,0.329641,0.892355,0.911447,1.01099e-190,4.12414e-27,6.86679e-26,0.0,1.13749,-0.00621513,0.000681207,1.36611e-07,0.00335638,0.00335638,0.0180794
21,train,1,1,True,True,0.175247,0.169031,0.00621511,0.204642,0.211034,0.0321417,0.0305756,0.169033,0.175248,True,-2.765225e-219,0.0,0.0,-2.21218e-218,1.22971e-290,0.0,0.0,0.0,0.0,0.327274,0.329641,0.893319,0.910444,2.06929e-221,9.58219e-30,1.59546e-28,0.0,1.13749,0.00688184,0.000666734,1.36611e-07,0.00344316,0.00344316,0.0170967
22,train,2,1,True,True,0.175913,0.169031,0.00688182,0.204641,0.211719,0.0321417,0.0306625,0.169033,0.175914,True,2.755475e-270,0.0,0.0,2.20438e-269,0.0,0.0,0.0,0.0,0.0,0.327274,0.329553,0.892491,0.911317,1.79516e-246,2.2258e-32,3.70602e-31,0.0,1.13749,0.00755818,0.000676365,1.3661e-07,0.0034282,0.0034282,0.0161091
23,train,3,0,True,True,0.169031,0.176589,-0.00755815,0.204641,0.212415,0.0321418,0.030751,0.169032,0.17659,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327274,0.329457,0.891671,0.912196,1.72705e-254,5.17022e-35,8.60855e-34,0.0,1.13749,-0.0068668,0.000691354,1.3661e-07,0.00334115,0.00334115,0.0151283
24,train,0,0,True,True,0.169722,0.176588,-0.00686678,0.205352,0.212414,0.0322455,0.0307511,0.169723,0.176589,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327023,0.329457,0.892623,0.911185,3.53815e-285,1.20102e-37,1.99972e-36,0.0,1.13749,-0.006165,0.000701775,1.3661e-07,0.00332591,0.00332591,0.0141634
25,train,1,1,True,True,0.176588,0.170423,0.00616498,0.206073,0.212414,0.0323512,0.0307512,0.170424,0.176589,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326757,0.329457,0.893591,0.910177,1.62384e-294,2.7899e-40,4.64525e-39,0.0,1.13749,0.00685121,0.000686228,1.3661e-07,0.00341319,0.00341319,0.0132206
26,train,2,1,True,True,0.177274,0.170423,0.00685119,0.206073,0.213119,0.0323509,0.030841,0.170424,0.177275,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326758,0.329352,0.892755,0.911054,1.18347e-245,6.48052e-43,1.07902e-41,0.0,1.13749,0.00754753,0.000696345,1.36609e-07,0.00339814,0.00339814,0.0123062
27,train,3,0,True,True,0.170422,0.17797,-0.00754751,0.206072,0.213835,0.0323514,0.0309335,0.170424,0.177971,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326756,0.329237,0.891928,0.911937,2.54463e-246,1.50571e-45,2.50705e-44,0.0,1.13749,-0.00683504,0.000712467,1.36609e-07,0.00331063,0.00331063,0.0114257
28,train,0,0,True,True,0.171134,0.177969,-0.00683502,0.206805,0.213834,0.0324594,0.0309335,0.171136,0.17797,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326475,0.329237,0.892884,0.910921,5.20251e-277,3.49769e-48,5.82374e-47,0.0,1.13749,-0.00611156,0.000723457,1.36609e-07,0.00329533,0.00329533,0.0105835
29,train,1,1,True,True,0.177969,0.171857,0.00611154,0.207548,0.213834,0.0325696,0.0309336,0.171859,0.17797,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326176,0.329236,0.893864,0.909912,2.42932e-304,8.12668e-51,1.35311e-49,0.0,1.13749,0.00681826,0.000706722,1.36609e-07,0.00338304,0.00338304,0.00978264
30,train,2,1,True,True,0.178675,0.171857,0.00681824,0.207548,0.21456,0.0325692,0.031027,0.171858,0.178676,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326177,0.329112,0.893019,0.910793,1.90649e-245,1.88771e-53,3.14308e-52,0.0,1.13749,0.00753561,0.000717369,1.36609e-07,0.00336792,0.00336792,0.00902479
31,train,3,0,True,True,0.171856,0.179392,-0.00753559,0.207548,0.215298,0.0325698,0.0311232,0.171858,0.179393,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326176,0.328977,0.892183,0.91168,2.05287e-245,4.38488e-56,7.30093e-55,0.0,1.13749,-0.00680085,0.000734742,1.36608e-07,0.00327999,0.00327999,0.00831091
32,train,0,0,True,True,0.172591,0.179392,-0.00680082,0.208303,0.215297,0.0326823,0.0311232,0.172592,0.179393,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32586,0.328977,0.893151,0.910663,4.18807e-276,1.0188e-58,1.69633e-57,0.0,1.13749,-0.00605447,0.000746352,1.36608e-07,0.00326464,0.00326464,0.00764119
33,train,1,1,True,True,0.179391,0.173337,0.00605445,0.20907,0.215297,0.0327973,0.0311233,0.173338,0.179392,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325526,0.328976,0.894136,0.909648,8.43775e-307,2.36712e-61,3.94132e-60,0.0,1.13749,0.00678275,0.000728301,1.36608e-07,0.00335274,0.00335274,0.00701516
34,train,2,1,True,True,0.180119,0.173336,0.00678273,0.20907,0.216045,0.0327969,0.0312205,0.173338,0.18012,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325527,0.328831,0.893283,0.910533,1.17868e-245,5.49849e-64,9.15511e-63,0.0,1.13749,0.00752226,0.000739528,1.36608e-07,0.00333755,0.00333755,0.00643177
35,train,3,0,True,True,0.173336,0.180858,-0.00752224,0.209069,0.216805,0.0327974,0.0313205,0.173337,0.180859,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325526,0.328673,0.892438,0.911425,1.25847e-177,3.37353e-25,2.12714e-65,0.0,1.13749,-0.00676395,0.000758283,1.36607e-07,0.00324924,0.00324924,0.00588971
36,final_eval,0,0,False,False,0.174094,0.180858,-0.00676393,0.209849,0.216805,0.0329149,0.0313206,0.174095,0.180859,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32513,0.32863,1.13978,1.13976,,,,,,,,,,,
37,final_eval,1,1,False,False,0.180857,0.174093,0.00676392,0.209848,0.216805,0.032915,0.0313207,0.174095,0.180858,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32513,0.32863,1.13958,1.13957,,,,,,,,,,,
38,final_eval,2,1,False,False,0.180857,0.174093,0.00676391,0.209848,0.216804,0.032915,0.0313208,0.174094,0.180858,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32513,0.32863,1.13958,1.13957,,,,,,,,,,,
39,final_eval,3,0,False,False,0.174093,0.180857,-0.00676389,0.209847,0.216804,0.0329151,0.0313208,0.174094,0.180857,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325129,0.32863,1.13958,1.13957,,,,,,,,,,,
