cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,max_abs_hidden_apply_gate_signal,max_hidden_apply_gate_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,0.143397,0.152076,0.00788511,0.00770796,0.127536,0.134603,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.1767,1.17662,,,,,,,,,,,
1,initial_eval,1,1,False,False,0.135686,0.128408,0.007278,0.150274,0.159827,0.0284345,0.0282743,0.128401,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.32832e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.16653,1.16639,,,,,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,0.142621,0.150384,0.0118544,0.0117627,0.130797,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.15642,1.15623,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818712,0.00803675,0.131504,0.13821,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.14639,1.14615,,,,,,,,,,,
4,train,0,0,True,True,0.128787,0.135701,-0.00691319,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878485,0.927908,7.35531e-09,8.06376e-09,0.168085,1.60187e-07,1.14136,-0.00651201,0.00040118,0.165342,3.63608e-06,0.165342,0.0179035
5,train,1,1,True,True,0.136129,0.128911,0.00721802,0.154159,0.163093,0.0148876,0.0144578,0.128904,0.136122,True,0.06490215625000001,0.0517313,0.128185,-1.55455e-26,0.188194,0.00414765,0.0625519,0.0445766,0.0398308,0.337136,0.337144,0.877877,0.928829,6.19728e-06,8.27018e-06,0.160216,0.0143752,1.14136,0.00851854,0.00130052,0.120511,3.42679e-06,0.120511,0.018805
6,train,2,1,True,True,0.143922,0.136983,0.00693852,0.162195,0.169841,0.00822949,0.00809575,0.136976,0.143914,True,0.08047221249999999,0.0825338,0.0618121,0.126105,0.0252802,0.0711253,0.0703293,0.106276,0.100316,0.3398,0.339805,0.883147,0.921702,7.6128e-09,9.71446e-09,0.0790118,0.0586976,1.19944,0.00706231,0.000123786,2.47502e-07,3.44274e-06,3.44274e-06,0.0184863
7,train,3,0,True,True,0.130653,0.137311,-0.00665868,0.151839,0.159502,0.00755575,0.00742828,0.130645,0.137304,False,0.0731748,0.193123,0.0347229,0.0629917,0.0897266,0.0239997,0.110366,0.0597511,0.0107174,0.33827,0.338214,0.880282,0.925385,1.58984e-08,1.93e-08,0.166384,0.0572442,1.19848,-0.0060874,0.000571284,0.155641,3.62891e-06,0.155641,0.0199854
8,final_eval,0,0,False,False,0.130376,0.137048,-0.00667137,0.158913,0.165993,0.0118293,0.0115619,0.130369,0.13704,False,0.05670573499999999,0.010534,0.160735,0.00924555,0.0382117,0.0390082,0.00850223,0.156451,0.0309582,0.337692,0.337733,1.14819,1.14818,,,,,,,,,,,
9,final_eval,1,1,False,False,0.1415,0.13314,0.00835947,0.162688,0.173331,0.00932145,0.00892613,0.133133,0.141492,True,0.046502314999999995,0.0194546,0.104222,-5.81575e-27,0.177534,-2.58866e-26,0.00402082,0.0667871,-2.02825e-26,0.337573,0.337395,1.13966,1.13962,,,,,,,,,,,
10,final_eval,2,1,False,False,0.156541,0.149398,0.00714318,0.183625,0.19102,0.0028874,0.0025725,0.149389,0.156532,True,0.0540330625,0.0616392,0.0349512,0.105235,0.0012764,0.0394079,0.0446549,0.0729957,0.0721042,0.336835,0.336851,1.13949,1.13948,,,,,,,,,,,
11,final_eval,3,0,False,False,0.132149,0.138284,-0.00613525,0.156847,0.162328,0.00946418,0.00945689,0.132141,0.138276,False,0.06422559250000001,0.190142,0.0236996,0.0421224,0.093872,0.00877604,0.107115,0.0480777,-5.03887e-26,0.337902,0.338009,1.13984,1.13983,,,,,,,,,,,
