cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,max_abs_hidden_apply_gate_signal,max_hidden_apply_gate_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,0.143397,0.152076,0.00788511,0.00770796,0.127536,0.134603,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.17661,1.17653,,,,,,,,,,,
1,initial_eval,1,1,False,False,0.135686,0.128408,0.007278,0.150274,0.159827,0.0284345,0.0282743,0.128401,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.32832e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.16644,1.1663,,,,,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,0.142621,0.150384,0.0118544,0.0117627,0.130797,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.15633,1.15615,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818712,0.00803675,0.131504,0.13821,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.1463,1.14606,,,,,,,,,,,
4,train,0,0,True,True,0.128787,0.135701,-0.00691319,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878485,0.927908,1.64102e-08,2.01977e-08,0.16808,4.42389e-07,1.14136,-0.00636138,0.000551812,0.0827527,0.00347799,0.0827527,0.00174204
5,train,1,1,True,True,0.136227,0.129599,0.00662717,0.151355,0.16025,0.00738383,0.00716272,0.129592,0.136219,True,0.0705765625,0.0619246,0.129191,-1.96967e-26,0.186842,0.0100996,0.0796985,0.0436382,0.0532186,0.338283,0.338187,0.879687,0.92619,1.47704e-08,1.85361e-08,0.158148,2.33274e-05,1.14136,0.00759428,0.000967111,0.0559185,0.00356109,0.0559185,0.00175342
6,train,2,1,True,True,0.138153,0.131587,0.00656537,0.144293,0.152032,0.0117285,0.0116289,0.13158,0.138145,True,0.0956969375,0.100655,0.0681893,0.148808,0.0404477,0.0832436,0.0833589,0.120599,0.120274,0.341368,0.341348,0.881057,0.924331,1.65087e-08,1.97893e-08,0.108466,3.04091e-06,1.14135,0.00720136,0.000635984,1.13475e-07,0.00354653,0.00354653,0.00168142
7,train,3,0,True,True,0.131608,0.138804,-0.0071957,0.145953,0.154266,0.00791591,0.00775013,0.131601,0.138796,False,0.09053560000000001,0.183219,0.0595631,0.0950773,0.0957568,0.052948,0.112394,0.0743795,0.0509471,0.33971,0.339625,0.879675,0.926289,1.64184e-08,2.01226e-08,0.153403,2.92055e-06,1.14135,-0.00650407,0.000691635,0.0450008,0.00346318,0.0450008,0.00169255
8,train,0,0,True,True,0.129281,0.136008,-0.00672619,0.145616,0.153515,0.00772227,0.00758298,0.129274,0.136,False,0.0887320375,0.0551671,0.194908,0.0460726,0.0943734,0.0455267,0.0641547,0.119851,0.0898028,0.339093,0.339028,0.879247,0.926812,1.63572e-08,2.00125e-08,0.168717,1.79817e-06,1.14135,-0.00600307,0.000723114,0.0844616,0.00344834,0.0844616,0.0017801
9,train,1,1,True,True,0.137603,0.130659,0.0069433,0.154416,0.16379,0.0123088,0.0119612,0.130652,0.137595,True,0.06799303874999998,0.0587741,0.126988,-1.82174e-26,0.186544,0.00753191,0.0728043,0.0435445,0.0477575,0.337284,0.337103,0.879643,0.926298,1.68907e-08,2.14754e-08,0.157758,1.69021e-05,1.14135,0.00800903,0.00106573,0.0548986,0.00353192,0.0548986,0.00179139
10,train,2,1,True,True,0.139445,0.132758,0.00668671,0.147967,0.155612,0.0113834,0.0112723,0.132751,0.139437,True,0.0931345125,0.0984226,0.0649283,0.145663,0.0361312,0.0814542,0.0811888,0.119086,0.118202,0.34108,0.341082,0.881462,0.923817,2.54726e-08,1.97963e-08,0.104373,1.98037e-05,1.14135,0.00713123,0.000444522,1.75327e-07,0.00351727,0.00351727,0.00171674
11,train,3,0,True,True,0.132116,0.139107,-0.00699096,0.147619,0.155291,0.00770584,0.00756094,0.132109,0.1391,False,0.08883025000000001,0.18877,0.0551654,0.09213,0.0929316,0.0497652,0.1124,0.0730575,0.0464223,0.339307,0.339256,0.880425,0.92524,1.8563e-08,2.00087e-08,0.160673,3.20752e-06,1.14135,-0.00634519,0.00064577,0.0622193,0.00343346,0.0622193,0.00177958
12,train,0,0,True,True,0.130218,0.136607,-0.00638869,0.147925,0.154725,0.00745549,0.00736814,0.130211,0.136599,False,0.0867346875,0.0512259,0.194649,0.0422584,0.0890084,0.0435704,0.0589404,0.129597,0.084628,0.338721,0.338726,0.880637,0.924861,1.07542e-06,1.45053e-06,0.169084,0.000111309,1.14135,-0.00547446,0.00091423,0.0832847,0.00341854,0.0832847,0.00181688
