cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127542,0.13461,-0.00706795,0.143397,0.152076,0.00788511,0.00770796,0.127535,0.134603,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,
1,initial_eval,1,1,False,False,0.135687,0.12841,0.00727718,0.150274,0.159827,0.0284343,0.028274,0.128403,0.135679,True,0.0711984125,0.0629247,0.129433,-3.3511e-26,0.1868,0.0107475,0.0814977,0.04358,0.0546044,0.339602,0.339371,1.20386,1.20372,,,,,,,
2,initial_eval,2,1,False,False,0.137388,0.130804,0.00658473,0.14262,0.150383,0.0118545,0.0117627,0.130796,0.137381,True,0.0967790625,0.101403,0.0690153,0.150537,0.0421663,0.0842062,0.0846077,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145733,0.153741,0.0081872,0.00803684,0.131504,0.13821,False,0.0914598375,0.177598,0.0626058,0.0967108,0.0976944,0.055131,0.112826,0.0751204,0.0539923,0.339947,0.339874,1.18312,1.18288,,,,,,,
4,train,0,0,True,True,0.128787,0.1357,-0.00691315,0.143396,0.152075,0.00788509,0.00770794,0.12878,0.135693,False,0.090569,0.0587721,0.194423,0.0493453,0.099238,0.0478414,0.069186,0.11159,0.0941562,0.339441,0.339319,0.878484,0.927908,0.0,-0.006356,0.000557157,0.0266166,0.00118288,0.0266166,2.6808e-07
5,train,1,1,True,True,0.135303,0.128798,0.0065057,0.15017,0.158966,0.0284653,0.0283011,0.128791,0.135296,True,0.071197875,0.0629239,0.129433,-3.35898e-26,0.186799,0.0107471,0.0814967,0.0435797,0.0546036,0.33963,0.33942,0.879447,0.926495,0.0,0.0072778,0.000772104,0.0217727,0.000998511,0.0217727,2.6808e-07
6,train,2,1,True,True,0.13613,0.129599,0.00653179,0.141644,0.149268,0.0118723,0.0117817,0.129591,0.136123,True,0.09677838750000001,0.101403,0.0690145,0.150536,0.0421656,0.0842058,0.0846072,0.121206,0.121089,0.341498,0.341476,0.879911,0.925869,0.0,0.00729524,0.000763452,0.0067879,0.00128405,0.0067879,2.68079e-07
7,train,3,0,True,True,0.130416,0.137665,-0.00724917,0.143985,0.152636,0.0082149,0.00805317,0.130408,0.137657,False,0.0914593625,0.177598,0.062605,0.0967102,0.0976937,0.0551305,0.112826,0.0751199,0.0539916,0.340006,0.339915,0.878805,0.927502,0.0,-0.00647908,0.000770081,0.01886,0.00123953,0.01886,2.68079e-07
8,train,0,0,True,True,0.12695,0.133728,-0.00677774,0.141871,0.150207,0.0079036,0.00774853,0.126943,0.13372,False,0.09056833749999998,0.0587714,0.194422,0.0493447,0.0992371,0.0478408,0.0691852,0.11159,0.0941555,0.339437,0.339332,0.877492,0.929318,0.0,-0.00603293,0.000744815,0.0264721,0.00140239,0.0264721,2.68079e-07
9,train,1,1,True,True,0.133708,0.127399,0.00630929,0.148541,0.157261,0.0285419,0.0284074,0.127392,0.133701,True,0.07119732499999999,0.0629232,0.129432,-3.35893e-26,0.186799,0.0107466,0.0814957,0.0435793,0.0546028,0.339641,0.3394,0.878968,0.927129,0.0,0.00708598,0.000776691,0.0214664,0.000962829,0.0214664,2.68079e-07
10,train,2,1,True,True,0.134442,0.128181,0.00626102,0.139865,0.147218,0.011905,0.0118143,0.128174,0.134435,True,0.09677782500000001,0.101402,0.0690137,0.150535,0.0421649,0.0842053,0.0846067,0.121206,0.121089,0.341522,0.341505,0.879629,0.926211,0.0,0.00700117,0.000740149,0.00673588,0.00124562,0.00673588,2.68079e-07
11,train,3,0,True,True,0.129083,0.136,-0.00691637,0.142446,0.150627,0.00823188,0.00809112,0.129076,0.135992,False,0.0914587375,0.177598,0.0626041,0.0967096,0.0976929,0.05513,0.112825,0.0751195,0.0539908,0.340005,0.33993,0.878677,0.927642,0.0,-0.00617198,0.000744389,0.0186384,0.00119099,0.0186384,2.68078e-07
12,train,0,0,True,True,0.125681,0.13212,-0.0064385,0.140557,0.148374,0.0079176,0.00779053,0.125674,0.132112,False,0.0905676625,0.0587707,0.194421,0.049344,0.0992361,0.0478403,0.0691845,0.11159,0.0941547,0.33943,0.339346,0.877356,0.929455,0.0,-0.00571742,0.000721087,0.0260685,0.00135597,0.0260685,2.68078e-07
13,train,1,1,True,True,0.132169,0.126041,0.00612771,0.146965,0.155628,0.0286156,0.0285146,0.126034,0.132162,True,0.07119663749999999,0.0629225,0.129431,-3.35888e-26,0.186798,0.0107461,0.0814946,0.0435789,0.054602,0.339654,0.33938,0.878447,0.927834,0.0,0.00691384,0.000786135,0.0211609,0.000928748,0.0211609,2.68078e-07
14,train,2,1,True,True,0.132804,0.126801,0.00600344,0.13812,0.145216,0.0119374,0.0118459,0.126794,0.132797,True,0.09677726249999999,0.101402,0.0690129,0.150535,0.0421641,0.0842049,0.0846062,0.121205,0.121088,0.341545,0.341534,0.879317,0.926598,0.0,0.00672119,0.000717752,0.00668456,0.00120889,0.00668456,2.68078e-07
15,train,3,0,True,True,0.12779,0.134387,-0.00659746,0.14096,0.148675,0.0082478,0.00812895,0.127782,0.13438,False,0.09145838750000002,0.177599,0.0626032,0.0967091,0.0976922,0.0551295,0.112825,0.075119,0.0539901,0.340004,0.339944,0.878536,0.927792,0.0,-0.00600488,0.000592578,0.0184165,0.00114496,0.0184165,2.68078e-07
16,train,0,0,True,True,0.124608,0.13072,-0.00611177,0.139299,0.146601,0.0079301,0.0078332,0.124601,0.130713,False,0.09056709999999998,0.05877,0.194421,0.0493434,0.099235,0.0478397,0.0691837,0.11159,0.094154,0.339421,0.33936,0.87737,0.929384,0.0,-0.00540521,0.000706566,0.0257018,0.00131606,0.0257018,2.68077e-07
17,train,1,1,True,True,0.130683,0.124725,0.00595856,0.14544,0.154066,0.0286858,0.0286228,0.124718,0.130676,True,0.0711960875,0.0629218,0.129431,-3.35884e-26,0.186797,0.0107456,0.0814936,0.0435785,0.0546012,0.339668,0.339359,0.877877,0.928619,0.0,0.00675871,0.000800151,0.0208569,0.00089617,0.0208569,2.68077e-07
18,train,2,1,True,True,0.131358,0.125604,0.00575448,0.13641,0.143256,0.0119695,0.0118768,0.125597,0.131351,True,0.09677670000000001,0.101401,0.0690121,0.150534,0.0421634,0.0842044,0.0846057,0.121205,0.121088,0.341568,0.341563,0.879104,0.926845,0.0,0.00645399,0.000699504,0.00663917,0.00117736,0.00663917,2.68077e-07
