cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.129234,0.136329,-0.00709498,0.14348,0.152164,0.00787707,0.00769975,0.129227,0.136321,False,0.0904758625,0.0586815,0.194322,0.0492556,0.0991446,0.0477516,0.0690947,0.111494,0.0940629,0.339392,0.339271,1.21431,1.21422,,,,,,,
1,initial_eval,1,1,False,False,0.137312,0.130045,0.00726692,0.15035,0.159903,0.0284392,0.028279,0.130038,0.137304,True,0.0711176875,0.0628328,0.129337,-2.77801e-26,0.186699,0.0106648,0.0814045,0.04349,0.0545134,0.339596,0.339365,1.20382,1.20369,,,,,,,
2,initial_eval,2,1,False,False,0.139243,0.1326,0.00664283,0.142737,0.150499,0.0118396,0.0117476,0.132592,0.139235,True,0.0966846125,0.101308,0.0689228,0.150438,0.0420763,0.0841127,0.0845141,0.121111,0.120994,0.341433,0.341408,1.1934,1.19321,,,,,,,
3,initial_eval,3,0,False,False,0.133105,0.139848,-0.00674299,0.145837,0.153846,0.00817116,0.00802055,0.133098,0.13984,False,0.09136564999999999,0.177498,0.0625136,0.0966161,0.0975995,0.0550397,0.11273,0.0750274,0.0539009,0.339939,0.339866,1.18306,1.18282,,,,,,,
4,train,0,0,True,True,0.130379,0.137338,-0.00695916,0.143479,0.152164,0.00787699,0.00769968,0.130372,0.137331,False,0.09047462499999999,0.0586801,0.194321,0.0492543,0.0991426,0.0477505,0.0690931,0.111494,0.0940614,0.339434,0.339313,0.879427,0.926591,0.000108661,-0.00538424,0.00157493,0.000781553,0.00288483,0.00288483,0.000220658
5,train,1,1,True,True,0.13611,0.130659,0.00545096,0.150443,0.158228,0.0284839,0.02838,0.130651,0.136102,True,0.07102533750000001,0.0627148,0.129239,-2.89548e-26,0.186658,0.010587,0.0812009,0.0434484,0.0543546,0.339626,0.339413,0.883241,0.921364,0.000130947,0.00700706,0.0015561,0.000807221,0.00242537,0.00242537,0.000175845
6,train,2,1,True,True,0.137811,0.131508,0.00630351,0.141348,0.148802,0.0118474,0.0117605,0.131501,0.137804,True,0.09652828749999999,0.101203,0.0686697,0.150254,0.0418386,0.0839996,0.0843674,0.121014,0.12088,0.341483,0.341463,0.881624,0.92355,0.000137986,0.0080866,0.00178309,0.000525303,0.00274543,0.00274543,0.000178126
7,train,3,0,True,True,0.130785,0.138817,-0.00803211,0.142853,0.152199,0.00817615,0.00799698,0.130778,0.13881,False,0.09118989999999999,0.177918,0.062083,0.0963836,0.0973174,0.0548279,0.112583,0.0748572,0.0535491,0.339979,0.339883,0.877396,0.929628,4.04654e-05,-0.00618384,0.00184827,0.000772358,0.0029946,0.0029946,0.000173798
8,final_eval,0,0,False,False,0.127664,0.134173,-0.00650958,0.140863,0.149028,0.00790347,0.00773391,0.127657,0.134166,False,0.090204225,0.0582802,0.194221,0.0488692,0.0985602,0.0474828,0.0686094,0.111978,0.093633,0.33938,0.339261,1.1528,1.15286,,,,,,,
9,final_eval,1,1,False,False,0.134587,0.127876,0.00671126,0.147651,0.156702,0.0075129,0.00728235,0.127869,0.134579,True,0.07080539999999999,0.0624305,0.129001,-2.74406e-26,0.186558,0.0103966,0.0807333,0.0433369,0.0539869,0.338312,0.338184,1.14283,1.14283,,,,,,,
10,final_eval,2,1,False,False,0.136346,0.130166,0.00618005,0.139882,0.147205,0.0118604,0.0117753,0.130159,0.136339,True,0.0963963875,0.101131,0.068452,0.150089,0.0416268,0.0838996,0.0842487,0.120928,0.120796,0.341455,0.341436,1.13967,1.13966,,,,,,,
11,final_eval,3,0,False,False,0.130512,0.13679,-0.00627786,0.142888,0.15039,0.00815802,0.00801531,0.130505,0.136783,False,0.09113995000000001,0.178059,0.0619539,0.0963119,0.0972326,0.0547636,0.112546,0.0748058,0.0534468,0.339919,0.339851,1.13968,1.13967,,,,,,,
