cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127542,0.13461,-0.00706795,0.143397,0.152076,0.00788511,0.00770796,0.127535,0.134603,False,0.0905694,0.0587727,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,
1,initial_eval,1,1,False,False,0.135687,0.12841,0.00727718,0.150274,0.159827,0.0284343,0.0282741,0.128403,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.35109e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.20386,1.20372,,,,,,,
2,initial_eval,2,1,False,False,0.137388,0.130804,0.00658474,0.142621,0.150384,0.0118544,0.0117627,0.130796,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818711,0.00803675,0.131504,0.13821,False,0.09145943749999999,0.177598,0.0626051,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288,,,,,,,
4,train,0,0,True,True,0.128787,0.1357,-0.00691318,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878484,0.927908,6.99334e-06,0.00637792,0.0132911,0.0519948,0.076327,0.076327,0.000877571
5,train,1,1,True,True,0.135628,0.141725,-0.00609726,0.161159,0.1599,0.00717073,0.00722716,0.141718,0.135621,False,0.0708046125,0.0624366,0.129036,-2.00907e-26,0.186278,0.0103997,0.0808847,0.043279,0.0541229,0.338134,0.33822,0.920186,0.884287,1.57313e-05,0.00731846,0.0134157,0.0417187,0.0786808,0.0786808,0.000824603
6,train,2,1,True,True,0.150132,0.143701,0.00643144,0.153038,0.160865,0.0115356,0.0114428,0.143693,0.150124,True,0.09610975000000001,0.100801,0.067708,0.149991,0.0412663,0.0838083,0.0840734,0.120765,0.120465,0.341073,0.341072,0.886963,0.917114,9.50104e-06,0.0259994,0.0195679,0.00920373,0.0699739,0.0699739,0.00089842
7,train,3,0,True,True,0.145252,0.171705,-0.0264535,0.156194,0.178684,0.00774442,0.00723613,0.145244,0.171696,False,0.09061457500000002,0.177705,0.0609196,0.0958929,0.0964845,0.0544758,0.112108,0.0743932,0.0529376,0.339614,0.339255,0.8635,0.956174,6.52778e-08,-0.00574961,0.0207038,0.0320606,0.0678445,0.0678445,0.000773499
8,train,0,0,True,True,0.16088,0.167003,-0.00612265,0.166392,0.175878,0.00714158,0.00698653,0.160871,0.166994,False,0.08953232500000001,0.0574946,0.194029,0.047956,0.0969172,0.0469086,0.0679497,0.11211,0.0928935,0.338782,0.338721,0.892034,0.911695,1.66119e-07,0.0319919,0.0381146,0.0517417,0.0593104,0.0593104,0.000853587
9,train,1,1,True,True,0.167987,0.198987,-0.0309994,0.199375,0.187306,0.00627419,0.00652948,0.198976,0.167978,False,0.06987843375,0.0609345,0.127785,-1.95451e-26,0.185905,0.00966467,0.0793717,0.0424983,0.0528683,0.337544,0.337726,0.939312,0.872093,3.02536e-05,0.00422579,0.0352252,0.0412064,0.061277,0.061277,0.00082928
10,train,2,1,True,True,0.206121,0.203397,0.00272337,0.187613,0.195343,0.0106899,0.0106109,0.203386,0.206109,True,0.09514810000000001,0.100262,0.0657983,0.14894,0.039702,0.0832202,0.0833433,0.120133,0.119786,0.340127,0.340181,0.899798,0.904419,8.49593e-06,0.0567718,0.0540484,0.00859738,0.0530703,0.0530703,0.000901448
11,train,3,0,True,True,0.206018,0.263505,-0.0574871,0.191749,0.233521,0.00665387,0.00577483,0.206006,0.26349,False,0.08986606250000001,0.179226,0.0590893,0.0947845,0.0952051,0.0537849,0.111499,0.0735839,0.0517558,0.338777,0.338342,0.872535,0.939029,9.51133e-08,-0.00452548,0.0529617,0.0336473,0.0511531,0.0511531,0.000776125
12,train,0,0,True,True,0.251419,0.255901,-0.00448255,0.219513,0.229873,0.00580042,0.00570453,0.251405,0.255887,False,0.0886173125,0.056206,0.193714,0.046684,0.0947672,0.0461536,0.0668454,0.11278,0.0917883,0.337927,0.33794,0.899961,0.90453,5.65027e-06,0.0409035,0.0453861,0.0512176,0.0437193,0.0512176,0.000856316
13,train,1,1,True,True,0.256604,0.296091,-0.0394867,0.260365,0.250029,0.00395907,0.0050034,0.296075,0.25659,False,0.068909675,0.0593662,0.126396,-1.8987e-26,0.18549,0.008919,0.0778598,0.0416388,0.0516076,0.336628,0.337032,0.919229,0.886169,0.0135638,0.00675633,0.046243,0.0406519,0.0453939,0.0453939,0.000833918
14,train,2,1,True,True,0.309344,0.302836,0.00650784,0.244232,0.255675,0.00881905,0.00878332,0.302819,0.309327,True,0.094160025,0.0996566,0.0638266,0.147858,0.038163,0.0826362,0.0826158,0.119458,0.119066,0.338787,0.338905,0.900056,0.904607,2.37641e-05,0.0443339,0.037826,0.00799214,0.0385251,0.0385251,0.000904565
15,train,3,0,True,True,0.303482,0.347914,-0.0444322,0.249287,0.276832,0.00428449,0.00296433,0.303465,0.347895,False,0.0891084625,0.180662,0.057249,0.0936087,0.0940363,0.0530875,0.110916,0.0727521,0.0505561,0.337565,0.33706,0.888803,0.916239,2.17933e-07,-0.00881975,0.0356124,0.0351679,0.0369688,0.0369688,0.000779141
16,train,0,0,True,True,0.332527,0.341247,-0.00871964,0.25991,0.273423,0.00316002,0.00309185,0.332509,0.341228,False,0.087690425,0.0548904,0.19329,0.0453542,0.0927456,0.0453991,0.0657387,0.113458,0.0906474,0.336702,0.336789,0.899785,0.904928,1.13511e-05,0.0137734,0.0224931,0.050569,0.0310636,0.050569,0.000858968
17,train,1,1,True,True,0.344518,0.357716,-0.0131985,0.284338,0.298857,0.00298429,0.00200355,0.357696,0.344499,False,0.06793588625,0.0577369,0.124897,-1.84062e-26,0.185283,0.00817129,0.0763418,0.0407315,0.0503256,0.335788,0.335984,0.905961,0.89871,0.0482452,0.0126106,0.0258091,0.0403521,0.0323749,0.0403521,0.000836214
18,train,2,1,True,True,0.373645,0.361766,0.0118791,0.266858,0.281817,0.00733688,0.00701918,0.361746,0.373624,True,0.0931544625,0.0989762,0.0617884,0.146734,0.036775,0.0820539,0.0818912,0.118725,0.118292,0.337642,0.337706,0.899337,0.905406,6.72239e-06,0.0232849,0.0114059,0.00738748,0.0270594,0.0270594,0.0009036
19,train,3,0,True,True,0.365667,0.389756,-0.0240892,0.271776,0.288383,0.00234867,0.0027305,0.365647,0.389735,False,0.0883541375,0.181955,0.055377,0.0924043,0.0931362,0.0523835,0.110361,0.0718924,0.0493237,0.336485,0.336378,0.896428,0.908207,4.36953e-06,-0.0152927,0.00879652,0.0365767,0.0258827,0.0365767,0.000781193
20,train,0,0,True,True,0.363877,0.37849,-0.0146127,0.271779,0.285634,0.00355945,0.00326088,0.363857,0.378469,False,0.0867885125,0.0535448,0.192728,0.0440201,0.0910186,0.0446452,0.0646293,0.114221,0.0895011,0.336175,0.336191,0.898676,0.90603,0.0260564,-0.0146789,-6.61796e-05,0.0497217,0.0214728,0.0497217,0.000861641
21,train,1,1,True,True,0.376493,0.36069,0.0158026,0.287412,0.314455,0.0046586,0.00326167,0.36067,0.376472,True,0.06704496125000001,0.0560418,0.123618,-1.78252e-26,0.185562,0.00742139,0.0748172,0.0398461,0.0490532,0.335644,0.335463,0.898328,0.906357,0.0886271,0.0168348,0.00103212,0.0406039,0.0224403,0.0406039,0.0011504
22,train,2,1,True,True,0.38773,0.371798,0.0159322,0.270327,0.286332,0.00811975,0.0070247,0.371777,0.387708,True,0.09216020000000001,0.0982247,0.0598943,0.145578,0.035489,0.0814732,0.0811694,0.117962,0.117491,0.338101,0.338257,0.898405,0.906279,5.92968e-06,0.0160041,7.18608e-05,0.00679113,0.0185442,0.0185442,0.000632556
23,train,3,0,True,True,0.372494,0.388245,-0.0157505,0.274886,0.288159,0.00297543,0.0027951,0.372474,0.388223,False,0.08764851249999998,0.183137,0.0536429,0.0911548,0.0926343,0.051673,0.109823,0.071031,0.0480921,0.336286,0.336294,0.898461,0.906227,0.0182899,-0.0159223,-0.000171825,0.0378863,0.0176959,0.0378863,0.000783429
24,train,0,0,True,True,0.365241,0.380289,-0.0150473,0.274449,0.285832,0.00341663,0.0034065,0.365221,0.380268,False,0.0860012125,0.0522547,0.192573,0.0426549,0.0897303,0.043892,0.0635173,0.115053,0.0883345,0.336072,0.336132,0.898513,0.906165,0.0717085,-0.0147867,0.000260626,0.0494477,0.0145411,0.0494477,0.00111303
25,train,1,1,True,True,0.375543,0.358828,0.0167151,0.287581,0.317327,0.00498791,0.00354492,0.358808,0.375523,True,0.06628926875,0.0544311,0.122678,-1.72325e-26,0.186519,0.00666965,0.0732865,0.0389546,0.0477753,0.335581,0.335364,0.898064,0.906605,0.126853,0.0171964,0.000481321,0.041671,0.015225,0.041671,0.00128399
26,train,2,1,True,True,0.386592,0.370665,0.0159269,0.271672,0.287518,0.00749789,0.00717751,0.370645,0.386571,True,0.0912230875,0.0975327,0.058329,0.144387,0.0343869,0.0808945,0.0804506,0.117156,0.116648,0.337336,0.337351,0.898383,0.906296,0.00422716,0.0160006,7.36314e-05,0.00620861,0.0124684,0.0124684,0.000623765
27,train,3,0,True,True,0.369728,0.3853,-0.0155719,0.276006,0.287568,0.00284015,0.00279817,0.369708,0.385279,False,0.087003025,0.184559,0.052123,0.0898615,0.0922611,0.050956,0.109266,0.0701519,0.0468457,0.336183,0.33622,0.898538,0.906171,0.054827,-0.0158131,-0.000241165,0.0394963,0.0118793,0.0394963,0.00113088
28,train,0,0,True,True,0.360875,0.375366,-0.0144917,0.277328,0.285319,0.00325185,0.00350118,0.360855,0.375346,False,0.08532454999999999,0.0510804,0.19304,0.0412579,0.0885534,0.0431398,0.0624025,0.115975,0.0871474,0.335962,0.336084,0.898575,0.906096,0.112814,-0.0142445,0.000247186,0.0499634,0.00968424,0.0499634,0.00132169
29,train,1,1,True,True,0.375497,0.358491,0.0170056,0.287657,0.320818,0.00537124,0.0036731,0.358472,0.375476,True,0.06561036875000001,0.0530414,0.121911,-1.66284e-26,0.187715,0.00591625,0.0717496,0.0380573,0.0464924,0.335515,0.335254,0.897886,0.906749,0.159232,0.0177475,0.000741855,0.0430681,0.0101548,0.0430681,0.00134254
30,train,2,1,True,True,0.385478,0.369557,0.0159206,0.273028,0.288643,0.00728364,0.00695514,0.369537,0.385457,True,0.0903228375,0.0969813,0.0569954,0.143159,0.0333279,0.080318,0.0797351,0.116303,0.115763,0.337244,0.337272,0.898451,0.906254,0.00320151,0.0159961,7.54599e-05,0.00562598,0.00825211,0.00825211,0.000659312
31,train,3,0,True,True,0.368964,0.384367,-0.0154024,0.277416,0.28677,0.0188658,0.0191371,0.368944,0.384345,False,0.08641535,0.186383,0.0507783,0.0885253,0.0918743,0.0502325,0.108689,0.0692545,0.0455859,0.336351,0.33652,0.898567,0.906143,0.0894793,-0.0156583,-0.000255922,0.0416083,0.00785116,0.0416083,0.0014488
32,train,0,0,True,True,0.362285,0.376402,-0.0141165,0.281159,0.284521,0.0030169,0.00363099,0.362265,0.376381,False,0.08470463749999999,0.049977,0.193929,0.039829,0.0873361,0.0423886,0.0612847,0.116953,0.0859397,0.335832,0.336035,0.898775,0.905934,0.158688,-0.0137415,0.000375042,0.0510557,0.00635143,0.0510557,0.00136235
33,train,1,1,True,True,0.378148,0.360646,0.0175027,0.287976,0.325948,0.00579454,0.00374003,0.360626,0.378128,True,0.06500495,0.051966,0.121384,-1.60145e-26,0.188962,0.0051616,0.0702068,0.037154,0.0452052,0.335428,0.335091,0.897903,0.906763,0.173479,0.0186762,0.00117347,0.0445587,0.00666775,0.0445587,0.00170694
34,train,2,1,True,True,0.384386,0.368473,0.0159131,0.274473,0.289748,0.00708022,0.00674389,0.368453,0.384365,True,0.089421525,0.0966172,0.0555851,0.141893,0.0322696,0.0797437,0.0790226,0.115405,0.114836,0.337146,0.337194,0.898349,0.906325,0.00217664,0.0159906,7.74415e-05,0.00506203,0.00537557,0.00537557,0.00074135
35,train,3,0,True,True,0.367167,0.382304,-0.0151366,0.27939,0.285807,0.00248907,0.00291172,0.367147,0.382282,False,0.08588201250000001,0.188699,0.049395,0.0871474,0.0915693,0.0495026,0.108091,0.0683383,0.0443135,0.335944,0.336062,0.89852,0.906161,0.129983,-0.0155006,-0.000364046,0.0443702,0.00510824,0.0443702,0.00160775
36,final_eval,0,0,False,False,0.361163,0.374469,-0.0133058,0.287257,0.283963,0.00260941,0.00377295,0.361143,0.374448,False,0.08407432499999999,0.0490098,0.194691,0.0383906,0.0861184,0.0416387,0.0601629,0.117872,0.0847112,0.335623,0.335941,1.14658,1.14657,,,,,,,
37,final_eval,1,1,False,False,0.375246,0.356267,0.0189792,0.286097,0.334557,0.00617007,0.0036099,0.356247,0.375225,True,0.06464399875,0.0511885,0.120596,-2.54531e-26,0.191037,0.00457499,0.0691131,0.0364158,0.0442266,0.335355,0.334759,1.13918,1.13909,,,,,,,
38,final_eval,2,1,False,False,0.381725,0.36589,0.0158359,0.275496,0.290319,0.00699001,0.00667686,0.365869,0.381704,True,0.0889618875,0.0967779,0.0546665,0.141035,0.0316694,0.0794332,0.0787531,0.114932,0.114428,0.337044,0.337116,1.13903,1.13902,,,,,,,
39,final_eval,3,0,False,False,0.368206,0.383359,-0.0151536,0.282704,0.284059,0.00215105,0.00296338,0.368185,0.383338,False,0.08593006249999999,0.191002,0.049056,0.0866393,0.0913423,0.0493243,0.108019,0.0681141,0.0439435,0.335789,0.336009,1.13909,1.13906,,,,,,,
