cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127542,0.13461,-0.00706795,0.143397,0.152076,0.00788511,0.00770796,0.127535,0.134603,False,0.0905694,0.0587727,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,
1,initial_eval,1,1,False,False,0.135687,0.12841,0.00727718,0.150274,0.159827,0.0284343,0.0282741,0.128403,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.3511e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.20386,1.20372,,,,,,,
2,initial_eval,2,1,False,False,0.137388,0.130804,0.00658474,0.142621,0.150384,0.0118544,0.0117627,0.130796,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818711,0.00803675,0.131504,0.13821,False,0.09145943749999999,0.177598,0.0626051,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288,,,,,,,
4,train,0,0,True,True,0.128787,0.1357,-0.00691317,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878485,0.927908,0.000104865,-0.00701173,-9.85599e-05,0.026588,6.23822e-05,0.026588,0.000871782
5,train,1,1,True,True,0.136004,0.128831,0.00717272,0.150543,0.160019,0.00746232,0.00722553,0.128824,0.135996,True,0.070806025,0.0624366,0.129068,-3.33018e-26,0.186269,0.0103998,0.0808832,0.0432795,0.0541121,0.338342,0.33822,0.877924,0.928748,0.000123706,0.00742622,0.000253493,0.0215305,4.4752e-05,0.0215305,0.000485467
6,train,2,1,True,True,0.137307,0.130755,0.00655201,0.142999,0.150742,0.0117723,0.0116779,0.130748,0.1373,True,0.09617730000000001,0.100801,0.068094,0.149991,0.0414508,0.0838083,0.0840683,0.120766,0.120439,0.341423,0.3414,0.880592,0.924953,0.000135401,0.00669667,0.000144665,0.00663,4.9103e-05,0.00663,0.00050295
7,train,3,0,True,True,0.131597,0.138243,-0.00664648,0.145973,0.153991,0.00803653,0.00788597,0.131589,0.138235,False,0.09070021250000002,0.17772,0.0613574,0.095957,0.0966791,0.0544714,0.112098,0.0744143,0.0529045,0.339894,0.339818,0.880883,0.924573,5.67397e-05,-0.00657208,7.43932e-05,0.0189782,4.19248e-05,0.0189782,0.000486999
8,train,0,0,True,True,0.128101,0.134993,-0.00689259,0.143866,0.152348,0.0077947,0.00763751,0.128094,0.134986,False,0.0896187875,0.0575956,0.193853,0.0481843,0.0974587,0.0468958,0.0679209,0.112133,0.092909,0.339332,0.339231,0.878056,0.928524,0.000104231,-0.00694642,-5.38296e-05,0.0264533,4.92715e-05,0.0264533,0.000491663
9,train,1,1,True,True,0.135963,0.128738,0.00722459,0.150904,0.160578,0.00748955,0.00723412,0.128731,0.135955,True,0.0699359825,0.0612125,0.128155,-3.25471e-26,0.185688,0.00965286,0.0793276,0.0425775,0.0528744,0.338289,0.338156,0.877745,0.929023,0.000185799,0.00753813,0.000313536,0.0212424,4.2504e-05,0.0212424,0.000485417
