cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127542,0.13461,-0.00706795,0.143397,0.152076,0.00788511,0.00770796,0.127535,0.134603,False,0.0905694,0.0587727,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,
1,initial_eval,1,1,False,False,0.135687,0.12841,0.00727718,0.150274,0.159827,0.0284343,0.0282741,0.128403,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.3511e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.20386,1.20372,,,,,,,
2,initial_eval,2,1,False,False,0.137388,0.130804,0.00658474,0.142621,0.150384,0.0118544,0.0117627,0.130796,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818711,0.00803675,0.131504,0.13821,False,0.09145943749999999,0.177598,0.0626051,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288,,,,,,,
4,train,0,0,True,True,0.128787,0.1357,-0.00691318,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878484,0.927908,1.30565e-226,-0.00707564,-0.000162464,0.00011253,0.000135941,0.000135941,0.000895815
5,train,1,1,True,True,0.135936,0.128773,0.00716232,0.150344,0.159888,0.00746484,0.00722578,0.128766,0.135928,True,0.0708139125,0.0624366,0.129067,-3.33017e-26,0.186295,0.0103998,0.0808859,0.0432886,0.0541384,0.33835,0.33822,0.877911,0.928775,7.1027e-256,0.00733121,0.000168882,6.15913e-05,7.44272e-05,7.44272e-05,0.000490297
6,train,2,1,True,True,0.137169,0.130622,0.00654702,0.142797,0.150541,0.0117768,0.0116838,0.130614,0.137161,True,0.09621445,0.100801,0.0682292,0.149991,0.0415349,0.0838083,0.0840792,0.120768,0.120504,0.341432,0.341408,0.880521,0.925047,3.19818e-285,0.00667666,0.000129641,6.15856e-05,7.43816e-05,7.43816e-05,0.000490345
7,train,3,0,True,True,0.131437,0.138069,-0.0066312,0.14574,0.153712,0.00805835,0.00790624,0.13143,0.138061,False,0.090749825,0.177593,0.0615351,0.0959759,0.0968023,0.0544813,0.112118,0.0745067,0.0529863,0.339907,0.339836,0.880823,0.924651,9.85308e-155,-0.00658783,4.33728e-05,6.15365e-05,7.43357e-05,7.43357e-05,0.0004904
8,train,0,0,True,True,0.127885,0.134816,-0.00693142,0.143407,0.152073,0.00781969,0.00764139,0.127878,0.134809,False,0.0896347,0.0576907,0.193641,0.0482897,0.0977094,0.0469259,0.0680062,0.111774,0.0930407,0.339361,0.339241,0.877811,0.928882,4.41016e-184,-0.00707129,-0.000139868,6.14982e-05,7.42901e-05,7.42901e-05,0.000490454
9,train,1,1,True,True,0.135612,0.128473,0.00713893,0.150382,0.1599,0.0074855,0.00724708,0.128466,0.135604,True,0.07003193,0.0614094,0.128208,-3.26617e-26,0.185669,0.00967884,0.0795232,0.0427137,0.0530533,0.338307,0.33818,0.877752,0.928999,1.97396e-213,0.00722834,8.94113e-05,6.14385e-05,7.42444e-05,7.42444e-05,0.000490507
