cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127542,0.13461,-0.00706795,0.143397,0.152076,0.00788511,0.00770796,0.127535,0.134603,False,0.0905694,0.0587727,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,
1,initial_eval,1,1,False,False,0.135687,0.12841,0.00727718,0.150274,0.159827,0.0284343,0.0282741,0.128403,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.35109e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.20386,1.20372,,,,,,,
2,initial_eval,2,1,False,False,0.137388,0.130804,0.00658474,0.142621,0.150384,0.0118544,0.0117627,0.130796,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818711,0.00803675,0.131504,0.13821,False,0.09145943749999999,0.177598,0.0626051,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288,,,,,,,
4,train,0,0,True,True,0.128787,0.1357,-0.00691317,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878484,0.927908,2.93348e-08,0.0416253,0.0485384,0.0513696,0.0800875,0.0800875,0.000877662
5,train,1,1,True,True,0.0986781,0.140062,-0.0413839,0.159843,0.121528,0.0072059,0.00816135,0.140054,0.0986727,False,0.07080445,0.0624366,0.129035,-2.05809e-26,0.186278,0.0103997,0.0808846,0.0432789,0.0541228,0.338157,0.338577,-0.00520049,1.2,1.16542e-38,-0.0419287,-0.000544876,0.000358096,0.000321956,0.000358096,0.000865959
6,train,2,1,True,True,0.0992493,0.141895,-0.0426452,0.151787,0.10903,0.0115597,0.0124337,0.141887,0.0992438,False,0.0961490375,0.100801,0.0677923,0.149991,0.0414928,0.0838083,0.0840769,0.120765,0.120465,0.341116,0.342521,-0.00480786,1.2,5.21634e-68,-0.0426054,3.97792e-05,6.15856e-05,0.000117145,0.000117145,0.000490569
7,train,3,0,True,True,0.143257,0.100746,0.0425114,0.154871,0.11497,0.00780628,0.00867616,0.14325,0.100741,True,0.090679975,0.177592,0.0611624,0.0959759,0.0967452,0.0544813,0.112115,0.0744322,0.0529358,0.339657,0.34046,-0.002717,1.2,2.95579e-08,0.098092,0.0555806,0.0319415,0.0826752,0.0826752,0.000474438
8,train,0,0,True,True,0.158501,0.0626993,0.095802,0.164521,0.0843427,0.00722305,0.00958666,0.158493,0.0626959,True,0.0896982125,0.0575538,0.194068,0.0482795,0.0976138,0.0469259,0.0679817,0.112169,0.092994,0.338833,0.341205,3.02433e-07,1.2,2.92565e-08,0.156806,0.061004,0.0518412,0.0740314,0.0740314,0.00085316
9,train,1,1,True,True,0.0361955,0.194121,-0.157925,0.196337,0.0660224,0.00633301,0.0112942,0.19411,0.0361935,False,0.06990933875000001,0.0610059,0.127916,-1.96842e-26,0.185619,0.00967891,0.0794155,0.0426495,0.0529899,0.337582,0.342982,3.02432e-07,1.2,6.48104e-39,-0.157428,0.000497679,0.000296749,0.000143191,0.000296749,0.000868373
10,train,2,1,True,True,0.0354996,0.197484,-0.161984,0.184767,0.0530122,0.0107339,0.0152162,0.197473,0.0354976,False,0.09530145,0.100229,0.0661761,0.149132,0.0403788,0.0832236,0.0833651,0.120147,0.11976,0.34019,0.542878,3.02432e-07,1.2,2.90086e-68,-0.161487,0.000496599,6.14303e-05,0.000197308,0.000197308,0.000491174
11,train,3,0,True,True,0.200252,0.0362793,0.163972,0.188754,0.0585221,0.0067987,0.011768,0.200241,0.0362773,True,0.0900290125,0.178847,0.0595958,0.0951772,0.0957554,0.0538034,0.111499,0.0737414,0.0518129,0.338852,0.354286,3.02432e-07,1.2,2.9355e-08,0.237264,0.0732912,0.0332588,0.0652438,0.0652438,0.000475909
12,train,0,0,True,True,0.246727,0.0157093,0.231018,0.2156,0.0459383,0.00600051,0.0135282,0.246713,0.0157085,True,0.0889535,0.0563315,0.193786,0.0473463,0.0961953,0.0461821,0.0669072,0.112881,0.0919986,0.338016,0.878101,3.02431e-07,1.2,2.91505e-08,0.289056,0.0580386,0.0513661,0.0568194,0.0568194,0.00085541
13,train,1,1,True,True,0.0080015,0.293978,-0.285977,0.258335,0.038729,0.00406654,0.015108,0.293962,0.00805124,False,0.06898179500000001,0.05952,0.126686,-1.92752e-26,0.184943,0.00894736,0.0779445,0.0419618,0.0518517,0.336685,1.1014,3.0243e-07,1.2,1.38152e-38,-0.28583,0.000146141,0.000236006,0.000143074,0.000236006,0.000870721
14,train,2,1,True,True,0.00296385,0.297888,-0.294924,0.241781,0.0311573,0.0089201,0.0182874,0.297871,0.00296368,False,0.094428,0.0996003,0.0645009,0.148265,0.0392305,0.0826428,0.0826535,0.1195,0.119031,0.33887,1.19808,3.0243e-07,1.2,6.1836e-68,-0.295424,-0.000499892,7.14762e-05,0.000257172,0.000257172,0.000491733
15,train,3,0,True,True,0.301149,0.00335533,0.297794,0.246894,0.0337424,0.00456338,0.0152733,0.301133,0.00336421,True,0.08936004999999998,0.180007,0.0580139,0.0943581,0.0947593,0.0531191,0.110903,0.0730379,0.0506821,0.337672,1.18185,3.0243e-07,1.2,2.92989e-08,0.340148,0.0423537,0.0344673,0.0488487,0.0488487,0.000477287
16,train,0,0,True,True,0.334578,6.80434e-09,0.334578,0.257588,0.0296684,0.00346797,0.0163688,0.33456,7.83189e-06,True,0.08819588749999999,0.0550846,0.193409,0.046398,0.0947701,0.0454383,0.0658282,0.113653,0.0909859,0.336814,1.19998,3.0243e-07,1.2,3.59015e-08,0.352727,0.0181481,0.0507458,0.0416426,0.0507458,0.000857652
17,train,1,1,True,True,1.81519e-54,0.354102,-0.354102,0.284239,0.0271907,0.0313563,0.0286236,0.354082,1.81509e-54,False,0.06802693,0.0579781,0.125347,-1.88592e-26,0.184251,0.00821354,0.0764646,0.0412534,0.0507078,0.332555,1.2,3.0243e-07,1.2,1.25777e-35,-0.351796,0.00230544,0.000176007,0.000222188,0.000222188,0.000873002
18,train,2,1,True,True,1.22653e-101,0.361379,-0.361379,0.265705,0.0226491,0.00731838,0.019794,0.361359,1.90721e-77,False,0.09353,0.0989115,0.0627678,0.147384,0.0380688,0.0820632,0.0819427,0.118824,0.118278,0.337689,1.2,3.0243e-07,1.2,5.6297e-65,-0.357718,0.00366096,9.37433e-05,0.000300053,0.000300053,0.000492246
19,train,3,0,True,True,0.362784,-2.39925e-101,0.362784,0.270908,0.0240479,0.00247019,0.0169275,0.362764,-2.39912e-101,True,0.0886724625,0.181063,0.0564173,0.0935187,0.0937573,0.0524283,0.11033,0.0723214,0.0495437,0.336553,1.2,3.0243e-07,1.2,1.96421e-06,0.377857,0.0150733,0.035591,0.0351261,0.035591,0.000478593
20,train,0,0,True,True,0.363829,2.38263e-152,0.363829,0.270222,0.0239618,0.0037316,0.0158725,0.363809,2.3825e-152,True,0.087426275,0.0538131,0.192931,0.0454327,0.0933388,0.0446948,0.0647439,0.1145,0.0899559,0.336232,1.2,3.0243e-07,1.2,0.0214069,0.368552,0.00472342,0.0500692,0.0294595,0.0500692,0.000859843
21,train,1,1,True,True,-9.29821e-72,0.361344,-0.361344,0.288539,0.0245203,0.0224987,0.0223813,0.361324,-9.29683e-72,False,0.06708449,0.0563798,0.124199,-1.84378e-26,0.183544,0.00747742,0.0749734,0.0405441,0.0495582,0.335477,1.2,3.0243e-07,1.2,2.64039e-32,-0.367469,-0.00612489,0.000116933,0.000277323,0.000277323,0.00087573
22,train,2,1,True,True,-4.3894e-75,0.368329,-0.368329,0.2694,0.0205446,0.00772444,0.0183463,0.368309,-4.37556e-75,False,0.0926327625,0.0981616,0.0611648,0.146491,0.0369089,0.081485,0.0812318,0.118119,0.1175,0.337451,1.2,3.0243e-07,1.2,1.18766e-61,-0.373828,-0.00549876,0.000125093,0.000329804,0.000329804,0.000492718
23,train,3,0,True,True,0.372795,-1.92361e-66,0.372795,0.274582,0.0217837,0.00307306,0.0151066,0.372774,-1.9235e-66,True,0.0879794,0.182009,0.0549204,0.0926591,0.0927498,0.0517309,0.109777,0.0715913,0.0483977,0.336329,1.2,3.0243e-07,1.2,6.66066e-05,0.376499,0.00370421,0.0366245,0.0245094,0.0366245,0.000479855
24,train,0,0,True,True,0.362687,-4.45799e-115,0.362687,0.272922,0.0231453,0.00359587,0.0151144,0.362667,-4.45774e-115,True,0.086694875,0.0525175,0.192739,0.0444493,0.091902,0.0439516,0.0636545,0.115437,0.0889081,0.336127,1.2,3.0243e-07,1.2,0.0696325,0.366993,0.00430584,0.04972,0.0203122,0.04972,0.00106142
25,train,1,1,True,True,-1.03314e-163,0.361801,-0.361801,0.290036,0.0243318,0.00471802,0.0145928,0.361781,-1.03309e-163,False,0.0661738225,0.0547255,0.123391,-1.80087e-26,0.182822,0.00673938,0.073476,0.0398339,0.0484028,0.335583,1.2,3.0243e-07,1.2,7.30548e-32,-0.366132,-0.00433141,0.000137847,0.000314874,0.000314874,0.000627406
26,train,2,1,True,True,-3.94038e-212,0.36777,-0.36777,0.270524,0.0203352,0.00750594,0.0182974,0.36775,5.54455e-77,False,0.091761225,0.0973496,0.0598941,0.145584,0.0357511,0.0809084,0.0805226,0.117383,0.116697,0.337364,1.2,3.0243e-07,1.2,3.26988e-61,-0.372646,-0.00487609,0.000155974,0.000349928,0.000349928,0.00049315
27,train,3,0,True,True,0.373632,-8.158e-101,0.373632,0.276013,0.0216067,0.00288416,0.015061,0.373611,-8.15755e-101,True,0.0872904875,0.182838,0.0536439,0.0917795,0.0917371,0.0510271,0.109207,0.0708468,0.0472445,0.336225,1.2,3.0243e-07,1.2,0.0312817,0.374856,0.00122399,0.0374976,0.0167261,0.0374976,0.000722672
28,train,0,0,True,True,0.361248,-1.89063e-149,0.361248,0.275764,0.0226456,0.00340238,0.0152101,0.361228,-1.89052e-149,True,0.0860756875,0.0513428,0.193258,0.0434472,0.0904602,0.0432088,0.0625613,0.116485,0.0878422,0.336015,1.2,3.0243e-07,1.2,0.114778,0.365504,0.00425609,0.0503009,0.013736,0.0503009,0.00136502
29,train,1,1,True,True,-4.38155e-198,0.360514,-0.360514,0.291685,0.0240962,0.00499595,0.0146259,0.360494,8.18553e-76,False,0.06531067875,0.0532682,0.122796,-1.75739e-26,0.182087,0.00599943,0.0719703,0.0391227,0.0472418,0.335511,1.2,3.0243e-07,1.2,1.01032e-31,-0.364789,-0.00427505,0.000161022,0.00033999,0.00033999,0.000501322
30,train,2,1,True,True,3.12211e-124,0.369563,-0.369563,0.271624,0.0201201,0.00729125,0.018248,0.369543,-9.47121e-77,False,0.090930525,0.0966672,0.0588868,0.144663,0.0345955,0.0803336,0.0798141,0.116616,0.115868,0.337276,1.2,3.0243e-07,1.2,4.52212e-61,-0.371477,-0.00191423,0.000187055,0.000363244,0.000363244,0.000493546
31,train,3,0,True,True,0.369545,8.94303e-101,0.369545,0.27763,0.0213917,0.00267083,0.0150324,0.369525,8.94254e-101,True,0.08666270000000001,0.184022,0.052575,0.0908802,0.0907199,0.0503168,0.108616,0.0700869,0.0460848,0.336114,1.2,3.0243e-07,1.2,0.0672617,0.373203,0.00365781,0.038806,0.0112191,0.038806,0.00121283
32,train,0,0,True,True,0.359872,2.07256e-149,0.359872,0.279483,0.0219311,0.00314392,0.0153521,0.359852,2.07244e-149,True,0.085541,0.0502553,0.194338,0.0424261,0.0890138,0.0424666,0.0614633,0.117607,0.0867579,0.335883,1.2,3.0243e-07,1.2,0.159397,0.364218,0.00434612,0.0516537,0.00914541,0.0516537,0.00137349
33,train,1,1,True,True,4.80318e-198,0.359242,-0.359242,0.293712,0.0237513,0.0053083,0.0146421,0.359222,4.80291e-198,False,0.06451483,0.052124,0.122455,-1.71313e-26,0.18134,0.00525784,0.0704565,0.0384099,0.0460754,0.335422,1.2,3.0243e-07,1.2,1.16607e-31,-0.36347,-0.00422815,0.000184968,0.000356518,0.000356518,0.000513971
34,train,2,1,True,True,1.83192e-246,0.368436,-0.368436,0.272756,0.0199023,0.00708725,0.0181983,0.368416,1.98657e-78,False,0.090113625,0.0961996,0.0578439,0.143729,0.0334422,0.0797608,0.0791065,0.115814,0.115013,0.337187,1.2,3.0243e-07,1.2,5.21924e-61,-0.37032,-0.0018836,0.000219032,0.000371857,0.000371857,0.000493907
35,train,3,0,True,True,0.367858,9.12729e-101,0.367858,0.279568,0.0211267,0.00243173,0.0150187,0.367838,9.12678e-101,True,0.08609945000000002,0.185788,0.0515121,0.0899613,0.0896983,0.0495999,0.108006,0.0693106,0.0449194,0.335992,1.2,3.0243e-07,1.2,0.104713,0.37154,0.00368132,0.0408544,0.00741667,0.0408544,0.00148554
36,final_eval,0,0,False,False,0.358815,2.11526e-149,0.358815,0.285551,0.0206724,0.00271124,0.0156121,0.358796,2.11514e-149,True,0.0850013625,0.0492977,0.195335,0.0413856,0.087563,0.0417252,0.0603605,0.118689,0.0856549,0.33567,1.2,1.14646,1.19702,,,,,,,
37,final_eval,1,1,False,False,-1.29693e-173,0.359695,-0.359695,0.293815,0.0237251,0.00554586,0.0146879,0.359675,-5.03175e-77,False,0.0639233625,0.0514292,0.12186,-2.7569e-26,0.180956,0.0046861,0.0693887,0.0378592,0.0452077,0.335348,1.2,1.13912,1.18745,,,,,,,
38,final_eval,2,1,False,False,3.08529e-101,0.365794,-0.365794,0.2734,0.0197891,0.00700654,0.0181829,0.365774,-1.87268e-77,False,0.08974685,0.0963626,0.0571753,0.143207,0.0328429,0.079455,0.078838,0.11543,0.114664,0.337095,1.2,1.13906,1.17796,,,,,,,
39,final_eval,3,0,False,False,0.368101,1.14826e-101,0.368101,0.2821,0.0207399,0.00216914,0.0150762,0.368081,1.1482e-101,True,0.08617655000000002,0.187868,0.0511905,0.0897351,0.0894765,0.0494282,0.107929,0.0691648,0.0446203,0.335856,1.2,1.13909,1.16855,,,,,,,
