cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127542,0.134611,-0.00706802,0.143397,0.152076,0.00788511,0.00770796,0.127535,0.134603,False,0.0905694,0.0587727,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,
1,initial_eval,1,1,False,False,0.135687,0.12841,0.00727718,0.150274,0.159827,0.0284343,0.0282741,0.128403,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.35118e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.20386,1.20372,,,,,,,
2,initial_eval,2,1,False,False,0.137388,0.130804,0.00658474,0.142621,0.150384,0.0118544,0.0117627,0.130796,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818711,0.00803675,0.131504,0.13821,False,0.09145943749999999,0.177598,0.0626051,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288,,,,,,,
4,train,0,0,True,True,0.128787,0.1357,-0.00691318,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878484,0.927908,6.08481e-06,0.00638152,0.0132947,0.0520331,0.0763442,0.0763442,0.000877667
5,train,1,1,True,True,0.135628,0.141729,-0.00610099,0.161163,0.159901,0.00717065,0.00722716,0.141721,0.135621,False,0.0708043375,0.0624366,0.129034,-2.00883e-26,0.186278,0.0103997,0.0808846,0.043279,0.0541228,0.338134,0.33822,0.920197,0.884279,5.4254e-06,0.0073174,0.0134184,0.0417019,0.0786938,0.0786938,0.000822289
6,train,2,1,True,True,0.150135,0.143705,0.00643035,0.153043,0.160868,0.0115353,0.0114426,0.143697,0.150127,True,0.0961075375,0.100801,0.0676957,0.149991,0.041261,0.0838083,0.0840733,0.120765,0.120465,0.341073,0.341071,0.886959,0.91711,6.0846e-08,0.0260063,0.0195759,0.00920378,0.0699895,0.0699895,0.000898458
7,train,3,0,True,True,0.145256,0.171716,-0.0264606,0.1562,0.178694,0.00774386,0.00723543,0.145248,0.171707,False,0.09061066250000001,0.177705,0.0608912,0.0958935,0.0964821,0.0544757,0.112107,0.0743932,0.0529376,0.339613,0.339254,0.86348,0.956207,6.52769e-08,-0.00574672,0.0207138,0.0320614,0.0678608,0.0678608,0.000773482
8,train,0,0,True,True,0.161304,0.167443,-0.00613876,0.166409,0.175893,0.00714083,0.00698585,0.161295,0.167434,False,0.089529175,0.0574946,0.194014,0.0479568,0.0969069,0.0469086,0.067949,0.11211,0.0928935,0.338781,0.338721,0.892084,0.911639,5.38427e-07,0.0320297,0.0381685,0.0517171,0.059321,0.059321,0.000853606
9,train,1,1,True,True,0.167998,0.199029,-0.031031,0.199406,0.187319,0.00627334,0.00652902,0.199018,0.167988,False,0.06987544375,0.0609345,0.127755,-1.95421e-26,0.185912,0.00966465,0.0793708,0.0424983,0.0528683,0.337544,0.337725,0.93934,0.872078,3.02483e-05,0.00422228,0.0352533,0.0412169,0.0612895,0.0612895,0.000829434
10,train,2,1,True,True,0.206161,0.203442,0.0027194,0.187641,0.195368,0.0106884,0.0106095,0.20343,0.20615,True,0.09514130000000001,0.100262,0.0657504,0.14894,0.039696,0.0832202,0.0833428,0.120133,0.119786,0.340126,0.34018,0.899795,0.904412,8.3522e-08,0.0567772,0.0540578,0.00859671,0.0530769,0.0530769,0.000901504
11,train,3,0,True,True,0.206003,0.263345,-0.0573421,0.191776,0.23356,0.00665298,0.00577337,0.205992,0.263331,False,0.0898606375,0.179226,0.0590485,0.0947856,0.0952024,0.0537849,0.111498,0.0735839,0.0517558,0.338776,0.338341,0.872575,0.938957,6.5106e-08,-0.00452357,0.0528185,0.0336479,0.0511591,0.0511591,0.000776102
12,train,0,0,True,True,0.25146,0.25594,-0.0044798,0.219543,0.229903,0.00579828,0.00570255,0.251446,0.255926,False,0.08861726250000002,0.0562095,0.19372,0.0466855,0.0947564,0.0461536,0.0668448,0.11278,0.0917883,0.337926,0.337939,0.899963,0.904528,5.65233e-06,0.0409117,0.0453915,0.0511985,0.0437264,0.0511985,0.000856317
13,train,1,1,True,True,0.256654,0.296149,-0.0394957,0.260404,0.250073,0.00395638,0.00500142,0.296133,0.25664,False,0.068906635,0.0593707,0.126361,-1.89847e-26,0.185497,0.00891898,0.0778589,0.0416388,0.0516077,0.336627,0.337031,0.919227,0.886171,0.0135653,0.00675141,0.0462471,0.0406622,0.0453985,0.0453985,0.00083407
14,train,2,1,True,True,0.3094,0.302896,0.00650351,0.244269,0.255712,0.00881637,0.00878073,0.302879,0.309383,True,0.09415248749999999,0.0996529,0.0637766,0.147858,0.0381569,0.0826362,0.0826153,0.119458,0.119066,0.338785,0.338903,0.900058,0.904604,2.37151e-05,0.0443239,0.0378204,0.00799201,0.0385245,0.0385245,0.000904728
15,train,3,0,True,True,0.303545,0.347967,-0.0444225,0.249337,0.276875,0.00428218,0.00296176,0.303528,0.347948,False,0.08909986250000002,0.180638,0.0572077,0.0936096,0.0940331,0.0530875,0.110915,0.072752,0.050556,0.337563,0.337059,0.88881,0.916231,3.62838e-06,-0.00881617,0.0356064,0.0351419,0.0369695,0.0369695,0.000779135
16,train,0,0,True,True,0.332567,0.341284,-0.00871629,0.259929,0.273442,0.00315713,0.00308891,0.332549,0.341265,False,0.08768923750000002,0.0548905,0.193292,0.0453555,0.0927343,0.0453991,0.0657381,0.113457,0.0906474,0.336701,0.336788,0.899787,0.904927,1.13506e-05,0.0137549,0.0224712,0.0505741,0.031062,0.0505741,0.000858968
17,train,1,1,True,True,0.343647,0.356473,-0.0128264,0.28436,0.298892,0.00298543,0.00200039,0.356454,0.343628,False,0.06793214125,0.057737,0.12486,-1.84029e-26,0.185291,0.00817123,0.0763408,0.0407315,0.0503256,0.335788,0.335982,0.905878,0.898796,0.0482566,0.0126131,0.0254394,0.0403611,0.0323752,0.0403611,0.000836347
18,train,2,1,True,True,0.373677,0.361796,0.0118811,0.266877,0.281837,0.00733673,0.00701823,0.361776,0.373656,True,0.09314694999999999,0.0989761,0.0617364,0.146734,0.0367687,0.0820538,0.0818906,0.118724,0.118292,0.337641,0.337705,0.899337,0.905406,6.72246e-06,0.0232625,0.0113814,0.00738765,0.0270573,0.0270573,0.000903623
19,train,3,0,True,True,0.365703,0.389769,-0.0240659,0.271792,0.288394,0.00235019,0.00273261,0.365683,0.389747,False,0.08834847500000001,0.181955,0.0553352,0.0924053,0.0931328,0.0523835,0.11036,0.0718924,0.0493236,0.336485,0.336377,0.896434,0.908201,9.97259e-08,-0.0152994,0.0087665,0.0365774,0.0258793,0.0365774,0.000781182
20,train,0,0,True,True,0.363872,0.378489,-0.0146177,0.271784,0.28564,0.00355835,0.00326072,0.363852,0.378469,False,0.08678755,0.0535489,0.192727,0.0440215,0.0910071,0.0446452,0.0646286,0.114221,0.0895011,0.336175,0.336191,0.898675,0.906031,0.0260479,-0.0146857,-6.8056e-05,0.0497447,0.0214698,0.0497447,0.000861569
21,train,1,1,True,True,0.376485,0.360675,0.0158104,0.287424,0.314474,0.00465703,0.00326148,0.360655,0.376465,True,0.0670415925,0.0560478,0.123579,-1.78221e-26,0.185569,0.00742134,0.0748163,0.0398461,0.0490532,0.335644,0.335463,0.898326,0.906359,0.0878676,0.0168357,0.00102527,0.0406192,0.0224383,0.0406192,0.00116807
22,train,2,1,True,True,0.384663,0.368839,0.0158241,0.27034,0.286346,0.00813189,0.00703706,0.368819,0.384642,True,0.09215116250000001,0.0982215,0.0598327,0.145579,0.0354811,0.0814732,0.0811688,0.117962,0.117491,0.338099,0.338255,0.898381,0.906297,5.92738e-06,0.0160041,0.000179955,0.00679133,0.0185404,0.0185404,0.000677219
23,train,3,0,True,True,0.372506,0.388257,-0.0157514,0.274915,0.28819,0.00297712,0.00279665,0.372485,0.388236,False,0.0876364375,0.183113,0.0535788,0.0911559,0.0926258,0.051673,0.109822,0.071031,0.048092,0.336286,0.336293,0.898461,0.906227,0.0143105,-0.0159244,-0.000172939,0.0378634,0.0176924,0.0378634,0.000783406
24,train,0,0,True,True,0.365228,0.380274,-0.0150461,0.27448,0.285862,0.00341396,0.003404,0.365208,0.380253,False,0.085993825,0.0522492,0.192543,0.0426564,0.0897059,0.043892,0.0635166,0.115053,0.0883345,0.336072,0.336131,0.898513,0.906165,0.071701,-0.0146674,0.000378656,0.049411,0.0145366,0.049411,0.00111254
25,train,1,1,True,True,0.375527,0.358811,0.0167159,0.287601,0.317359,0.00498795,0.00354408,0.358792,0.375507,True,0.06628112625,0.054418,0.122614,-1.72303e-26,0.186532,0.00666961,0.0732855,0.0389546,0.0477753,0.33558,0.335363,0.898063,0.906606,0.129343,0.0172001,0.000484187,0.0416971,0.0152224,0.0416971,0.00136327
26,train,2,1,True,True,0.386608,0.370681,0.0159274,0.271703,0.287551,0.00749518,0.00717449,0.37066,0.386587,True,0.091205175,0.097493,0.0582357,0.144387,0.0343774,0.0808945,0.0804498,0.117156,0.116648,0.337334,0.337349,0.898384,0.906296,0.00421806,0.0160006,7.32081e-05,0.00620338,0.0124655,0.0124655,0.000688815
27,train,3,0,True,True,0.370786,0.386389,-0.0156031,0.276115,0.287701,0.00284468,0.00280128,0.370765,0.386368,False,0.0869730125,0.184398,0.0520254,0.0898626,0.0922805,0.050956,0.109264,0.0701519,0.0468457,0.336182,0.336219,0.898548,0.906164,0.050804,-0.0158181,-0.000214991,0.0393125,0.0118754,0.0393125,0.00103969
28,train,0,0,True,True,0.360874,0.375366,-0.0144918,0.277377,0.285377,0.00325062,0.00349955,0.360854,0.375345,False,0.08531236249999999,0.0510668,0.192969,0.0412594,0.0885415,0.0431398,0.062401,0.115974,0.0871474,0.335962,0.336083,0.898575,0.906096,0.117405,-0.0142401,0.000251669,0.0498656,0.00967948,0.0498656,0.00143514
29,train,1,1,True,True,0.379374,0.362415,0.0169592,0.287603,0.320807,0.00537769,0.00367732,0.362395,0.379353,True,0.06561106500000001,0.053011,0.121851,-1.66264e-26,0.187813,0.00591632,0.0717475,0.0380573,0.0464924,0.335515,0.335253,0.898073,0.906604,0.161276,0.0177565,0.00079728,0.0431909,0.0101501,0.0431909,0.00139246
