cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127542,0.13461,-0.00706795,0.143397,0.152076,0.00788511,0.00770796,0.127535,0.134603,False,0.0905694,0.0587727,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,
1,initial_eval,1,1,False,False,0.135687,0.12841,0.00727718,0.150274,0.159827,0.0284343,0.0282741,0.128403,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.35109e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.20386,1.20372,,,,,,,
2,initial_eval,2,1,False,False,0.137388,0.130804,0.00658474,0.142621,0.150384,0.0118544,0.0117627,0.130796,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818711,0.00803675,0.131504,0.13821,False,0.09145943749999999,0.177598,0.0626051,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288,,,,,,,
4,train,0,0,True,True,0.128787,0.1357,-0.00691317,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878485,0.927908,0.000106178,-0.00635247,0.000560697,0.0267009,0.00119671,0.0267009,0.000871467
5,train,1,1,True,True,0.135407,0.128899,0.00650823,0.150549,0.159339,0.00746141,0.00724028,0.128891,0.135399,True,0.070805975,0.0624366,0.129068,-3.33018e-26,0.186269,0.0103998,0.0808832,0.0432793,0.0541119,0.33834,0.338224,0.879508,0.926417,0.000124219,0.00729125,0.000783021,0.021559,0.00100313,0.021559,0.000485539
6,train,2,1,True,True,0.136683,0.130263,0.00642007,0.142339,0.149952,0.0117837,0.0116916,0.130256,0.136676,True,0.09617650000000001,0.100801,0.0680908,0.149991,0.0414496,0.0838083,0.0840683,0.120765,0.120438,0.341434,0.341413,0.880597,0.924926,0.000134043,0.00731409,0.000894023,0.00661893,0.00130384,0.00661893,0.000503039
7,train,3,0,True,True,0.130463,0.137724,-0.00726084,0.144644,0.153287,0.00805995,0.00789624,0.130456,0.137716,False,0.090699225,0.177718,0.0613544,0.0959575,0.0966775,0.0544714,0.112098,0.0744131,0.0529039,0.339909,0.339822,0.87881,0.927497,5.34931e-05,-0.00647118,0.000789656,0.0190032,0.00126257,0.0190032,0.000486769
8,train,0,0,True,True,0.127013,0.133802,-0.00678878,0.142582,0.15093,0.00781794,0.00766215,0.127006,0.133794,False,0.0896204375,0.0575965,0.193857,0.0481861,0.0974558,0.0468958,0.0679207,0.112142,0.0929096,0.339342,0.339241,0.877512,0.929291,0.00011052,-0.00603683,0.000751952,0.0262611,0.00141227,0.0262611,0.00049325
9,train,1,1,True,True,0.134033,0.127733,0.00629928,0.149637,0.158351,0.00751576,0.00728192,0.127726,0.134025,True,0.0699360325,0.0612125,0.128154,-3.25483e-26,0.185688,0.00965286,0.0793267,0.0425788,0.0528754,0.338292,0.338167,0.879229,0.926772,0.00018106,0.00712605,0.000826773,0.0210553,0.000972728,0.0210553,0.000485336
10,train,2,1,True,True,0.135225,0.129067,0.00615718,0.141478,0.148809,0.0117123,0.0116178,0.12906,0.135217,True,0.09533703749999999,0.100237,0.0667507,0.149089,0.0401999,0.0832175,0.0833202,0.120149,0.119733,0.341372,0.341357,0.880475,0.925047,0.00012417,0.00703298,0.000875802,0.00626451,0.00127032,0.00626451,0.00050271
11,train,3,0,True,True,0.129064,0.135989,-0.0069249,0.143568,0.151697,0.00791689,0.00777366,0.129057,0.135982,False,0.08999925,0.178663,0.0599936,0.0950858,0.0956058,0.0537702,0.111482,0.0736755,0.0517181,0.339794,0.339727,0.878645,0.927688,9.08122e-05,-0.00629159,0.000633312,0.0192091,0.00120599,0.0192091,0.000486744
12,train,0,0,True,True,0.125777,0.132244,-0.00646662,0.141829,0.14967,0.00776982,0.00764134,0.12577,0.132237,False,0.08881,0.0565235,0.193404,0.0471435,0.0958609,0.046131,0.0667886,0.112804,0.0918245,0.33925,0.339174,0.877362,0.929455,0.00015297,-0.00573748,0.00072914,0.025639,0.00136293,0.025639,0.000487257
13,train,1,1,True,True,0.132569,0.12638,0.00618973,0.148765,0.157441,0.00759698,0.00734923,0.126373,0.132562,True,0.06904687749999999,0.0599759,0.127195,-3.17863e-26,0.185077,0.00889592,0.0777768,0.0418181,0.0516363,0.338245,0.338109,0.878537,0.927716,0.000250016,0.00699313,0.000803395,0.020514,0.000938482,0.020514,0.000485223
14,train,2,1,True,True,0.133909,0.127998,0.0059116,0.140669,0.147739,0.0116356,0.0115381,0.127991,0.133902,True,0.09447525,0.0996176,0.0654015,0.14817,0.0389132,0.0826311,0.0825786,0.119497,0.118993,0.341307,0.341299,0.880393,0.925111,0.000114997,0.00677591,0.000864304,0.00591829,0.0012405,0.00591829,0.000502158
15,train,3,0,True,True,0.127895,0.134504,-0.00660884,0.142578,0.150195,0.00778897,0.00766863,0.127888,0.134497,False,0.0892814,0.179489,0.0586424,0.0941858,0.0945258,0.0530625,0.110892,0.0729333,0.0505204,0.339678,0.339632,0.878583,0.927727,0.000138053,-0.00599798,0.000610856,0.0193795,0.00115823,0.0193795,0.000486618
16,train,0,0,True,True,0.124734,0.130881,-0.00614735,0.141117,0.148456,0.00772638,0.00762721,0.124727,0.130874,False,0.08798913750000001,0.0554447,0.192893,0.0460856,0.0942656,0.0453673,0.0656598,0.113475,0.0907221,0.339158,0.339107,0.877365,0.929392,0.000203162,-0.00544196,0.000705399,0.0250642,0.00132317,0.0250642,0.000489969
17,train,1,1,True,True,0.131245,0.125179,0.00606597,0.147932,0.156596,0.0077047,0.0074419,0.125173,0.131238,True,0.06814487500000001,0.0587248,0.126192,-3.10153e-26,0.184436,0.0081371,0.0762284,0.0410468,0.0503939,0.338199,0.338052,0.877952,0.928529,0.000339067,0.00688892,0.000822952,0.0199824,0.000908575,0.0199824,0.000486364
18,train,2,1,True,True,0.13248,0.126793,0.00568712,0.13991,0.146733,0.0115524,0.0114514,0.126786,0.132473,True,0.09359459999999999,0.0989431,0.0640434,0.147228,0.0376258,0.0820466,0.0818429,0.11881,0.118217,0.341241,0.34124,0.880161,0.925383,0.00010571,0.00653226,0.000845138,0.00556921,0.00120765,0.00556921,0.000501328
19,train,3,0,True,True,0.126514,0.132818,-0.0063043,0.141671,0.148768,0.00767505,0.00758003,0.126507,0.13281,False,0.08854645000000001,0.180198,0.0572987,0.0932587,0.0934379,0.0523485,0.110332,0.0721862,0.0493116,0.339561,0.339539,0.878333,0.928029,0.000213783,-0.00558885,0.000715448,0.019442,0.00110618,0.019442,0.000486574
20,train,0,0,True,True,0.123496,0.129349,-0.00585308,0.140443,0.147281,0.00769026,0.00762214,0.12349,0.129342,False,0.08715965,0.0543594,0.192328,0.0450123,0.0926695,0.0446049,0.0645337,0.114167,0.0896024,0.339066,0.339042,0.877158,0.929643,0.000271654,-0.00515605,0.000697034,0.0244154,0.00127995,0.0244154,0.000492761
21,train,1,1,True,True,0.130095,0.124151,0.00594341,0.147134,0.155821,0.00784063,0.00756094,0.124145,0.130088,True,0.06723283500000002,0.0574621,0.125145,-3.02351e-26,0.183767,0.00737658,0.0746819,0.0402814,0.0491487,0.338154,0.337995,0.877459,0.929217,0.00046066,0.00682046,0.000877058,0.0194858,0.000883242,0.0194858,0.000487267
22,train,2,1,True,True,0.13117,0.125665,0.00550443,0.139197,0.145793,0.0102693,0.00957772,0.125658,0.131162,True,0.09269768749999999,0.098215,0.0626772,0.146267,0.0363468,0.081464,0.0811135,0.118091,0.117407,0.34271,0.342601,0.87985,0.925771,0.000120514,0.00631203,0.000807608,0.00523423,0.00117822,0.00523423,0.000500278
23,train,3,0,True,True,0.12391,0.130012,-0.00610223,0.140842,0.147422,0.00757905,0.00751127,0.123903,0.130005,False,0.08779281250000001,0.180792,0.0559625,0.0923064,0.0923434,0.0516281,0.109782,0.0714354,0.0480927,0.339444,0.339447,0.876813,0.930184,0.00036491,-0.00546626,0.000635971,0.0192671,0.00102772,0.0192671,0.000486481
24,train,0,0,True,True,0.122288,0.127881,-0.00559302,0.139797,0.146156,0.00766392,0.00762801,0.122282,0.127874,False,0.0863228375,0.0532696,0.19171,0.0439228,0.0910746,0.0438437,0.0634116,0.114885,0.0884654,0.338974,0.338979,0.876858,0.930024,0.000368388,-0.00489948,0.000693541,0.0237606,0.00123905,0.0237606,0.000495945
25,train,1,1,True,True,0.128839,0.122937,0.0059021,0.146357,0.155123,0.0285845,0.0286607,0.12293,0.128832,True,0.066315555,0.0561944,0.124079,-2.94464e-26,0.183071,0.00661434,0.0731425,0.0395224,0.0479008,0.338698,0.338201,0.876528,0.930565,0.00063079,0.00680252,0.00090042,0.0189496,0.000853597,0.0189496,0.000488279
26,train,2,1,True,True,0.129857,0.12452,0.00533633,0.138525,0.144931,0.0113663,0.011256,0.124513,0.129849,True,0.09178518749999999,0.0974339,0.0613034,0.145287,0.035079,0.0808836,0.0803916,0.11734,0.116563,0.341103,0.341115,0.879477,0.926249,0.000169041,0.00612772,0.000791389,0.00489869,0.00114832,0.00489869,0.000498661
27,train,3,0,True,True,0.123877,0.129643,-0.00576547,0.140091,0.146173,0.00750127,0.00746295,0.12387,0.129635,False,0.08701565000000001,0.181258,0.054634,0.0913315,0.091245,0.050901,0.10921,0.0706811,0.0468646,0.339329,0.339357,0.877732,0.928791,0.00050801,-0.00520283,0.000562638,0.0193958,0.00101721,0.0193958,0.000486356
28,train,0,0,True,True,0.121123,0.126442,-0.00531925,0.139187,0.145043,0.0076488,0.00764755,0.121116,0.126435,False,0.08548069999999999,0.0521749,0.191042,0.0428169,0.089483,0.043084,0.0622927,0.115641,0.0873111,0.338881,0.338918,0.876618,0.930317,0.000521048,-0.00462508,0.00069417,0.0231008,0.00120096,0.0231008,0.000499868
29,train,1,1,True,True,0.127623,0.121759,0.00586378,0.145609,0.154461,0.00818744,0.00786834,0.121753,0.127616,True,0.0653930075,0.0549099,0.123009,-2.86467e-26,0.182353,0.00585056,0.0716011,0.0387703,0.0466502,0.338069,0.337881,0.875535,0.932032,0.00089577,0.00679177,0.00092799,0.0184039,0.000825553,0.0184039,0.000489261
30,train,2,1,True,True,0.127771,0.122495,0.00527575,0.137903,0.144109,0.0112637,0.0111482,0.122488,0.127763,True,0.0908564875,0.0966024,0.059923,0.144286,0.0338173,0.0803056,0.0796736,0.116559,0.115685,0.341031,0.341049,0.878009,0.928298,0.000229293,0.00591653,0.000640785,0.00455006,0.00109842,0.00455006,0.000496155
31,train,3,0,True,True,0.122814,0.128298,-0.00548413,0.139429,0.144977,0.00743306,0.00742811,0.122807,0.128291,False,0.08622042500000002,0.181633,0.053313,0.0903336,0.0901412,0.0501675,0.108622,0.0699247,0.0456284,0.339213,0.33927,0.877653,0.928851,0.000864285,-0.00492686,0.000557276,0.0192984,0.000981916,0.0192984,0.000486149
32,train,0,0,True,True,0.120005,0.125039,-0.00503376,0.138617,0.143949,0.00764145,0.00767722,0.119999,0.125032,False,0.0846334875,0.0510735,0.190325,0.0416965,0.0878932,0.0423258,0.0611733,0.116439,0.0861416,0.33879,0.338858,0.876455,0.930495,0.000808859,-0.00433626,0.000697499,0.0224366,0.00116406,0.0224366,0.000505985
33,train,1,1,True,True,0.126459,0.120623,0.00583552,0.144894,0.153845,0.0083895,0.00804843,0.120617,0.126452,True,0.06446806625,0.0536187,0.121938,-2.78399e-26,0.181612,0.00508553,0.0700611,0.0380298,0.0453994,0.338028,0.337825,0.874458,0.933687,0.00137026,0.00681776,0.000982239,0.0178754,0.000798128,0.0178754,0.000490109
34,train,2,1,True,True,0.126509,0.121413,0.005096,0.137334,0.143333,0.0111549,0.0110341,0.121406,0.126502,True,0.089913375,0.0957213,0.0585366,0.14327,0.0325643,0.0797302,0.0789606,0.115749,0.114775,0.340955,0.340981,0.877611,0.92883,0.000430672,0.00572139,0.000625386,0.0042321,0.00107133,0.0042321,0.000491835
35,train,3,0,True,True,0.121449,0.126659,-0.00520978,0.13884,0.14385,0.00737622,0.00740753,0.121442,0.126652,False,0.0854055625,0.181895,0.0519991,0.0893181,0.0890338,0.0494284,0.108015,0.0691692,0.0443859,0.339098,0.339185,0.877279,0.929334,0.0018744,-0.00463959,0.000570194,0.0193562,0.000969753,0.0193562,0.000493635
36,final_eval,0,0,False,False,0.11893,0.123666,-0.00473582,0.138095,0.14288,0.00764078,0.00771541,0.118923,0.123659,False,0.083771575,0.0499696,0.189562,0.0405629,0.086307,0.0415713,0.0600557,0.117186,0.0849581,0.338657,0.33876,1.1528,1.15286,,,,,,,
37,final_eval,1,1,False,False,0.12613,0.119724,0.00640654,0.143885,0.153748,0.00855871,0.0081805,0.119717,0.126123,True,0.0638056975,0.0526655,0.121145,-2.71689e-26,0.181256,0.00448968,0.0689629,0.0374575,0.044469,0.33797,0.337731,1.14289,1.14289,,,,,,,
38,final_eval,2,1,False,False,0.126866,0.121819,0.00504701,0.136952,0.143019,0.0111134,0.0109841,0.121812,0.126859,True,0.08946138749999999,0.0953926,0.0578607,0.142684,0.0319203,0.0794156,0.0786869,0.115331,0.1144,0.340879,0.340907,1.13969,1.13969,,,,,,,
39,final_eval,3,0,False,False,0.120713,0.125384,-0.00467107,0.139073,0.143195,0.00735038,0.00742367,0.120706,0.125377,False,0.0852440625,0.182182,0.0516821,0.0890503,0.0887992,0.0492461,0.107935,0.0690069,0.0440509,0.339005,0.339135,1.13972,1.13971,,,,,,,
