cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127542,0.13461,-0.00706795,0.143397,0.152076,0.00788511,0.00770796,0.127535,0.134603,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,
1,initial_eval,1,1,False,False,0.135687,0.12841,0.00727718,0.150274,0.159827,0.0284343,0.028274,0.128403,0.135679,True,0.0711984125,0.0629247,0.129433,-3.3511e-26,0.1868,0.0107475,0.0814977,0.04358,0.0546044,0.339602,0.339371,1.20386,1.20372,,,,,,,
2,initial_eval,2,1,False,False,0.137388,0.130804,0.00658473,0.14262,0.150383,0.0118545,0.0117627,0.130796,0.137381,True,0.0967790625,0.101403,0.0690153,0.150537,0.0421663,0.0842062,0.0846077,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145733,0.153741,0.0081872,0.00803684,0.131504,0.13821,False,0.0914598375,0.177598,0.0626058,0.0967108,0.0976944,0.055131,0.112826,0.0751204,0.0539923,0.339947,0.339874,1.18312,1.18288,,,,,,,
4,train,0,0,True,True,0.128787,0.1357,-0.00691315,0.143396,0.152075,0.00788509,0.00770794,0.12878,0.135693,False,0.090569,0.0587721,0.194423,0.0493453,0.099238,0.0478414,0.069186,0.11159,0.0941562,0.339441,0.339319,0.878484,0.927908,0.0,-0.00632007,0.000593087,0.0399366,0.00118288,0.0399366,2.6808e-07
5,train,1,1,True,True,0.135303,0.128804,0.00649912,0.150211,0.158966,0.0284736,0.0282958,0.128797,0.135296,True,0.071197875,0.0629239,0.129433,-3.35898e-26,0.186799,0.0107471,0.0814967,0.0435797,0.0546036,0.339623,0.339422,0.879467,0.926466,0.0,0.0073218,0.000822675,0.0325571,0.000998679,0.0325571,2.6808e-07
6,train,2,1,True,True,0.13613,0.129599,0.00653186,0.141647,0.149269,0.011873,0.0117817,0.129591,0.136123,True,0.09677838750000001,0.101403,0.0690145,0.150536,0.0421656,0.0842058,0.0846072,0.121206,0.121089,0.341497,0.341476,0.87991,0.925869,0.0,0.00729908,0.00076722,0.00999507,0.00128405,0.00999507,2.68079e-07
7,train,3,0,True,True,0.130416,0.137667,-0.0072509,0.143987,0.152657,0.00821379,0.00805288,0.130408,0.137659,False,0.0914593625,0.177598,0.062605,0.0967102,0.0976937,0.0551305,0.112826,0.0751199,0.0539916,0.340005,0.339912,0.878801,0.927508,0.0,-0.00646513,0.000785768,0.0281502,0.00123958,0.0281502,2.68079e-07
8,train,0,0,True,True,0.126982,0.13373,-0.00674831,0.142,0.150229,0.00789661,0.00775312,0.126975,0.133723,False,0.09056833749999998,0.0587714,0.194422,0.0493447,0.0992371,0.0478408,0.0691852,0.11159,0.0941555,0.339428,0.339333,0.877588,0.929175,0.0,-0.00595672,0.000791589,0.0395472,0.00140247,0.0395472,2.68079e-07
9,train,1,1,True,True,0.133755,0.127413,0.00634166,0.148631,0.157415,0.0285428,0.0284064,0.127406,0.133747,True,0.07119732499999999,0.0629232,0.129432,-3.35893e-26,0.186799,0.0107466,0.0814957,0.0435793,0.0546028,0.339632,0.33939,0.878897,0.927234,0.0,0.00718331,0.000841653,0.0320967,0.000963185,0.0320967,2.68079e-07
10,train,2,1,True,True,0.134446,0.128182,0.00626376,0.139886,0.147235,0.0119069,0.0118128,0.128175,0.134439,True,0.09677782500000001,0.101402,0.0690137,0.150535,0.0421649,0.0842053,0.0846067,0.121206,0.121089,0.341518,0.341503,0.879623,0.92622,0.0,0.00700796,0.000744203,0.00992014,0.00124564,0.00992014,2.68079e-07
11,train,3,0,True,True,0.129099,0.136003,-0.00690422,0.142543,0.150672,0.00822493,0.00809331,0.129092,0.135996,False,0.0914587375,0.177598,0.0626041,0.0967096,0.0976929,0.05513,0.112825,0.0751195,0.0539908,0.339997,0.339925,0.878715,0.927586,0.0,-0.00614197,0.000762247,0.0278137,0.00119109,0.0278137,2.68078e-07
12,train,0,0,True,True,0.125751,0.132125,-0.00637432,0.140839,0.148421,0.0079021,0.00780112,0.125744,0.132118,False,0.0905676625,0.0587707,0.194421,0.049344,0.0992361,0.0478403,0.0691845,0.11159,0.0941547,0.339411,0.339348,0.877579,0.929126,0.0,-0.0055917,0.000782619,0.0389317,0.00135613,0.0389317,2.68078e-07
13,train,1,1,True,True,0.13227,0.126064,0.00620637,0.147114,0.155966,0.0286058,0.0285189,0.126057,0.132263,True,0.07119663749999999,0.0629225,0.129431,-3.35888e-26,0.186798,0.0107461,0.0814946,0.0435789,0.054602,0.339643,0.339354,0.878261,0.928113,0.0,0.00707651,0.00087014,0.0316588,0.000929315,0.0316588,2.68078e-07
14,train,2,1,True,True,0.132811,0.126803,0.00600887,0.138163,0.14525,0.0119407,0.0118427,0.126796,0.132804,True,0.09677726249999999,0.101402,0.0690129,0.150535,0.0421641,0.0842049,0.0846062,0.121205,0.121088,0.341537,0.34153,0.879304,0.926617,0.0,0.00673097,0.000722106,0.00984472,0.00120893,0.00984472,2.68078e-07
15,train,3,0,True,True,0.127823,0.134393,-0.00656975,0.141166,0.148749,0.00823396,0.00813422,0.127816,0.134385,False,0.09145838750000002,0.177599,0.0626032,0.0967091,0.0976922,0.0551295,0.112825,0.075119,0.0539901,0.339987,0.339938,0.878626,0.92766,0.0,-0.0059495,0.000620248,0.0274771,0.00114512,0.0274771,2.68078e-07
16,train,0,0,True,True,0.124723,0.130728,-0.00600508,0.139762,0.146677,0.00790416,0.0078517,0.124716,0.130721,False,0.09056709999999998,0.05877,0.194421,0.0493434,0.099235,0.0478397,0.0691837,0.11159,0.094154,0.339389,0.339365,0.877743,0.928822,0.0,-0.00521802,0.000787053,0.0383735,0.00131628,0.0383735,2.68077e-07
17,train,1,1,True,True,0.130851,0.124758,0.0060926,0.145662,0.154623,0.0286603,0.0286335,0.124751,0.130843,True,0.0711960875,0.0629218,0.129431,-3.35884e-26,0.186797,0.0107456,0.0814936,0.0435785,0.0546012,0.339658,0.339314,0.87754,0.929129,0.0,0.00700218,0.000909577,0.0312315,0.000896987,0.0312315,2.68077e-07
18,train,2,1,True,True,0.131369,0.125606,0.00576237,0.136478,0.14331,0.0119745,0.0118716,0.125599,0.131361,True,0.09677670000000001,0.101401,0.0690121,0.150534,0.0421634,0.0842044,0.0846057,0.121205,0.121088,0.341556,0.341556,0.879094,0.926865,0.0,0.00646681,0.000704445,0.00977591,0.00117742,0.00977591,2.68077e-07
