cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.129234,0.136329,-0.00709498,0.14348,0.152164,0.00787707,0.00769976,0.129227,0.136321,False,0.0904759,0.0586816,0.194322,0.0492557,0.0991447,0.0477516,0.0690947,0.111494,0.0940629,0.339392,0.339271,1.21431,1.21422,,,,,,,
1,initial_eval,1,1,False,False,0.137312,0.130045,0.00726692,0.15035,0.159903,0.0284392,0.028279,0.130038,0.137304,True,0.071117825,0.062833,0.129337,-2.78561e-26,0.186699,0.010665,0.0814048,0.0434901,0.0545137,0.339596,0.339365,1.20382,1.20369,,,,,,,
2,initial_eval,2,1,False,False,0.139243,0.1326,0.00664283,0.142736,0.150498,0.0118396,0.0117477,0.132592,0.139235,True,0.09668491250000001,0.101308,0.0689232,0.150439,0.0420767,0.084113,0.0845144,0.121111,0.120994,0.341433,0.341408,1.1934,1.19321,,,,,,,
3,initial_eval,3,0,False,False,0.133105,0.139848,-0.00674299,0.145836,0.153846,0.00817125,0.00802064,0.133098,0.13984,False,0.091366175,0.177498,0.0625143,0.0966166,0.0976001,0.0550401,0.112731,0.0750278,0.0539015,0.339939,0.339866,1.18306,1.18282,,,,,,,
4,train,0,0,True,True,0.130379,0.137338,-0.00695915,0.143479,0.152163,0.00787705,0.00769973,0.130372,0.137331,False,0.09047533749999999,0.0586808,0.194322,0.0492549,0.0991437,0.0477511,0.069094,0.111494,0.0940622,0.339434,0.339313,0.879427,0.926591,0.0,-0.0061586,0.000800547,0.0400583,0.00122943,0.0400583,2.6808e-07
5,train,1,1,True,True,0.136871,0.130403,0.00646839,0.150291,0.159017,0.0284786,0.0283017,0.130395,0.136863,True,0.071117275,0.0628323,0.129336,-2.68446e-26,0.186699,0.0106645,0.0814038,0.0434897,0.0545129,0.339616,0.339416,0.880573,0.924968,0.0,0.00729553,0.000827144,0.0326538,0.00104017,0.0326538,2.6808e-07
6,train,2,1,True,True,0.138005,0.13143,0.00657482,0.141746,0.149363,0.0118585,0.011767,0.131423,0.137997,True,0.09668421249999999,0.101308,0.0689224,0.150438,0.0420759,0.0841125,0.0845139,0.12111,0.120993,0.341488,0.341467,0.880947,0.924478,0.0,0.00737907,0.000804252,0.00984214,0.00133192,0.00984214,2.68079e-07
7,train,3,0,True,True,0.131923,0.139249,-0.00732585,0.144048,0.152746,0.00819863,0.00803691,0.131915,0.139241,False,0.091365575,0.177498,0.0625135,0.096616,0.0975994,0.0550396,0.11273,0.0750273,0.0539008,0.339997,0.339904,0.879582,0.926428,0.0,-0.00651579,0.000810061,0.0280483,0.00128577,0.0280483,2.68079e-07
8,train,0,0,True,True,0.128556,0.135347,-0.0067909,0.14205,0.150278,0.0078891,0.00774568,0.128549,0.13534,False,0.090474675,0.0586802,0.194321,0.0492543,0.0991427,0.0477505,0.0690932,0.111494,0.0940615,0.339422,0.339326,0.878609,0.927718,0.0,-0.00595319,0.000837711,0.0396915,0.00144716,0.0396915,2.68079e-07
9,train,1,1,True,True,0.135271,0.128967,0.00630397,0.148675,0.157429,0.0285498,0.0284143,0.12896,0.135263,True,0.071116725,0.0628316,0.129336,-2.84038e-26,0.186698,0.0106641,0.0814027,0.0434894,0.054512,0.339625,0.339383,0.880048,0.925641,0.0,0.00714547,0.000841505,0.0322004,0.0010028,0.0322004,2.68079e-07
