cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.127542,0.13461,-0.00706795,0.143397,0.152076,0.00788511,0.00770796,0.127535,0.134603,False,0.0905694,0.0587727,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424
1,initial_eval,1,1,False,False,0.135687,0.12841,0.00727718,0.150274,0.159827,0.0284343,0.0282741,0.128403,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.3511e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.20386,1.20372
2,initial_eval,2,1,False,False,0.137388,0.130804,0.00658474,0.142621,0.150384,0.0118544,0.0117627,0.130796,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818711,0.00803675,0.131504,0.13821,False,0.09145943749999999,0.177598,0.0626051,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288
4,train,0,0,True,True,0.128787,0.1357,-0.00691317,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878485,0.927908
5,train,1,1,True,True,0.134588,0.129125,0.00546274,0.15082,0.158229,0.0285752,0.0283126,0.129118,0.13458,True,0.0710908375,0.062787,0.129326,-3.34963e-26,0.186733,0.0106545,0.0812718,0.0435255,0.0544289,0.339551,0.339439,0.8823,0.922545
6,train,2,1,True,True,0.136028,0.129774,0.0062546,0.141329,0.148764,0.0118662,0.0117711,0.129766,0.136021,True,0.0966028125,0.101269,0.0687333,0.150341,0.0419092,0.0840822,0.0844398,0.121098,0.12095,0.341482,0.341469,0.880687,0.92478
7,train,3,0,True,True,0.12934,0.137274,-0.00793396,0.142893,0.152381,0.00817291,0.00800544,0.129333,0.137266,False,0.0912592375,0.178009,0.0621425,0.096457,0.0973828,0.0548975,0.112652,0.0749288,0.0536043,0.33998,0.339852,0.876598,0.930781
8,final_eval,0,0,False,False,0.1265,0.132644,-0.00614342,0.142316,0.149283,0.00782838,0.00779199,0.126493,0.132636,False,0.090272275,0.0583379,0.194314,0.0489273,0.0986078,0.0475445,0.0686645,0.112089,0.0936932,0.339287,0.33928,1.1528,1.15285
9,final_eval,1,1,False,False,0.133631,0.126432,0.00719871,0.148146,0.15846,0.00755542,0.00720951,0.126425,0.133624,True,0.0708572375,0.0624813,0.129072,-3.32049e-26,0.186639,0.010447,0.0807788,0.0434022,0.0540376,0.338307,0.338098,1.14284,1.14283
10,final_eval,2,1,False,False,0.134635,0.128475,0.00616055,0.140076,0.147386,0.0118807,0.0117686,0.128467,0.134628,True,0.0964637,0.101201,0.0684983,0.150168,0.04168,0.0839744,0.0843159,0.121006,0.120866,0.341427,0.341421,1.13967,1.13967
11,final_eval,3,0,False,False,0.129192,0.135274,-0.00608225,0.143947,0.150627,0.00810504,0.00805325,0.129185,0.135267,False,0.0912078125,0.178169,0.0620041,0.0963817,0.0972943,0.0548292,0.112615,0.0748747,0.0534945,0.339842,0.339849,1.13968,1.13967
