cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.129234,0.136329,-0.00709498,0.14348,0.152164,0.00787706,0.00769974,0.129227,0.136321,False,0.09047573750000001,0.0586814,0.194322,0.0492555,0.0991443,0.0477515,0.0690945,0.111494,0.0940627,0.339392,0.339271,2.98274e-45,-4.64833e-72
1,initial_eval,1,1,False,False,0.13731,0.130043,0.0072669,0.150349,0.159902,0.0284396,0.0282794,0.130036,0.137303,True,0.07111635,0.0628312,0.129335,-2.76607e-26,0.186698,0.0106637,0.0814021,0.0434892,0.0545116,0.339596,0.339365,-9.98615e-38,-3.07502e-89
2,initial_eval,2,1,False,False,0.13924,0.132597,0.00664275,0.142736,0.150498,0.0118393,0.0117474,0.13259,0.139232,True,0.0966821625,0.101306,0.0689194,0.150435,0.0420731,0.0841108,0.084512,0.121109,0.120992,0.341432,0.341408,1.57247e-36,-5.05973e-137
3,initial_eval,3,0,False,False,0.132734,0.139502,-0.00676771,0.145834,0.153843,0.00817053,0.00801991,0.132727,0.139494,False,0.0913625375,0.1775,0.0625081,0.0966126,0.097595,0.0550367,0.112727,0.0750246,0.0538963,0.339939,0.339865,4.22236e-36,4.16762e-89
4,train,0,0,True,True,0.130374,0.137333,-0.006959,0.143476,0.152161,0.00787666,0.00769934,0.130367,0.137325,False,0.0904699,0.0586746,0.194317,0.0492489,0.0991344,0.0477461,0.0690868,0.111496,0.0940554,0.339434,0.339312,0.00144547,0.00149122
5,train,1,1,True,True,0.136566,0.366649,-0.230083,0.31136,0.158346,0.00625422,0.00725096,0.366629,0.136559,False,0.0709803375,0.0626558,0.129194,-1.67935e-26,0.186646,0.010548,0.0810971,0.0434294,0.0542724,0.334717,0.338229,0.00368128,0.0014265
6,train,2,1,True,True,0.391375,0.3755,0.0158754,0.264812,0.276727,0.00964521,0.00861662,0.375479,0.391354,True,0.0964503875,0.101177,0.0685286,0.150153,0.0416946,0.0839399,0.084297,0.120969,0.120844,0.337569,0.337795,0.0037567,0.00391371
7,train,3,0,True,True,0.376067,0.392398,-0.0163301,0.268257,0.296292,0.0051608,0.00412951,0.376047,0.392376,False,0.09111273749999999,0.1783,0.0618246,0.096249,0.0971621,0.0547009,0.11255,0.0747597,0.0533556,0.33662,0.336084,0.00373828,0.00389667
8,train,0,0,True,True,0.387911,0.380001,0.00791006,0.337878,0.289743,-0.000392931,0.00488465,0.38789,0.37998,True,0.0900654625,0.0580342,0.194234,0.0486407,0.0981934,0.0473443,0.0682979,0.112417,0.0933622,0.334613,0.335888,0.00372702,0.00381673
9,train,1,1,True,True,0.397944,0.363495,0.0344492,0.305412,0.375374,0.00716352,0.00405778,0.363475,0.397922,True,0.070508,0.0620435,0.128697,-1.65782e-26,0.18647,0.0101444,0.0800521,0.0432071,0.0534499,0.334558,0.331881,0.00362347,0.00386014
10,train,2,1,True,True,0.384715,0.368692,0.0160229,0.262516,0.271893,0.00954336,0.00857047,0.368671,0.384693,True,0.0960216,0.10093,0.0678101,0.149634,0.0409935,0.0836304,0.0839098,0.120701,0.120564,0.337356,0.337732,0.00368869,0.00384769
11,train,3,0,True,True,0.369918,0.38516,-0.0152424,0.288324,0.289271,0.0165023,0.0174228,0.369897,0.385139,False,0.09079659999999999,0.179268,0.0609757,0.0957807,0.0966191,0.054277,0.112352,0.0744239,0.0526764,0.335219,0.335176,0.0036713,0.00382796
12,train,0,0,True,True,0.381213,0.374237,0.00697583,0.334188,0.283135,0.00154712,0.0051153,0.381192,0.374216,True,0.08967666249999999,0.057419,0.194132,0.0480538,0.0972916,0.0469649,0.067547,0.113314,0.092691,0.334281,0.335883,0.00365618,0.00373901
13,train,1,1,True,True,0.390943,0.356725,0.0342181,0.302221,0.369123,0.0112787,0.0049534,0.356706,0.390922,True,0.07003597875,0.0614332,0.128189,-1.63634e-26,0.186293,0.00974783,0.0790184,0.0429712,0.0526352,0.33355,0.331447,0.00356146,0.00379189
14,train,2,1,True,True,0.377968,0.361978,0.01599,0.267628,0.267844,0.0102373,0.0084632,0.361958,0.377947,True,0.0955844125,0.10066,0.0670877,0.149107,0.040282,0.0833264,0.0835272,0.120419,0.120266,0.336782,0.337644,0.00362136,0.003779
