cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.127542,0.13461,-0.00706795,0.143397,0.152076,0.0078851,0.00770795,0.127535,0.134603,False,0.09056926250000001,0.127542,0.13461,-0.00706795,False,0.0587726,0.194423,0.0493458,0.0992387,0.0478418,0.0691865,0.111589,0.0941567,0.339399,0.339278,1.2185,1.21841
1,initial_eval,1,1,False,False,0.135684,0.128407,0.00727743,0.150274,0.159826,0.0284347,0.0282745,0.1284,0.135677,True,0.0711969625,0.135684,0.128407,0.00727743,True,0.0629228,0.129432,-3.35108e-26,0.186798,0.0107463,0.0814951,0.0435791,0.0546024,0.339602,0.339371,1.20799,1.20785
2,initial_eval,2,1,False,False,0.137386,0.130801,0.00658466,0.14262,0.150383,0.0118542,0.0117624,0.130794,0.137378,True,0.09677632500000001,0.137386,0.130801,0.00658466,True,0.101401,0.0690114,0.150533,0.0421628,0.0842041,0.0846053,0.121205,0.121088,0.341442,0.341417,1.19755,1.19736
3,initial_eval,3,0,False,False,0.13112,0.137852,-0.00673189,0.145731,0.153739,0.00818648,0.00803611,0.131113,0.137845,False,0.09145632499999999,0.13112,0.137852,-0.00673189,False,0.1776,0.0625996,0.0967068,0.0976893,0.0551276,0.112823,0.0751172,0.0539871,0.339947,0.339874,1.18719,1.18696
4,train,0,0,True,True,0.128782,0.135695,-0.00691303,0.143394,0.152073,0.0078847,0.00770754,0.128775,0.135687,False,0.09056355000000002,0.128782,0.135695,-0.00691303,False,0.0587658,0.194418,0.0493393,0.0992287,0.0478364,0.0691788,0.111592,0.0941494,0.339441,0.339319,1.2,0.191032
5,train,1,1,True,True,0.126118,0.133722,-0.00760384,0.162949,0.148919,0.00918724,0.00353341,0.133715,0.126111,False,0.07097155000000001,0.126118,0.133722,-0.00760384,False,0.0626304,0.129203,-3.34058e-26,0.186724,0.0105533,0.0809797,0.0434837,0.0541983,0.337177,0.338429,0.189065,1.2
6,train,2,1,True,True,0.128622,0.121326,0.00729572,0.13371,0.140443,0.0129783,0.0117588,0.121319,0.128615,True,0.0963989,0.128622,0.121326,0.00729572,True,0.10119,0.0683655,0.150085,0.0415403,0.0839298,0.0842536,0.120981,0.120846,0.341181,0.341542,1.2,0.190299
7,train,3,0,True,True,0.115452,0.131747,-0.016295,0.129034,0.149882,0.00735348,0.00887894,0.115446,0.13174,False,0.09105592500000001,0.115452,0.131747,-0.016295,False,0.17892,0.0614923,0.0961172,0.0969938,0.0545823,0.112549,0.0746908,0.053102,0.339862,0.338927,1.19999,0.55486
8,train,0,0,True,True,0.127684,0.11984,0.00784413,0.156585,0.138623,0.00600599,0.00726164,0.127677,0.119833,True,0.08991850000000001,0.127684,0.11984,0.00784413,True,0.0577337,0.194308,0.0483568,0.0977149,0.0471892,0.0679094,0.113102,0.093034,0.337273,0.34009,0.187894,1.2
9,train,1,1,True,True,0.127642,0.119564,0.00807841,0.147019,0.160765,0.00678508,0.00514356,0.119557,0.127635,True,0.07022413375,0.127642,0.119564,0.00807841,True,0.0616527,0.128422,-3.27204e-26,0.186468,0.00990627,0.0793316,0.0431151,0.0528974,0.337841,0.336632,1.2,0.186925
