cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,max_abs_hidden_delta_signal,max_hidden_delta_node,max_abs_hidden_delta_update_signal,max_hidden_delta_update_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.0948329,0.096384,-0.00155112,0.128268,0.129866,0.0162274,0.0162061,0.0948384,0.0963895,False,0.12949225,0.0948329,0.096384,-0.00155112,False,0.129085,0.130834,0.128964,0.129086,0.336653,0.336655,1.21888,1.21886,,,,,,,,,,,,,
1,initial_eval,1,1,False,False,0.0961961,0.0946456,0.00155057,0.128075,0.129672,0.0162257,0.0162043,0.0946511,0.0962016,True,0.1292525,0.0961961,0.0946456,0.00155057,True,0.128892,0.12889,0.128771,0.130457,0.336653,0.336655,1.20864,1.20861,,,,,,,,,,,,,
2,initial_eval,2,1,False,False,0.0957199,0.094197,0.00152296,0.127613,0.129182,0.0162192,0.0161976,0.0942026,0.0957255,True,0.12844225,0.0957199,0.094197,0.00152296,True,0.128415,0.128413,0.128525,0.128416,0.336653,0.336654,1.19849,1.19845,,,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.0944771,0.096022,-0.00154496,0.127902,0.129493,0.0162242,0.0162026,0.0944826,0.0960275,False,0.128955,0.0944771,0.096022,-0.00154496,False,0.129797,0.128712,0.128595,0.128716,0.336654,0.336655,1.18841,1.18836,,,,,,,,,,,,,
4,train,0,0,True,True,0.0947654,0.0963158,-0.00155038,0.128199,0.129796,0.0162302,0.0162088,0.094771,0.0963213,False,0.12942199999999998,0.0947654,0.0963158,-0.00155038,False,0.129015,0.130763,0.128894,0.129016,0.336696,0.336697,1.2,0.037939,1.04498,0.0637093,0.0640895,9.53725e-07,0.0320254,9.52715e-07,0.0319654,0.00290257,0.00445295,0.0100609,0.0372251,0.0372251,0.00395138
5,train,1,1,True,True,0.0755655,0.0799078,-0.00434233,0.112891,0.108417,0.0170355,0.0171816,0.0799143,0.0755723,False,0.111447,0.0755655,0.0799078,-0.00434233,False,0.110592,0.110713,0.11096,0.113523,0.336742,0.336844,4.82249e-07,1.2,1.04498,0.0473351,0.0481762,5.4888e-07,0.0176063,5.4874e-09,0.0175903,-0.00273373,0.0016086,0.00378531,0.0157354,0.0157354,0.0032389
6,train,2,1,True,True,0.0678726,0.0702938,-0.00242125,0.102984,0.100488,0.0176718,0.0177952,0.070301,0.0678799,False,0.10198025,0.0678726,0.0702938,-0.00242125,False,0.101702,0.101707,0.102813,0.101699,0.336833,0.336951,4.8229e-07,1.2,1.04498,0.0388541,0.038855,2.29247e-10,0.00856411,1.2364e-11,0.0085637,-0.00202596,0.000395292,0.00355438,0.00774403,0.00774403,0.003311
7,train,3,0,True,True,0.065337,0.0634995,0.00183745,0.0978751,0.0959811,0.018772,0.0188832,0.0653444,0.0635071,True,0.09822887500000001,0.065337,0.0634995,0.00183745,True,0.102041,0.0969047,0.0970714,0.0968984,0.337039,0.337178,4.8232e-07,1.2,0.0209933,0.0314425,0.0322689,2.44284e-41,3.41632e-32,2.44234e-41,3.41559e-32,0.00183743,-1.40489e-08,7.6414e-06,1.16318e-05,1.16318e-05,4.68074e-05
8,final_eval,0,0,False,False,0.0652446,0.063396,0.00184867,0.0977801,0.0958745,0.0187722,0.0188833,0.0652521,0.0634036,True,0.097934175,0.0652446,0.063396,0.00184867,True,0.0967998,0.101168,0.0969714,0.0967975,0.336995,0.337135,1.1509,1.19693,,,,,,,,,,,,,
9,final_eval,1,1,False,False,0.0632246,0.0650619,-0.00183731,0.0975918,0.0956979,0.0187769,0.0188879,0.0650694,0.0632322,False,0.09786187499999999,0.0632246,0.0650619,-0.00183731,False,0.0966175,0.096882,0.096788,0.10116,0.336997,0.337137,1.14154,1.18711,,,,,,,,,,,,,
10,final_eval,2,1,False,False,0.0617766,0.0637127,-0.00193617,0.0962005,0.0942046,0.0187657,0.018877,0.0637202,0.0617842,False,0.09548400000000001,0.0617766,0.0637127,-0.00193617,False,0.0951739,0.095178,0.0964126,0.0951715,0.336999,0.337138,1.13986,1.17738,,,,,,,,,,,,,
11,final_eval,3,0,False,False,0.0652836,0.0634463,0.00183724,0.0978204,0.0959266,0.0187845,0.0188955,0.065291,0.0634539,True,0.09817515,0.0652836,0.0634463,0.00183724,True,0.10199,0.09685,0.0970168,0.0968438,0.336998,0.337138,1.13983,1.16771,,,,,,,,,,,,,
