cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.137284,0.124761,0.0125233,True,0.08093126249999999,0.0467867,0.0763454,0.0674694,0.0825357,0.0245431,0.199003,0.0307318,0.120035,,,,,
1,initial_eval,1,1,0.126582,0.138949,-0.0123671,False,0.0906148375,0.0615492,0.0925424,0.174553,0.0841856,0.0643035,0.105886,-2.02645e-26,0.141899,,,,,
2,initial_eval,2,1,0.135053,0.148067,-0.0130139,False,0.073710025,0.0648933,0.0267598,0.0755789,0.0188335,0.100851,0.11688,0.115054,0.0708297,,,,,
3,initial_eval,3,0,0.136035,0.1237,0.0123354,True,0.089038425,0.0790893,0.0564393,0.126945,0.0444189,0.20815,0.0574213,0.0809484,0.0588952,,,,,
4,train,0,0,0.137282,0.124759,0.0125232,True,0.08092997500000002,0.0467852,0.0763442,0.0674675,0.0825347,0.0245419,0.199003,0.0307303,0.120033,0.0525674,0.0400442,0.15528,9.50412e-07,2.17273e-07
5,train,1,1,0.126526,0.180073,-0.0535474,False,0.09061405,0.0615484,0.0925409,0.174553,0.084184,0.0643021,0.105885,-1.22961e-26,0.141899,-0.0192825,0.0342649,0.159615,5.53204e-07,6.23585e-07
6,train,2,1,0.171518,0.192026,-0.0205088,False,0.0737080375,0.0648919,0.0267587,0.0755775,0.0188325,0.100849,0.116874,0.115052,0.0708287,0.0813391,0.101848,0.121553,5.53203e-07,3.40612e-28
7,train,3,0,0.175594,0.254389,-0.078795,False,0.08903662500000001,0.0790884,0.0564379,0.126944,0.0444176,0.208149,0.0574154,0.0809465,0.0588942,0.0284301,0.107225,0.117393,1.59948e-06,2.18981e-07
8,final_eval,0,0,0.285527,0.25665,0.0288774,True,0.0809288625,0.0467837,0.076343,0.0674657,0.0825337,0.024527,0.199017,0.0307288,0.120032,,,,,
9,final_eval,1,1,0.259523,0.28787,-0.0283471,False,0.09061122499999999,0.0615477,0.0925394,0.174554,0.0841824,0.0642843,0.105883,-2.02624e-26,0.141899,,,,,
10,final_eval,2,1,0.272851,0.301665,-0.0288144,False,0.0737060125,0.0648904,0.0267576,0.075576,0.0188314,0.100842,0.116873,0.11505,0.0708277,,,,,
11,final_eval,3,0,0.282804,0.254373,0.0284307,True,0.0890395375,0.0790875,0.0564366,0.126944,0.0444163,0.20818,0.0574141,0.0809446,0.0588932,,,,,
