cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,max_abs_hidden_delta_signal,max_hidden_delta_node,max_abs_hidden_delta_update_signal,max_hidden_delta_update_node,max_abs_hidden_delta_gate_signal,max_hidden_delta_gate_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.0948329,0.096384,-0.00155112,0.128268,0.129866,0.0162274,0.0162061,0.0948384,0.0963895,False,0.12949225,0.0948329,0.096384,-0.00155112,False,0.129085,0.130834,0.128964,0.129086,0.336653,0.336655,1.21794,1.21792,,,,,,,,,,,,,,,
1,initial_eval,1,1,False,False,0.0961961,0.0946456,0.00155057,0.128075,0.129672,0.0162257,0.0162043,0.0946511,0.0962016,True,0.1292525,0.0961961,0.0946456,0.00155057,True,0.128892,0.12889,0.128771,0.130457,0.336653,0.336655,1.20771,1.20768,,,,,,,,,,,,,,,
2,initial_eval,2,1,False,False,0.0957199,0.094197,0.00152296,0.127613,0.129182,0.0162192,0.0161976,0.0942026,0.0957255,True,0.12844225,0.0957199,0.094197,0.00152296,True,0.128415,0.128413,0.128525,0.128416,0.336653,0.336654,1.19756,1.19752,,,,,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.0944771,0.096022,-0.00154496,0.127902,0.129493,0.0162242,0.0162026,0.0944826,0.0960275,False,0.128955,0.0944771,0.096022,-0.00154496,False,0.129797,0.128712,0.128595,0.128716,0.336654,0.336655,1.18749,1.18744,,,,,,,,,,,,,,,
4,train,0,0,True,True,0.0947654,0.0963158,-0.00155038,0.128199,0.129796,0.0162302,0.0162088,0.094771,0.0963213,False,0.12942199999999998,0.0947654,0.0963158,-0.00155038,False,0.129015,0.130763,0.128894,0.129016,0.336696,0.336697,1.2,0.037939,1.04495,0.0637093,0.0640895,3.41176e-05,0.0357848,3.4053e-05,0.0357171,1.19644,1.19644,0.00290256,0.00445295,0.0100609,0.0372251,0.0372251,0.00395125
5,train,1,1,True,True,0.0755654,0.0799077,-0.00434233,0.112891,0.108417,0.0170355,0.0171816,0.0799142,0.0755722,False,0.11144675,0.0755654,0.0799077,-0.00434233,False,0.110592,0.110713,0.110959,0.113523,0.336742,0.336844,4.82249e-07,1.2,1.04498,0.047335,0.0481761,8.25986e-06,0.0179211,8.24423e-06,0.0178872,0.0464391,1.19414,-0.00273378,0.00160855,0.00378531,0.0157353,0.0157353,0.00326104
6,train,2,1,True,True,0.0678725,0.0702938,-0.00242126,0.102984,0.100488,0.0176718,0.0177952,0.0703009,0.0678798,False,0.10198025,0.0678725,0.0702938,-0.00242126,False,0.101702,0.101707,0.102813,0.101699,0.336833,0.336951,4.8229e-07,1.2,1.04498,0.0388541,0.0388549,3.22162e-09,0.00856524,1.68923e-10,0.00856573,0.0460675,1.18459,-0.0020259,0.000395352,0.00355438,0.007744,0.007744,0.00331637
7,train,3,0,True,True,0.0653324,0.0634949,0.00183755,0.0978705,0.0959763,0.0187719,0.0188831,0.0653399,0.0635024,True,0.0982211,0.0653324,0.0634949,0.00183755,True,0.102024,0.0969,0.0970667,0.0968937,0.337039,0.337178,4.8232e-07,1.2,0.0209941,0.031438,0.0322644,4.69928e-40,3.50142e-32,4.69828e-40,3.50067e-32,0.0383641,1.17513,0.00183753,-1.40019e-08,7.6414e-06,1.16318e-05,1.16318e-05,4.68059e-05
8,final_eval,0,0,False,False,0.0652413,0.0633926,0.00184874,0.0977766,0.0958709,0.0187721,0.0188832,0.0652488,0.0634002,True,0.09792875,0.0652413,0.0633926,0.00184874,True,0.0967962,0.101157,0.0969679,0.0967939,0.336995,0.337135,1.15087,1.19693,,,,,,,,,,,,,,,
9,final_eval,1,1,False,False,0.0632198,0.0650572,-0.00183742,0.0975869,0.0956929,0.0187769,0.0188879,0.0650647,0.0632273,False,0.09785375,0.0632198,0.0650572,-0.00183742,False,0.0966126,0.0968753,0.0967831,0.101144,0.336997,0.337137,1.14151,1.18711,,,,,,,,,,,,,,,
10,final_eval,2,1,False,False,0.0617759,0.063712,-0.00193609,0.0961997,0.0942039,0.0187657,0.018877,0.0637194,0.0617835,False,0.095482775,0.0617759,0.063712,-0.00193609,False,0.0951731,0.0951772,0.0964101,0.0951707,0.336999,0.337138,1.13986,1.17738,,,,,,,,,,,,,,,
11,final_eval,3,0,False,False,0.065279,0.0634417,0.00183734,0.0978157,0.0959218,0.0187845,0.0188955,0.0652865,0.0634492,True,0.09816735,0.065279,0.0634417,0.00183734,True,0.101973,0.0968453,0.0970121,0.096839,0.336998,0.337138,1.13983,1.16771,,,,,,,,,,,,,,,
