cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.127542,0.13461,-0.00706795,0.143397,0.152076,0.0078851,0.00770795,0.127535,0.134603,False,0.09056926250000001,0.127542,0.13461,-0.00706795,False,0.0587726,0.194423,0.0493458,0.0992387,0.0478418,0.0691865,0.111589,0.0941567,0.339399,0.339278,1.21755,1.21747,
1,initial_eval,1,1,False,False,0.135684,0.128407,0.00727743,0.150274,0.159826,0.0284347,0.0282745,0.1284,0.135677,True,0.0711969625,0.135684,0.128407,0.00727743,True,0.0629228,0.129432,-3.35108e-26,0.186798,0.0107463,0.0814951,0.0435791,0.0546024,0.339602,0.339371,1.20706,1.20692,
2,initial_eval,2,1,False,False,0.137386,0.130801,0.00658466,0.14262,0.150383,0.0118542,0.0117624,0.130794,0.137378,True,0.09677632500000001,0.137386,0.130801,0.00658466,True,0.101401,0.0690114,0.150533,0.0421628,0.0842041,0.0846053,0.121205,0.121088,0.341442,0.341417,1.19662,1.19644,
3,initial_eval,3,0,False,False,0.13112,0.137852,-0.00673189,0.145731,0.153739,0.00818648,0.00803611,0.131113,0.137845,False,0.09145632499999999,0.13112,0.137852,-0.00673189,False,0.1776,0.0625996,0.0967068,0.0976893,0.0551276,0.112823,0.0751172,0.0539871,0.339947,0.339874,1.18627,1.18604,
4,train,0,0,True,True,0.128782,0.135695,-0.00691303,0.143394,0.152073,0.0078847,0.00770754,0.128775,0.135687,False,0.09056355000000002,0.128782,0.135695,-0.00691303,False,0.0587658,0.194418,0.0493393,0.0992287,0.0478364,0.0691788,0.111592,0.0941494,0.339441,0.339319,1.2,0.191032,1.15095
5,train,1,1,True,True,0.126118,0.133722,-0.00760403,0.162949,0.148919,0.00918725,0.00353342,0.133715,0.126111,False,0.0709715375,0.126118,0.133722,-0.00760403,False,0.0626303,0.129203,-3.34058e-26,0.186724,0.0105532,0.0809798,0.0434837,0.0541983,0.337177,0.338429,0.673252,1.19999,1.15099
6,train,2,1,True,True,0.128622,0.121326,0.00729586,0.133712,0.140445,0.0129781,0.0117586,0.121319,0.128615,True,0.09639724999999999,0.128622,0.121326,0.00729586,True,0.101188,0.0683626,0.150084,0.0415385,0.083928,0.0842529,0.12098,0.120844,0.341181,0.341542,1.19999,0.655144,1.14237
7,train,3,0,True,True,0.115453,0.131748,-0.0162951,0.129037,0.149885,0.00735328,0.00887888,0.115447,0.131741,False,0.09105237499999999,0.115453,0.131748,-0.0162951,False,0.178914,0.0614886,0.0961153,0.0969895,0.0545791,0.112547,0.0746887,0.0530968,0.339862,0.338927,1.2,0.162749,1.14965
8,train,0,0,True,True,0.127687,0.119841,0.00784532,0.156591,0.138629,0.00600608,0.0072608,0.12768,0.119835,True,0.08991112500000001,0.127687,0.119841,0.00784532,True,0.0577276,0.194297,0.0483528,0.0977051,0.0471786,0.0679054,0.113095,0.0930275,0.337273,0.340089,0.187889,1.2,1.14238
9,train,1,1,True,True,0.127646,0.119567,0.00807887,0.147026,0.16077,0.00678551,0.00514518,0.11956,0.127639,True,0.07021439624999999,0.127646,0.119567,0.00807887,True,0.0616381,0.128414,-3.24946e-26,0.186452,0.00989197,0.0793237,0.0431069,0.0528885,0.337841,0.336632,1.2,0.186924,1.15013
10,train,2,1,True,True,0.114186,0.110128,0.00405729,0.122154,0.12429,0.0132541,0.011746,0.110122,0.114179,True,0.0957059125,0.114186,0.110128,0.00405729,True,0.100771,0.0671972,0.149281,0.0404031,0.0834388,0.0836342,0.120545,0.120377,0.340983,0.341744,1.2,0.209311,1.14283
11,train,3,0,True,True,0.10981,0.117366,-0.007556,0.131586,0.132952,0.0068269,0.0101125,0.109804,0.11736,False,0.090535475,0.10981,0.117366,-0.007556,False,0.180379,0.0601452,0.095358,0.0961226,0.0538938,0.112242,0.0741493,0.0519939,0.338782,0.339784,1.19999,0.566183,1.14237
12,train,0,0,True,True,0.117868,0.108366,0.00950214,0.146717,0.125771,0.0170134,0.0131097,0.117862,0.10836,True,0.0892896875,0.117868,0.108366,0.00950214,True,0.0567426,0.194126,0.0474109,0.0962662,0.0465677,0.0667145,0.114534,0.0919556,0.336129,0.341366,0.170808,1.2,1.14238
13,train,1,1,True,True,0.117582,0.107839,0.00974269,0.136779,0.150461,0.00913157,0.00562606,0.107833,0.117575,True,0.0694492175,0.117582,0.107839,0.00974269,True,0.0606396,0.127588,-3.18081e-26,0.186174,0.00924124,0.077682,0.0426785,0.0515904,0.337685,0.336592,1.2,0.16875,1.14408
14,train,2,1,True,True,0.106393,0.104755,0.00163868,0.116738,0.113764,0.0144428,0.0102617,0.104749,0.106388,True,0.0949930875,0.106393,0.104755,0.00163868,True,0.100298,0.0660159,0.14846,0.039238,0.082963,0.0830358,0.120064,0.11987,0.340291,0.341864,1.2,0.250022,1.14528
15,train,3,0,True,True,0.108638,0.107125,0.00151289,0.135654,0.121752,0.0167981,0.0127323,0.108632,0.107119,True,0.09001023749999999,0.108638,0.107125,0.00151289,True,0.181771,0.0588033,0.094563,0.0952491,0.0531967,0.112031,0.0735922,0.0508756,0.336814,0.341609,0.258812,1.2,1.14455
16,train,0,0,True,True,0.110015,0.10017,0.00984526,0.138438,0.116626,0.00789248,0.0077322,0.110009,0.100164,True,0.08866133749999999,0.110015,0.10017,0.00984526,True,0.055743,0.1939,0.0464355,0.0948038,0.0459658,0.065522,0.116072,0.0908486,0.337109,0.340226,0.0899129,1.2,1.14238
17,train,1,1,True,True,0.11046,0.100965,0.00949554,0.128096,0.143008,0.016087,0.0175781,0.100959,0.110454,True,0.06866775625,0.11046,0.100965,0.00949554,True,0.0596197,0.126706,-3.10975e-26,0.185884,0.00859015,0.0760278,0.0422374,0.050277,0.337703,0.334743,1.2,0.108143,1.15094
18,train,2,1,True,True,0.0977231,0.0961672,0.00155589,0.108607,0.107519,0.0146303,0.0103165,0.0961619,0.0977177,True,0.09424787500000001,0.0977231,0.0961672,0.00155589,True,0.0997573,0.0648069,0.147603,0.0380427,0.0824941,0.082435,0.119538,0.119306,0.34051,0.341716,1.2,0.0580911,1.15099
19,train,3,0,True,True,0.102948,0.0994563,0.00349136,0.129678,0.114193,0.0165556,0.0128612,0.102942,0.0994508,True,0.089458625,0.102948,0.0994563,0.00349136,True,0.183076,0.0574537,0.0937169,0.0943585,0.0524805,0.111838,0.0730168,0.0497286,0.336642,0.341267,0.101833,1.2,1.14461
20,train,0,0,True,True,0.10385,0.0937845,0.0100654,0.132066,0.109581,0.00820257,0.00797712,0.103844,0.0937794,True,0.08802220000000001,0.10385,0.0937845,0.0100654,True,0.0547215,0.193613,0.0454177,0.0933104,0.0453694,0.0643057,0.117741,0.0896989,0.337077,0.340277,0.00135449,1.2,1.15099
21,train,1,1,True,True,0.104742,0.0947281,0.0100135,0.121458,0.137293,0.0159405,0.0165284,0.0947228,0.104736,True,0.06786517,0.104742,0.0947281,0.0100135,True,0.0585696,0.125762,-3.03578e-26,0.185576,0.00793296,0.0743378,0.0418038,0.0489392,0.336861,0.334791,1.2,0.0207587,1.15099
22,train,2,1,True,True,0.0955782,0.0938186,0.00175956,0.102311,0.105654,0.0150851,0.010358,0.0938135,0.0955729,True,0.0934718625,0.0955782,0.0938186,0.00175956,True,0.0991457,0.0635692,0.146712,0.0368367,0.0820329,0.0818304,0.118966,0.118682,0.341137,0.34121,1.2,0.00160149,1.15099
23,train,3,0,True,True,0.0978475,0.0938299,0.00401765,0.124565,0.110882,0.0151363,0.0142134,0.0978421,0.0938247,True,0.088878675,0.0978475,0.0938299,0.00401765,True,0.184293,0.0561002,0.092826,0.0934542,0.0517472,0.111628,0.0724249,0.0485559,0.336494,0.339969,0.0180093,1.2,1.15099
24,train,0,0,True,True,0.0983949,0.0886705,0.00972441,0.126515,0.104126,0.00852489,0.00860257,0.0983895,0.0886656,True,0.08737732499999999,0.0983949,0.0886705,0.00972441,True,0.0536765,0.193264,0.0443572,0.0917856,0.0447798,0.0630746,0.119577,0.0885039,0.337066,0.340337,2.25138e-07,1.2,1.15099
25,train,1,1,True,True,0.100172,0.089289,0.0108834,0.115766,0.132779,0.0160926,0.016957,0.0892841,0.100167,True,0.06705224875,0.100172,0.089289,0.0108834,True,0.057494,0.124799,-2.95913e-26,0.185259,0.00727229,0.0726289,0.0413835,0.0475813,0.336796,0.334638,1.2,4.50291e-05,1.15099
26,train,2,1,True,True,0.0915248,0.0864101,0.00511468,0.0968857,0.108471,0.012798,0.0113123,0.0864054,0.0915198,True,0.0926666875,0.0915248,0.0864101,0.00511468,True,0.0984624,0.0623034,0.145789,0.0356222,0.0815775,0.081232,0.11835,0.117997,0.341939,0.339976,1.2,-4.39051e-05,1.15099
27,train,3,0,True,True,0.0933924,0.0875475,0.00584489,0.120714,0.105352,0.00660423,0.00923883,0.0933872,0.0875427,True,0.08827042500000001,0.0933924,0.0875475,0.00584489,True,0.185419,0.054742,0.0918889,0.0925346,0.0509967,0.11141,0.0718172,0.047355,0.336758,0.338917,-4.43188e-05,1.2,1.15099
28,train,0,0,True,True,0.0940234,0.0844019,0.00962152,0.122117,0.0993617,0.00885486,0.00877165,0.0940182,0.0843972,True,0.0867141625,0.0940234,0.0844019,0.00962152,True,0.052612,0.192857,0.0432549,0.0902346,0.0442031,0.061835,0.121453,0.0872637,0.337083,0.340517,-5.38715e-06,1.2,1.15099
29,train,1,1,True,True,0.0963899,0.0849496,0.0114403,0.111304,0.129072,0.0109965,0.00786089,0.0849449,0.0963846,True,0.06623079750000001,0.0963899,0.0849496,0.0114403,True,0.0563929,0.123827,-2.87968e-26,0.184934,0.00660238,0.0709055,0.0409819,0.0462027,0.337791,0.336411,1.2,-1.15221e-05,1.15099
30,train,2,1,True,True,0.0875185,0.0826927,0.00482574,0.0926128,0.104058,0.0129183,0.0115113,0.0826882,0.0875136,True,0.09183015,0.0875185,0.0826927,0.00482574,True,0.0977064,0.0610149,0.144831,0.0344007,0.0811029,0.0806443,0.117691,0.11725,0.342334,0.340149,1.2,2.12244e-07,1.15099
31,train,3,0,True,True,0.0902852,0.0844179,0.00586736,0.117429,0.100853,0.00663488,0.00990233,0.0902803,0.0844132,True,0.08763670000000001,0.0902852,0.0844179,0.00586736,True,0.186452,0.0533829,0.090907,0.0916056,0.0502309,0.11119,0.0711957,0.0461295,0.337409,0.339833,-5.86324e-06,1.2,1.15099
32,train,0,0,True,True,0.0902241,0.0805958,0.00962837,0.118352,0.0951776,0.00485296,0.00391043,0.0902192,0.0805913,True,0.086019175,0.0902241,0.0805958,0.00962837,True,0.0515253,0.192391,0.0421152,0.0886595,0.0436398,0.060585,0.123258,0.0859796,0.335805,0.343119,3.02634e-07,1.2,1.15099
33,train,1,1,True,True,0.0930037,0.0798083,0.0131954,0.107503,0.125832,0.0114412,0.00846216,0.0798039,0.0929986,True,0.0654017275,0.0930037,0.0798083,0.0131954,True,0.0552674,0.122849,-2.79817e-26,0.184607,0.00592172,0.0691653,0.040598,0.0448054,0.337881,0.336391,1.2,3.02628e-07,1.15099
34,train,2,1,True,True,0.0856599,0.081971,0.00368898,0.0890822,0.100235,0.0130098,0.0117129,0.0819664,0.0856552,True,0.09096077500000001,0.0856599,0.081971,0.00368898,True,0.0968744,0.0597021,0.14384,0.0331732,0.0806025,0.080065,0.116988,0.116441,0.342742,0.340342,1.2,3.16597e-07,1.15099
35,train,3,0,True,True,0.0870557,0.080641,0.00641463,0.114548,0.096936,0.00696856,0.0102312,0.0870509,0.0806366,True,0.0869761375,0.0870557,0.080641,0.00641463,True,0.187389,0.0520223,0.0898805,0.090666,0.049449,0.110963,0.0705585,0.0448808,0.337416,0.340054,3.02642e-07,1.2,1.15099
36,final_eval,0,0,False,False,0.0867268,0.0772606,0.00946622,0.114953,0.0915881,0.00952716,0.00907015,0.086722,0.0772563,True,0.085294675,0.0867268,0.0772606,0.00946622,True,0.0504167,0.191863,0.0409645,0.08706,0.0430911,0.0593241,0.124988,0.08465,0.337109,0.340888,1.15087,1.19691,
