cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,max_abs_hidden_delta_signal,max_hidden_delta_node,max_abs_hidden_delta_update_signal,max_hidden_delta_update_node,max_abs_hidden_delta_gate_signal,max_hidden_delta_gate_node
0,initial_eval,0,0,False,False,0.129958,0.137248,-0.00728982,0.158087,0.166636,0.00771186,0.00749777,0.129951,0.13724,False,0.10044502500000001,0.129958,0.137248,-0.00728982,False,0.0587726,0.194423,0.0493458,0.0992387,0.337375,0.337328,1.21753,1.21744,,,,,,,,,
1,initial_eval,1,1,False,False,0.13603,0.128892,0.00713766,0.154725,0.163507,0.0100113,0.00979481,0.128885,0.136023,True,0.09478819999999999,0.13603,0.128892,0.00713766,True,0.0629228,0.129432,-3.37767e-26,0.186798,0.337771,0.33771,1.20703,1.2069,,,,,,,,,
2,initial_eval,2,1,False,False,0.146042,0.138443,0.00759886,0.170894,0.179221,0.00863594,0.00839768,0.138436,0.146034,True,0.090777075,0.146042,0.138443,0.00759886,True,0.101401,0.0690115,0.150533,0.0421628,0.337569,0.337517,1.19651,1.19631,,,,,,,,,
3,initial_eval,3,0,False,False,0.13334,0.140454,-0.00711398,0.158556,0.167375,0.00881306,0.00858829,0.133332,0.140446,False,0.10864892500000001,0.13334,0.140454,-0.00711398,False,0.1776,0.0625996,0.0967068,0.0976893,0.338113,0.338033,1.18617,1.18592,,,,,,,,,
4,train,0,0,True,True,0.130366,0.137542,-0.00717667,0.158083,0.166632,0.0077124,0.00749829,0.130359,0.137535,False,0.1004377,0.130366,0.137542,-0.00717667,False,0.0587658,0.194417,0.0493393,0.0992287,0.337417,0.33737,1.2,0.189803,1.14865,0.103696,0.104091,5.21446e-05,0.0800774,5.20031e-05,0.07986,0.000681192,1.17615
5,train,1,1,True,True,0.128213,0.130465,-0.00225216,0.157515,0.154368,0.010166,0.0100592,0.130458,0.128206,False,0.09464015,0.128213,0.130465,-0.00225216,False,0.0626316,0.129204,-3.34044e-26,0.186725,0.337555,0.337809,1.19999,0.566325,1.1504,0.0963421,0.0972179,0.0710173,0.0723398,0.0708536,0.0721435,1.2,1.2
6,train,2,1,True,True,0.138394,0.13153,0.00686409,0.163374,0.170922,0.00910301,0.00868307,0.131523,0.138387,True,0.09029447500000001,0.138394,0.13153,0.00686409,True,0.101189,0.0683641,0.150085,0.0415398,0.337588,0.337566,0.398323,1.2,1.15062,0.0982513,0.0982522,0.0397265,0.0727568,0.0396693,0.0725593,1.2,1.2
7,train,3,0,True,True,0.119702,0.134853,-0.0151503,0.142299,0.160462,0.00902197,0.00879808,0.119696,0.134845,False,0.1083766,0.119702,0.134853,-0.0151503,False,0.178918,0.061487,0.0961136,0.0969878,0.338179,0.33788,1.2,0.168221,1.15017,0.100606,0.101478,0.0702781,0.0769152,0.0701818,0.0767064,1.2,1.2
8,train,0,0,True,True,0.121607,0.123006,-0.00139857,0.153821,0.151708,0.0079956,0.00865239,0.121601,0.122999,False,0.099519375,0.121607,0.123006,-0.00139857,False,0.05773,0.194295,0.0483495,0.097703,0.336931,0.337592,0.569222,1.19999,1.15036,0.0899854,0.0899863,0.0662262,0.0662285,0.0660736,0.0660759,1.2,1.2
9,train,1,1,True,True,0.119368,0.12157,-0.00220197,0.152904,0.148823,0.0148595,0.00606387,0.121563,0.119361,False,0.09412475000000001,0.119368,0.12157,-0.00220197,False,0.061642,0.12841,-3.27116e-26,0.186447,0.336986,0.337482,1.2,0.467428,1.15031,0.0877151,0.0885822,0.0641755,0.0645171,0.0640276,0.0643684,1.2,1.2
