cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,max_abs_hidden_delta_signal,max_hidden_delta_node,max_abs_hidden_delta_update_signal,max_hidden_delta_update_node,max_abs_hidden_delta_gate_signal,max_hidden_delta_gate_node
0,initial_eval,0,0,False,False,0.13138,0.138638,-0.00725785,0.158142,0.166693,0.00771957,0.00750512,0.131373,0.13863,False,0.1003508,0.13138,0.138638,-0.00725785,False,0.0586814,0.194322,0.0492555,0.0991443,0.337373,0.337326,1.21751,1.21742,,,,,,,,,
1,initial_eval,1,1,False,False,0.137575,0.130439,0.0071362,0.154783,0.163566,0.0100138,0.00979709,0.130432,0.137568,True,0.09471605,0.137575,0.130439,0.0071362,True,0.0628312,0.129335,6.20366e-23,0.186698,0.33777,0.337709,1.20701,1.20687,,,,,,,,,
2,initial_eval,2,1,False,False,0.146964,0.139461,0.00750323,0.17095,0.179275,0.00863177,0.00839341,0.139454,0.146956,True,0.0906834,0.146964,0.139461,0.00750323,True,0.101306,0.0689194,0.150435,0.0420732,0.337565,0.337513,1.19648,1.19628,,,,,,,,,
3,initial_eval,3,0,False,False,0.134742,0.141866,-0.00712354,0.158625,0.167442,0.00879983,0.00857483,0.134735,0.141858,False,0.108553925,0.134742,0.141866,-0.00712354,False,0.1775,0.0625081,0.0966126,0.097595,0.338109,0.338029,1.18612,1.18587,,,,,,,,,
4,train,0,0,True,True,0.131776,0.138932,-0.00715651,0.158138,0.166688,0.00772012,0.00750564,0.131768,0.138925,False,0.10034375,0.131776,0.138932,-0.00715651,False,0.0586746,0.194317,0.049249,0.0991344,0.337415,0.337368,0.387166,1.2,1.14866,0.105045,0.10544,5.36332e-05,0.0815209,5.34877e-05,0.0812997,0.000699784,1.17615
5,train,1,1,True,True,0.12942,0.131994,-0.00257397,0.157636,0.154159,0.0101678,0.0100687,0.131987,0.129413,False,0.094569975,0.12942,0.131994,-0.00257397,False,0.0625429,0.129109,-2.8596e-26,0.186628,0.337553,0.33781,1.19999,0.558843,1.14865,0.0978257,0.0987024,0.072224,0.0736195,0.0720576,0.0734197,1.2,1.2
6,train,2,1,True,True,0.139147,0.132263,0.00688338,0.163181,0.170777,0.00910821,0.00868594,0.132256,0.139139,True,0.09020972499999999,0.139147,0.132263,0.00688338,True,0.101104,0.0682841,0.149992,0.0414588,0.337586,0.337564,0.411921,1.2,1.15072,0.0989632,0.098964,0.039626,0.0734839,0.039569,0.0732844,1.2,1.2
7,train,3,0,True,True,0.120606,0.136046,-0.0154401,0.141962,0.16035,0.00902138,0.00879182,0.120599,0.136038,False,0.108297675,0.120606,0.136046,-0.0154401,False,0.178837,0.0614106,0.0960317,0.0969114,0.338178,0.337877,1.2,0.168196,1.1497,0.101765,0.102637,0.0691395,0.0760152,0.0690413,0.0758089,1.2,1.2
8,train,0,0,True,True,0.122274,0.123953,-0.00167896,0.153536,0.151333,0.00801471,0.00867358,0.122267,0.123946,False,0.0994471,0.122274,0.123953,-0.00167896,False,0.0576565,0.194217,0.0482783,0.0976366,0.33693,0.337592,0.55339,1.19999,1.15042,0.0909049,0.0909057,0.0673316,0.067334,0.0671764,0.0671788,1.2,1.2
9,train,1,1,True,True,0.120033,0.122417,-0.00238418,0.152649,0.148302,0.0148783,0.00608451,0.12241,0.120026,False,0.094076625,0.120033,0.122417,-0.00238418,False,0.0615855,0.128338,-2.72263e-26,0.186383,0.336987,0.337482,1.2,0.463215,1.15037,0.0885371,0.0894049,0.0651557,0.0655028,0.0650055,0.0653519,1.2,1.2
