cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127308,0.134425,-0.00711638,False,0.0905693875,0.0587727,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941568,,,,,,,
1,initial_eval,1,1,False,False,0.136439,0.129225,0.0072137,True,0.0711982875,0.0629244,0.129433,-3.32791e-26,0.1868,0.0107476,0.0814973,0.0435799,0.0546041,,,,,,,
2,initial_eval,2,1,False,False,0.137404,0.130859,0.00654515,True,0.09677878749999999,0.101403,0.0690149,0.150536,0.042166,0.084206,0.0846074,0.121207,0.12109,,,,,,,
3,initial_eval,3,0,False,False,0.132192,0.138888,-0.00669653,False,0.091459375,0.177598,0.0626051,0.0967102,0.0976937,0.0551305,0.112826,0.0751199,0.0539916,,,,,,,
4,train,0,0,True,False,0.12874,0.13562,-0.00688029,False,0.090568275,0.0587713,0.194422,0.0493446,0.099237,0.0478408,0.0691851,0.11159,0.0941554,2.44873e-07,,,,,,
5,train,1,1,False,False,0.136438,0.129224,0.0072137,True,0.07119705,0.0629229,0.129432,-2.02119e-26,0.186798,0.0107466,0.0814952,0.0435792,0.0546025,2.44601e-07,,,,,,
6,train,2,1,False,False,0.137403,0.130857,0.00654512,True,0.0967776625,0.101402,0.0690133,0.150535,0.0421645,0.0842051,0.0846064,0.121206,0.121089,3.01e-07,,,,,,
7,train,3,0,False,True,0.13219,0.138887,-0.00669649,False,0.09145841250000002,0.177599,0.0626033,0.0967091,0.0976923,0.0551295,0.112825,0.075119,0.0539901,3.00162e-08,-0.00664659,4.99014e-05,0.0319607,0.000438359,0.0319607,5.53194e-07
8,train,0,0,True,False,0.127501,0.13439,-0.00688929,False,0.09056701249999999,0.0587699,0.194421,0.0493433,0.0992349,0.0478397,0.0691835,0.11159,0.0941538,1.36176e-07,,,,,,
9,train,1,1,False,False,0.135085,0.127841,0.00724368,True,0.0711958,0.0629215,0.12943,-2.02114e-26,0.186797,0.0107456,0.0814931,0.0435784,0.0546008,3.18682e-07,,,,,,
10,train,2,1,False,False,0.136005,0.129497,0.00650855,True,0.096776525,0.101401,0.0690116,0.150534,0.042163,0.0842042,0.0846054,0.121205,0.121088,3.00997e-07,,,,,,
11,train,3,0,False,True,0.130825,0.137472,-0.00664641,False,0.09145728750000001,0.177599,0.0626014,0.0967079,0.0976908,0.0551285,0.112824,0.0751181,0.0539886,7.14447e-08,-0.00659681,4.95997e-05,0.0319358,0.000440485,0.0319358,5.53191e-07
12,train,0,0,True,False,0.126195,0.132849,-0.00665428,False,0.0905660125,0.0587687,0.19442,0.0493421,0.099233,0.0478387,0.0691821,0.111591,0.0941525,2.75447e-08,,,,,,
13,train,1,1,False,False,0.133743,0.126465,0.00727805,True,0.07119467499999999,0.06292,0.129429,-2.02109e-26,0.186796,0.0107446,0.081491,0.0435776,0.0545992,3.92714e-07,,,,,,
14,train,2,1,False,False,0.134614,0.128142,0.00647249,True,0.09677526249999999,0.1014,0.0690099,0.150532,0.0421615,0.0842033,0.0846044,0.121204,0.121087,3.00995e-07,,,,,,
15,train,3,0,False,True,0.129466,0.136062,-0.00659635,False,0.09145629999999999,0.1776,0.0625995,0.0967068,0.0976894,0.0551275,0.112823,0.0751171,0.0539871,1.12864e-07,-0.00654705,4.93004e-05,0.0319097,0.000442563,0.0319097,5.53187e-07
16,train,0,0,True,False,0.12494,0.131473,-0.00653248,False,0.090564775,0.0587673,0.194419,0.0493408,0.0992309,0.0478377,0.0691805,0.111591,0.094151,8.10082e-08,,,,,,
17,train,1,1,False,False,0.132413,0.125095,0.00731742,True,0.0711935625,0.0629185,0.129428,-2.02103e-26,0.186795,0.0107437,0.0814889,0.0435768,0.0545976,4.66691e-07,,,,,,
18,train,2,1,False,False,0.13323,0.126793,0.00643689,True,0.0967741375,0.101399,0.0690082,0.150531,0.0421601,0.0842024,0.0846034,0.121203,0.121086,3.00993e-07,,,,,,
19,train,3,0,False,True,0.128112,0.134658,-0.00654662,False,0.0914551875,0.1776,0.0625976,0.0967056,0.097688,0.0551265,0.112822,0.0751162,0.0539856,1.54273e-07,-0.0064973,4.93245e-05,0.0318831,0.000444592,0.0318831,5.53184e-07
20,train,0,0,True,False,0.123657,0.130191,-0.00653412,False,0.09056375,0.0587659,0.194419,0.0493394,0.0992289,0.0478365,0.0691789,0.111592,0.0941494,1.89473e-07,,,,,,
21,train,1,1,False,False,0.131096,0.123733,0.00736254,True,0.071192325,0.0629171,0.129426,-2.02097e-26,0.186794,0.0107427,0.0814868,0.0435761,0.0545959,5.40611e-07,,,,,,
22,train,2,1,False,False,0.131851,0.12545,0.00640103,True,0.0967728625,0.101398,0.0690065,0.150529,0.0421586,0.0842014,0.0846024,0.121202,0.121085,3.00991e-07,,,,,,
23,train,3,0,False,True,0.126764,0.13326,-0.00649691,False,0.0914542,0.177601,0.0625957,0.0967045,0.0976865,0.0551255,0.112821,0.0751153,0.0539841,1.95734e-07,-0.0064474,4.95107e-05,0.0318564,0.000446573,0.0318564,5.5318e-07
24,train,0,0,True,False,0.122404,0.128802,-0.00639725,False,0.090562525,0.0587645,0.194418,0.0493381,0.0992268,0.0478355,0.0691773,0.111592,0.094148,2.9784e-07,,,,,,
25,train,1,1,False,False,0.129793,0.122379,0.00741433,True,0.071191075,0.0629156,0.129425,-2.02091e-26,0.186792,0.0107417,0.0814847,0.0435753,0.0545943,6.14471e-07,,,,,,
26,train,2,1,False,False,0.130479,0.124114,0.0063647,True,0.09677172499999999,0.101397,0.0690048,0.150528,0.0421571,0.0842005,0.0846014,0.121201,0.121084,3.00989e-07,,,,,,
27,train,3,0,False,True,0.125421,0.131868,-0.0064472,False,0.09145307500000001,0.177601,0.0625938,0.0967033,0.0976851,0.0551245,0.11282,0.0751143,0.0539826,2.37059e-07,-0.0062596,0.000187601,0.0318296,0.000448505,0.0318296,5.53177e-07
28,train,0,0,True,False,0.121271,0.127382,-0.00611031,False,0.09056149999999999,0.0587632,0.194417,0.0493369,0.0992249,0.0478345,0.0691759,0.111593,0.0941466,4.06099e-07,,,,,,
29,train,1,1,False,False,0.128507,0.121033,0.00747391,True,0.0711898125,0.0629141,0.129423,-2.02086e-26,0.186791,0.0107407,0.0814826,0.0435745,0.0545926,6.88268e-07,,,,,,
30,train,2,1,False,False,0.129112,0.122784,0.00632789,True,0.09677046249999999,0.101396,0.0690031,0.150526,0.0421556,0.0841996,0.0846004,0.1212,0.121083,3.00987e-07,,,,,,
31,train,3,0,False,True,0.124085,0.130482,-0.0063972,False,0.0914521,0.177602,0.0625919,0.0967022,0.0976836,0.0551236,0.112819,0.0751134,0.0539811,2.78435e-07,-0.00620367,0.000193535,0.0318028,0.00045039,0.0318028,5.53173e-07
32,train,0,0,True,False,0.119958,0.12604,-0.00608273,False,0.0905602125,0.0587618,0.194416,0.0493355,0.0992228,0.0478333,0.0691743,0.111593,0.094145,5.14243e-07,,,,,,
33,train,1,1,False,False,0.127238,0.119695,0.00754269,True,0.07118870000000002,0.0629127,0.129422,-2.02088e-26,0.18679,0.0107397,0.0814805,0.0435737,0.054591,8.299e-07,,,,,,
34,train,2,1,False,False,0.127751,0.12146,0.00629056,True,0.09676933750000001,0.101395,0.0690014,0.150525,0.0421542,0.0841987,0.0845994,0.121199,0.121082,3.00985e-07,,,,,,
35,train,3,0,False,True,0.122754,0.1291,-0.00634602,False,0.09145098750000001,0.177602,0.06259,0.096701,0.0976822,0.0551226,0.112818,0.0751125,0.0539796,3.19799e-07,-0.00614812,0.000197895,0.031776,0.000452226,0.031776,5.5317e-07
36,train,0,0,True,False,0.118928,0.124686,-0.00575865,False,0.0905591625,0.0587605,0.194415,0.0493342,0.0992209,0.0478323,0.0691728,0.111594,0.0941436,6.52905e-07,,,,,,
37,train,1,1,False,False,0.125989,0.118367,0.00762243,True,0.0711874625,0.0629112,0.12942,-2.02083e-26,0.186789,0.0107387,0.0814784,0.043573,0.0545894,9.80989e-06,,,,,,
38,train,2,1,False,False,0.126396,0.120143,0.00625274,True,0.0967682,0.101394,0.0689997,0.150524,0.0421527,0.0841978,0.0845984,0.121198,0.121081,3.00982e-07,,,,,,
39,train,3,0,False,True,0.12143,0.127724,-0.00629418,False,0.09144998750000001,0.177603,0.0625881,0.0966999,0.0976807,0.0551216,0.112817,0.0751115,0.0539781,3.6115e-07,-0.0062413,5.28782e-05,0.031749,0.000454014,0.031749,5.53166e-07
40,train,0,0,True,False,0.117612,0.123302,-0.00568989,False,0.0905579125,0.0587591,0.194414,0.0493329,0.0992188,0.0478312,0.0691712,0.111594,0.0941421,0.000129426,,,,,,
41,train,1,1,False,False,0.124765,0.117049,0.00771534,True,0.07118632500000001,0.0629097,0.129419,-2.02077e-26,0.186788,0.0107377,0.0814763,0.0435722,0.0545877,0.0163254,,,,,,
42,train,2,1,False,False,0.125047,0.118832,0.00621437,True,0.0967669375,0.101393,0.068998,0.150522,0.0421512,0.0841969,0.0845974,0.121197,0.12108,3.0098e-07,,,,,,
43,train,3,0,False,True,0.120112,0.126354,-0.00624171,False,0.09144887500000001,0.177603,0.0625862,0.0966987,0.0976793,0.0551206,0.112816,0.0751106,0.0539766,4.02488e-07,-0.00618822,5.34928e-05,0.0317214,0.000455755,0.0317214,5.53163e-07
44,final_eval,0,0,False,False,0.116491,0.121941,-0.00544974,False,0.09055681250000001,0.0587578,0.194413,0.0493316,0.0992168,0.0478301,0.0691696,0.111595,0.0941406,,,,,,,
45,final_eval,1,1,False,False,0.123567,0.115743,0.0078242,True,0.0711850875,0.0629083,0.129417,-3.32688e-26,0.186787,0.0107367,0.0814742,0.0435714,0.0545861,,,,,,,
46,final_eval,2,1,False,False,0.123704,0.117529,0.00617546,True,0.09676578749999999,0.101392,0.0689963,0.150521,0.0421497,0.084196,0.0845963,0.121196,0.121079,,,,,,,
47,final_eval,3,0,False,False,0.118801,0.12499,-0.00618865,False,0.0914479125,0.177604,0.0625844,0.0966976,0.0976779,0.0551196,0.112815,0.0751097,0.0539751,,,,,,,
