cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.114895,0.114362,0.000533258,True,0.09056923750000001,0.0587725,0.194423,0.0493458,0.0992387,0.0478418,0.0691865,0.111589,0.0941566,0.339538,0.339727,-3.17722e-114,-3.17722e-114,,,,,,,
1,initial_eval,1,1,False,False,0.115705,0.115493,0.000211369,True,0.07119695,0.0629228,0.129432,-3.3279e-26,0.186798,0.0107463,0.081495,0.0435791,0.0546024,0.339775,0.339814,-4.09342e-130,1.88309e-144,,,,,,,
2,initial_eval,2,1,False,False,0.117531,0.117493,3.80769e-05,True,0.0967762,0.101401,0.0690114,0.150533,0.0421628,0.0842041,0.0846053,0.121205,0.121087,0.341812,0.341882,2.40325e-160,-1.10556e-174,,,,,,,
3,initial_eval,3,0,False,False,0.118629,0.117751,0.000878317,True,0.091456275,0.1776,0.0625996,0.0967067,0.0976893,0.0551275,0.112823,0.0751171,0.053987,0.339926,0.340498,-2.17068e-104,6.55251e-205,,,,,,,
4,train,0,0,True,False,0.116119,0.115652,0.000466891,True,0.09056355,0.0587658,0.194418,0.0493393,0.0992287,0.0478365,0.0691788,0.111592,0.0941493,0.33958,0.339769,1.27441e-134,7.72615e-181,3.95428e-243,,,,,,
5,train,1,1,False,False,0.115699,0.115487,0.000211407,True,0.07119098750000001,0.0629155,0.129425,-3.32743e-26,0.186792,0.0107414,0.0814846,0.0435752,0.0545942,0.339817,0.339856,3.00761e-42,3.34419e-43,2.58793e-272,,,,,,
6,train,2,1,False,False,0.117525,0.117487,3.80781e-05,True,0.096770475,0.101396,0.0690035,0.150526,0.0421555,0.0841995,0.0846003,0.1212,0.121083,0.341853,0.341923,-1.76577e-72,-1.96338e-73,2.18734e-301,,,,,,
7,train,3,0,False,True,0.118622,0.117744,0.000878516,True,0.09145105,0.177602,0.0625907,0.096701,0.0976821,0.0551226,0.112818,0.0751125,0.0539795,0.339967,0.340539,1.30009e-102,1.1527e-103,0.0,0.000794153,-8.43626e-05,2.5098e-06,0.0,2.5098e-06,2.76584e-06
8,train,0,0,True,False,0.116116,0.115654,0.000462876,True,0.09055758750000001,0.058759,0.194412,0.0493328,0.0992187,0.0478311,0.0691711,0.111594,0.094142,0.339579,0.339768,-7.63286e-133,-6.76751e-134,0.0,,,,,,
9,train,1,1,False,False,0.115692,0.115481,0.000211445,True,0.0711850125,0.0629082,0.129418,-3.32696e-26,0.186786,0.0107364,0.0814741,0.0435714,0.054586,0.339817,0.339856,1.50227e-42,1.67545e-41,0.0,,,,,,
10,train,2,1,False,False,0.11752,0.117481,3.8079e-05,True,0.0967646,0.101391,0.0689955,0.150519,0.0421481,0.084195,0.0845952,0.121195,0.121078,0.341853,0.341923,-8.81984e-73,-9.83659e-72,0.0,,,,,,
11,train,3,0,False,True,0.118615,0.117737,0.000878716,True,0.09144591250000002,0.177605,0.0625817,0.0966953,0.0976749,0.0551176,0.112813,0.0751078,0.053972,0.339966,0.340539,-1.97329e-93,5.77507e-102,0.0,0.000878966,2.4962e-07,2.50972e-06,0.0,2.50972e-06,2.76575e-06
12,train,0,0,True,False,0.11611,0.115647,0.000462921,True,0.09055187499999999,0.0587523,0.194407,0.0493263,0.0992086,0.0478258,0.0691634,0.111597,0.0941346,0.339579,0.339768,1.15852e-123,-3.39055e-132,0.0,,,,,,
13,train,1,1,False,False,0.115686,0.115475,0.000211484,True,0.07117905,0.0629009,0.129411,-3.32648e-26,0.18678,0.0107315,0.0814636,0.0435675,0.0545779,0.339817,0.339856,-2.72121e-42,-8.25442e-42,0.0,,,,,,
14,train,2,1,False,False,0.117514,0.117476,3.80803e-05,True,0.0967588625,0.101387,0.0689874,0.150512,0.0421408,0.0841905,0.0845902,0.12119,0.121073,0.341852,0.341923,1.59763e-72,4.84618e-72,0.0,,,,,,
15,train,3,0,False,True,0.118608,0.117729,0.000878916,True,0.09144065,0.177607,0.0625727,0.0966895,0.0976677,0.0551126,0.112808,0.0751032,0.0539645,0.339966,0.340538,-2.13643e-93,-2.84519e-102,0.0,0.000879166,2.49742e-07,2.50964e-06,0.0,2.50964e-06,2.76566e-06
16,final_eval,0,0,False,False,0.116104,0.115641,0.000462966,True,0.0905459125,0.0587455,0.194401,0.0493198,0.0991986,0.0478205,0.0691556,0.111599,0.0941273,0.339536,0.339726,1.2543e-123,1.67042e-132,,,,,,,
17,final_eval,1,1,False,False,0.11568,0.115469,0.000211522,True,0.071172925,0.0628935,0.129403,-3.32601e-26,0.186774,0.0107265,0.0814531,0.0435636,0.0545697,0.339775,0.339814,-1.26477e-129,-9.9003e-163,,,,,,,
18,final_eval,2,1,False,False,0.117508,0.11747,3.80818e-05,True,0.09675311249999999,0.101382,0.0689794,0.150505,0.0421334,0.0841859,0.0845852,0.121186,0.121068,0.34181,0.34188,7.42548e-160,5.81248e-193,,,,,,,
19,final_eval,3,0,False,False,0.118601,0.117722,0.000879117,True,0.09143552499999999,0.17761,0.0625638,0.0966838,0.0976605,0.0551076,0.112803,0.0750985,0.053957,0.339923,0.340495,-2.03814e-93,-3.41252e-223,,,,,,,
