cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,0.143397,0.152076,0.00788511,0.00770796,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21964,1.21964,,,,,,,
1,initial_eval,1,1,False,False,0.135688,0.12841,0.00727768,0.150274,0.159827,0.0284345,0.0282743,True,0.07119832499999999,0.0629245,0.129433,-3.35066e-26,0.1868,0.0107474,0.0814975,0.04358,0.0546042,0.339602,0.339371,1.20989,1.20989,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,0.142621,0.150384,0.0118544,0.0117627,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.20022,1.20022,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670614,0.145734,0.153742,0.00818712,0.00803676,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.19063,1.19063,,,,,,,
4,train,0,0,True,False,0.128787,0.1357,-0.00691317,0.143396,0.152076,0.00788504,0.00770788,False,0.09056831250000001,0.0587714,0.194422,0.0493447,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,1.18111,1.18111,2.44873e-07,,,,,,
5,train,1,1,False,False,0.135685,0.128407,0.00727798,0.150274,0.159826,0.0284349,0.0282746,True,0.071197075,0.062923,0.129432,-2.02105e-26,0.186798,0.0107464,0.0814954,0.0435792,0.0546026,0.339644,0.339413,1.17167,1.17167,2.44601e-07,,,,,,
6,train,2,1,False,False,0.137388,0.130803,0.00658475,0.14262,0.150383,0.0118543,0.0117626,True,0.0967776625,0.101402,0.0690133,0.150535,0.0421645,0.0842051,0.0846064,0.121206,0.121089,0.341484,0.341459,1.16231,1.16231,3.01091e-07,,,,,,
7,train,3,0,False,True,0.13151,0.138216,-0.00670609,0.145733,0.153741,0.00818691,0.00803655,False,0.0914585,0.177599,0.0626034,0.0967092,0.0976924,0.0551297,0.112825,0.0751191,0.0539902,0.339989,0.339916,1.15302,1.15302,3.00162e-08,-0.00666358,4.25178e-05,0.0159832,0.00043845,0.0159832,5.53194e-07
8,final_eval,0,0,False,False,0.127156,0.134009,-0.00685203,0.14201,0.150476,0.00790446,0.00774028,False,0.09056708749999999,0.05877,0.194421,0.0493434,0.099235,0.0478398,0.0691836,0.11159,0.0941539,0.339402,0.33929,1.1438,1.1438,,,,,,,
9,final_eval,1,1,False,False,0.134276,0.127003,0.00727344,0.148701,0.158284,0.0285117,0.0283574,True,0.071195825,0.0629215,0.12943,-3.32794e-26,0.186797,0.0107454,0.0814933,0.0435784,0.054601,0.339614,0.339364,1.13993,1.13993,,,,,,,
10,final_eval,2,1,False,False,0.135985,0.129439,0.00654614,0.140909,0.148639,0.0118846,0.0117917,True,0.096776525,0.101401,0.0690116,0.150534,0.042163,0.0842042,0.0846054,0.121205,0.121088,0.34147,0.341446,1.13993,1.13993,,,,,,,
11,final_eval,3,0,False,False,0.130119,0.136783,-0.00666363,0.144121,0.152038,0.00821106,0.00806528,False,0.09145737500000001,0.177599,0.0626015,0.096708,0.0976909,0.0551287,0.112824,0.0751182,0.0539887,0.339958,0.339887,1.13993,1.13993,,,,,,,
