cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.129958,0.137248,-0.00728982,0.158087,0.166636,0.00771186,0.00749777,0.129951,0.13724,False,0.10044502500000001,0.129958,0.137248,-0.00728982,False,0.0587726,0.194423,0.0493458,0.0992387,0.337375,0.337328,1.21753,1.21744,
1,initial_eval,1,1,False,False,0.13603,0.128892,0.00713766,0.154725,0.163507,0.0100113,0.00979481,0.128885,0.136023,True,0.09478819999999999,0.13603,0.128892,0.00713766,True,0.0629228,0.129432,-3.37756e-26,0.186798,0.337771,0.33771,1.20703,1.2069,
2,initial_eval,2,1,False,False,0.146042,0.138443,0.00759886,0.170894,0.179221,0.00863594,0.00839768,0.138436,0.146034,True,0.090777075,0.146042,0.138443,0.00759886,True,0.101401,0.0690115,0.150533,0.0421628,0.337569,0.337517,1.19651,1.19631,
3,initial_eval,3,0,False,False,0.13334,0.140454,-0.00711398,0.158556,0.167375,0.00881306,0.00858829,0.133332,0.140446,False,0.10864892500000001,0.13334,0.140454,-0.00711398,False,0.1776,0.0625996,0.0967068,0.0976893,0.338113,0.338033,1.18617,1.18592,
4,train,0,0,True,True,0.130366,0.137542,-0.00717667,0.158083,0.166632,0.0077124,0.00749829,0.130359,0.137535,False,0.1004377,0.130366,0.137542,-0.00717667,False,0.0587658,0.194417,0.0493393,0.0992287,0.337417,0.33737,1.2,0.189763,1.04431
5,train,1,1,True,True,0.128215,0.130457,-0.00224187,0.157487,0.154351,0.0101641,0.0100574,0.13045,0.128208,False,0.0946823,0.128215,0.130457,-0.00224187,False,0.0626892,0.129261,-3.34389e-26,0.186779,0.337555,0.33781,1.19999,0.566793,0.0393694
6,train,2,1,True,True,0.137183,0.138873,-0.00169059,0.171354,0.169985,0.0088219,0.00868707,0.138866,0.137175,False,0.09057214999999999,0.137183,0.138873,-0.00169059,False,0.101338,0.0687263,0.150344,0.0418803,0.337542,0.337607,1.19999,0.642175,0.0280602
7,train,3,0,True,True,0.134564,0.132674,0.0018895,0.158487,0.157948,0.00889515,0.00878883,0.134556,0.132667,True,0.10859825000000001,0.134564,0.132674,0.0018895,True,0.178129,0.062246,0.0965324,0.0974856,0.33809,0.338119,1.19999,0.61264,1.04431
8,train,0,0,True,True,0.135916,0.121746,0.0141699,0.168463,0.149703,0.00770614,0.0084062,0.135908,0.121739,True,0.10004060000000001,0.135916,0.121746,0.0141699,True,0.0582815,0.194484,0.0488814,0.0985155,0.336888,0.337792,0.171165,1.2,0.0347563
9,train,1,1,True,True,0.120802,0.130674,-0.00987135,0.157371,0.146376,0.0102849,0.0102814,0.130666,0.120796,False,0.094578775,0.120802,0.130674,-0.00987135,False,0.0624571,0.129088,-3.32495e-26,0.18677,0.337518,0.337852,0.181236,1.2,1.04461
10,train,2,1,True,True,0.12935,0.131917,-0.00256613,0.16414,0.1615,0.0092405,0.00892182,0.131909,0.129343,False,0.09017149999999999,0.12935,0.131917,-0.00256613,False,0.101206,0.0681706,0.149979,0.0413304,0.337458,0.337624,1.19999,0.55862,0.0326339
11,train,3,0,True,True,0.128622,0.12506,0.00356248,0.15518,0.149992,0.00864545,0.0092131,0.128615,0.125053,True,0.10849375,0.128622,0.12506,0.00356248,True,0.179119,0.0615663,0.0961933,0.0970964,0.337785,0.338111,1.2,0.464172,1.04431
12,train,0,0,True,True,0.128619,0.11578,0.0128389,0.161412,0.143824,0.010025,0.00889386,0.128612,0.115774,True,0.09964755,0.128619,0.11578,0.0128389,True,0.0578119,0.194519,0.048436,0.0978233,0.336774,0.337675,0.574922,1.19999,0.0339904
13,train,1,1,True,True,0.116731,0.122722,-0.0059904,0.150324,0.147202,0.013188,0.0103772,0.122715,0.116725,False,0.094374475,0.116731,0.122722,-0.0059904,False,0.0620069,0.128748,-3.29243e-26,0.186743,0.337753,0.337453,0.183986,1.2,1.04431
14,train,2,1,True,True,0.122365,0.129652,-0.00728692,0.163619,0.154254,0.0132393,0.00633662,0.129645,0.122358,False,0.0897674,0.122365,0.129652,-0.00728692,False,0.101061,0.0676169,0.149612,0.0407797,0.336784,0.33762,0.190341,1.2,1.04431
15,train,3,0,True,True,0.12881,0.120321,0.00848874,0.162719,0.147946,0.00909864,0.0081526,0.128802,0.120314,True,0.1083257,0.12881,0.120321,0.00848874,True,0.180479,0.0606072,0.0956835,0.0965331,0.336306,0.33807,0.639809,1.19999,0.0390781
16,train,0,0,True,True,0.114948,0.117641,-0.00269291,0.147522,0.148803,0.00775267,0.0128136,0.114942,0.117634,False,0.09926542499999999,0.114948,0.117641,-0.00269291,False,0.0573598,0.194536,0.0480038,0.0971621,0.336814,0.337054,1.2,0.228089,1.0449
17,train,1,1,True,True,0.127812,0.113735,0.0140772,0.145576,0.161945,0.0147737,0.0109747,0.113729,0.127807,True,0.0940628,0.127812,0.113735,0.0140772,True,0.0613432,0.128234,-3.22449e-26,0.186674,0.337156,0.336227,1.2,0.165529,0.0390274
18,train,2,1,True,True,0.118322,0.123727,-0.00540429,0.157742,0.150257,0.0175964,0.00603172,0.123722,0.118316,False,0.08937402499999998,0.118322,0.123727,-0.00540429,False,0.100904,0.0670862,0.149257,0.0402489,0.336279,0.337548,0.19992,1.2,1.04431
19,train,3,0,True,True,0.123467,0.11519,0.00827699,0.15741,0.142237,0.0122887,0.00830113,0.123461,0.115184,True,0.108197275,0.123467,0.11519,0.00827699,True,0.181385,0.0599467,0.0953172,0.0961402,0.336101,0.338038,0.184171,1.2,0.0396211
20,train,0,0,True,True,0.129121,0.112507,0.0166134,0.163425,0.143219,0.0162376,0.00803712,0.129119,0.112501,True,0.0988581,0.129121,0.112507,0.0166134,True,0.0568814,0.194547,0.0475425,0.0964615,0.334633,0.337483,0.158756,1.2,0.0286569
21,train,1,1,True,True,0.128187,0.107382,0.0208046,0.138965,0.162321,0.0151003,0.0110639,0.107376,0.128182,True,0.09394949999999999,0.128187,0.107382,0.0208046,True,0.061107,0.128045,-3.20532e-26,0.186646,0.337193,0.336196,1.2,0.142076,0.0258614
22,train,2,1,True,True,0.11947,0.11701,0.00245946,0.150821,0.15184,0.0263979,0.0156061,0.117006,0.119463,True,0.08915985,0.11947,0.11701,0.00245946,True,0.100813,0.066801,0.149064,0.0399614,0.334566,0.3367,1.19999,0.703779,0.0303073
23,train,3,0,True,True,0.123462,0.115184,0.00827894,0.157405,0.14223,0.0122889,0.00830078,0.123457,0.115177,True,0.10819219999999999,0.123462,0.115184,0.00827894,True,0.181387,0.0599378,0.0953111,0.0961329,0.336101,0.338038,0.184172,1.2,0.0259634
24,train,0,0,True,True,0.129116,0.112501,0.0166147,0.16342,0.143214,0.0162406,0.00803813,0.129114,0.112495,True,0.09885065000000001,0.129116,0.112501,0.0166147,True,0.0568745,0.194541,0.0475357,0.0964514,0.334632,0.337482,0.158746,1.2,0.0285867
25,train,1,1,True,True,0.128182,0.107377,0.0208054,0.13896,0.162316,0.0151008,0.0110655,0.107371,0.128177,True,0.093944125,0.128182,0.107377,0.0208054,True,0.0610995,0.128037,-3.20479e-26,0.18664,0.337193,0.336196,1.2,0.14206,0.0258607
26,train,2,1,True,True,0.119465,0.117006,0.00245955,0.150816,0.151836,0.0263976,0.0156063,0.117001,0.119458,True,0.089152625,0.119465,0.117006,0.00245955,True,0.100808,0.0667929,0.149056,0.0399536,0.334566,0.3367,1.19999,0.703756,0.0303081
27,train,3,0,True,True,0.123441,0.114291,0.00914996,0.1574,0.142224,0.0122892,0.00830042,0.123435,0.114285,True,0.108186975,0.123441,0.114291,0.00914996,True,0.181388,0.059929,0.0953051,0.0961258,0.3361,0.338038,0.18015,1.2,0.0259586
28,train,0,0,True,True,0.129111,0.112496,0.0166147,0.163415,0.143209,0.0162437,0.00803915,0.129109,0.11249,True,0.098843225,0.129111,0.112496,0.0166147,True,0.0568676,0.194535,0.047529,0.0964413,0.334632,0.337482,0.15874,1.2,0.0285875
29,train,1,1,True,True,0.128177,0.107371,0.0208061,0.138954,0.162311,0.0151012,0.0110671,0.107365,0.128172,True,0.09393902500000001,0.128177,0.107371,0.0208061,True,0.0610921,0.12803,-3.2043e-26,0.186634,0.337193,0.336195,1.2,0.142044,0.0258608
30,train,2,1,True,True,0.11946,0.117001,0.00245963,0.150811,0.151832,0.0263974,0.0156065,0.116996,0.119454,True,0.089145425,0.11946,0.117001,0.00245963,True,0.100802,0.0667848,0.149049,0.0399459,0.334566,0.3367,1.19999,0.703733,0.0303088
31,train,3,0,True,True,0.123436,0.114284,0.00915242,0.157395,0.142218,0.0122894,0.00830006,0.123431,0.114278,True,0.1081819,0.123436,0.114284,0.00915242,True,0.18139,0.0599202,0.0952989,0.0961185,0.3361,0.338038,0.180136,1.2,0.0259587
32,train,0,0,True,True,0.129106,0.112491,0.0166159,0.16341,0.143204,0.0162468,0.00804016,0.129104,0.112484,True,0.09883575,0.129106,0.112491,0.0166159,True,0.0568607,0.194529,0.0475222,0.0964311,0.334631,0.337482,0.158729,1.2,0.0285877
33,train,1,1,True,True,0.128156,0.106342,0.0218139,0.138948,0.162306,0.0151017,0.0110687,0.106336,0.128151,True,0.0939339,0.128156,0.106342,0.0218139,True,0.0610846,0.128022,-3.20381e-26,0.186629,0.337193,0.336195,1.2,0.137511,0.0258591
34,train,2,1,True,True,0.119455,0.116996,0.00245972,0.150806,0.151828,0.0263971,0.0156067,0.116991,0.119449,True,0.089138475,0.119455,0.116996,0.00245972,True,0.100797,0.0667767,0.149042,0.0399382,0.334566,0.336699,1.19999,0.70371,0.0303096
35,train,3,0,True,True,0.123448,0.115163,0.00828562,0.15739,0.142211,0.0122897,0.0082997,0.123442,0.115156,True,0.10817685,0.123448,0.115163,0.00828562,True,0.181392,0.0599113,0.0952928,0.0961113,0.3361,0.338037,0.184131,1.2,0.0259636
36,train,0,0,True,True,0.129102,0.112483,0.0166184,0.163406,0.143199,0.0162499,0.00804117,0.1291,0.112477,True,0.098828275,0.129102,0.112483,0.0166184,True,0.0568537,0.194523,0.0475154,0.096421,0.33463,0.337482,0.158715,1.2,0.0285891
37,train,1,1,True,True,0.128167,0.10736,0.0208077,0.138943,0.162301,0.0151022,0.0110703,0.107354,0.128162,True,0.0939288,0.128167,0.10736,0.0208077,True,0.0610772,0.128015,-3.20332e-26,0.186623,0.337193,0.336195,1.2,0.142012,0.0258609
38,train,2,1,True,True,0.11945,0.116991,0.0024598,0.150801,0.151824,0.0263969,0.0156069,0.116986,0.119444,True,0.08913125,0.11945,0.116991,0.0024598,True,0.100792,0.0667686,0.149034,0.0399304,0.334566,0.336699,1.2,0.229164,0.030296
39,train,3,0,True,True,0.123425,0.114097,0.00932877,0.157385,0.142205,0.0122899,0.00829934,0.12342,0.11409,True,0.108171825,0.123425,0.114097,0.00932877,True,0.181394,0.0599025,0.0952867,0.0961041,0.336099,0.338037,0.58114,1.19999,0.0259632
40,train,0,0,True,True,0.129097,0.112477,0.0166197,0.163401,0.143194,0.016253,0.00804218,0.129095,0.112471,True,0.0988211,0.129097,0.112477,0.0166197,True,0.0568468,0.194518,0.0475087,0.0964109,0.334629,0.337482,0.15895,1.2,0.0285929
41,train,1,1,True,True,0.128157,0.107063,0.0210947,0.138937,0.162296,0.0151026,0.0110719,0.107057,0.128152,True,0.09392345,0.128157,0.107063,0.0210947,True,0.0610698,0.128007,-3.20283e-26,0.186617,0.337193,0.336195,1.2,0.140793,0.0258607
42,train,2,1,True,True,0.119446,0.116986,0.00245989,0.150796,0.151819,0.0263966,0.0156071,0.116981,0.119439,True,0.089124025,0.119446,0.116986,0.00245989,True,0.100786,0.0667604,0.149027,0.0399227,0.334566,0.336699,1.19999,0.703663,0.0303112
43,train,3,0,True,True,0.123422,0.114262,0.00915978,0.157381,0.142198,0.0122901,0.00829899,0.123417,0.114256,True,0.10816654999999999,0.123422,0.114262,0.00915978,True,0.181395,0.0598937,0.0952806,0.0960969,0.336099,0.338037,0.18028,1.2,0.0259589
44,train,0,0,True,True,0.129092,0.112471,0.016621,0.163396,0.143189,0.0162561,0.0080432,0.12909,0.112465,True,0.09881362499999999,0.129092,0.112471,0.016621,True,0.0568399,0.194512,0.0475019,0.0964007,0.334628,0.337482,0.158694,1.2,0.0285906
45,train,1,1,True,True,0.128141,0.106325,0.0218163,0.138932,0.162291,0.0151031,0.0110736,0.106319,0.128136,True,0.09391807499999999,0.128141,0.106325,0.0218163,True,0.0610623,0.127999,-3.20234e-26,0.186611,0.337193,0.336195,1.2,0.137454,0.0258592
46,train,2,1,True,True,0.119441,0.116981,0.00245997,0.150791,0.151815,0.0263963,0.0156073,0.116976,0.119434,True,0.089117075,0.119441,0.116981,0.00245997,True,0.100781,0.0667523,0.14902,0.039915,0.334566,0.336699,1.2,0.229174,0.0302976
47,train,3,0,True,True,0.123417,0.114255,0.00916223,0.157376,0.142192,0.0122904,0.00829863,0.123412,0.114249,True,0.1081615,0.123417,0.114255,0.00916223,True,0.181397,0.0598848,0.0952745,0.0960897,0.336099,0.338037,0.180265,1.2,0.0259592
48,train,0,0,True,True,0.129088,0.112467,0.016621,0.163391,0.143184,0.0162592,0.00804421,0.129086,0.11246,True,0.09880620000000001,0.129088,0.112467,0.016621,True,0.056833,0.194506,0.0474952,0.0963906,0.334627,0.337482,0.158688,1.2,0.0285914
49,train,1,1,True,True,0.128152,0.107342,0.02081,0.138926,0.162286,0.0151035,0.0110752,0.107337,0.128147,True,0.093912975,0.128152,0.107342,0.02081,True,0.0610549,0.127992,-3.20186e-26,0.186605,0.337193,0.336195,1.2,0.141964,0.025861
50,train,2,1,True,True,0.119436,0.116976,0.00246006,0.150786,0.151811,0.0263961,0.0156075,0.116971,0.119429,True,0.08910985,0.119436,0.116976,0.00246006,True,0.100776,0.0667442,0.149012,0.0399072,0.334566,0.336698,1.2,0.229178,0.0302984
51,train,3,0,True,True,0.123429,0.115134,0.00829478,0.157371,0.142186,0.0122906,0.00829827,0.123423,0.115128,True,0.108156425,0.123429,0.115134,0.00829478,True,0.181399,0.059876,0.0952683,0.0960824,0.336098,0.338037,0.184075,1.2,0.0259642
52,train,0,0,True,True,0.129083,0.112459,0.0166235,0.163386,0.143179,0.0162623,0.00804522,0.129081,0.112453,True,0.09879869999999999,0.129083,0.112459,0.0166235,True,0.056826,0.1945,0.0474884,0.0963804,0.334626,0.337481,0.158673,1.2,0.0285922
53,train,1,1,True,True,0.128148,0.107337,0.0208107,0.138921,0.162281,0.015104,0.0110768,0.107331,0.128142,True,0.093907625,0.128148,0.107337,0.0208107,True,0.0610475,0.127984,-3.20137e-26,0.186599,0.337193,0.336195,1.2,0.141948,0.0258611
54,train,2,1,True,True,0.119431,0.116971,0.00246015,0.150781,0.151807,0.0263958,0.0156077,0.116966,0.119424,True,0.08910264999999999,0.119431,0.116971,0.00246015,True,0.10077,0.0667361,0.149005,0.0398995,0.334566,0.336698,1.19999,0.703594,0.0303135
55,train,3,0,True,True,0.123424,0.115127,0.008297,0.157366,0.142179,0.0122909,0.00829791,0.123419,0.115121,True,0.108151375,0.123424,0.115127,0.008297,True,0.181401,0.0598671,0.0952622,0.0960752,0.336098,0.338036,0.184061,1.2,0.0259638
56,train,0,0,True,True,0.129078,0.112453,0.0166248,0.163381,0.143174,0.0162653,0.00804624,0.129076,0.112447,True,0.09879127500000001,0.129078,0.112453,0.0166248,True,0.0568191,0.194494,0.0474817,0.0963703,0.334625,0.337481,0.158915,1.2,0.028593
57,train,1,1,True,True,0.128138,0.10704,0.0210978,0.138915,0.162276,0.0151044,0.0110784,0.107034,0.128132,True,0.0939025,0.128138,0.10704,0.0210978,True,0.06104,0.127977,-3.20088e-26,0.186593,0.337193,0.336194,1.2,0.140726,0.0258608
58,train,2,1,True,True,0.119426,0.116966,0.00246024,0.150776,0.151803,0.0263956,0.0156078,0.116961,0.11942,True,0.08909569999999999,0.119426,0.116966,0.00246024,True,0.100765,0.066728,0.148998,0.0398918,0.334566,0.336698,1.19999,0.703571,0.0303143
59,train,3,0,True,True,0.12342,0.115121,0.00829923,0.157361,0.142173,0.0122911,0.00829756,0.123414,0.115114,True,0.1081461,0.12342,0.115121,0.00829923,True,0.181402,0.0598583,0.0952561,0.096068,0.336098,0.338036,0.184048,1.2,0.0259639
60,train,0,0,True,True,0.129073,0.112447,0.016626,0.163377,0.143169,0.0162684,0.00804725,0.129071,0.112441,True,0.09878379999999999,0.129073,0.112447,0.016626,True,0.0568122,0.194488,0.0474749,0.0963601,0.334624,0.337481,0.158652,1.2,0.0285938
61,train,1,1,True,True,0.128133,0.107034,0.0210986,0.13891,0.162271,0.0151049,0.01108,0.107028,0.128127,True,0.09389715,0.128133,0.107034,0.0210986,True,0.0610326,0.127969,-3.20039e-26,0.186587,0.337193,0.336194,1.2,0.14055,0.0258609
62,train,2,1,True,True,0.119421,0.116961,0.00246032,0.150771,0.151799,0.0263953,0.015608,0.116956,0.119415,True,0.08908845000000001,0.119421,0.116961,0.00246032,True,0.10076,0.0667198,0.14899,0.039884,0.334566,0.336697,1.2,0.229192,0.0303007
63,train,3,0,True,True,0.123415,0.115114,0.00830145,0.157357,0.142167,0.0122913,0.0082972,0.123409,0.115107,True,0.10814105,0.123415,0.115114,0.00830145,True,0.181404,0.0598494,0.09525,0.0960608,0.336098,0.338036,0.184034,1.2,0.0259643
64,train,0,0,True,True,0.129069,0.112441,0.0166273,0.163372,0.143164,0.0162715,0.00804827,0.129067,0.112435,True,0.09877657499999999,0.129069,0.112441,0.0166273,True,0.0568052,0.194483,0.0474681,0.09635,0.334624,0.337481,0.158642,1.2,0.0285946
65,train,1,1,True,True,0.128128,0.107029,0.0210991,0.138904,0.162266,0.0151054,0.0110816,0.107023,0.128122,True,0.093891775,0.128128,0.107029,0.0210991,True,0.0610251,0.127961,-3.19989e-26,0.186581,0.337193,0.336194,1.2,0.140535,0.0258609
66,train,2,1,True,True,0.119416,0.116956,0.00246041,0.150766,0.151794,0.0263951,0.0156082,0.116951,0.11941,True,0.08908125,0.119416,0.116956,0.00246041,True,0.100754,0.0667117,0.148983,0.0398763,0.334566,0.336697,1.2,0.229197,0.0303015
67,train,3,0,True,True,0.12341,0.115107,0.00830367,0.157352,0.14216,0.0122916,0.00829684,0.123404,0.1151,True,0.10813600000000001,0.12341,0.115107,0.00830367,True,0.181406,0.0598406,0.0952438,0.0960536,0.336097,0.338036,0.18402,1.2,0.0259644
