cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.129958,0.137248,-0.00728982,0.158087,0.166636,0.00771186,0.00749777,0.129951,0.13724,False,0.10044502500000001,0.129958,0.137248,-0.00728982,False,0.0587726,0.194423,0.0493458,0.0992387,0.337375,0.337328,1.21753,1.21744,
1,initial_eval,1,1,False,False,0.13603,0.128892,0.00713766,0.154725,0.163507,0.0100113,0.00979481,0.128885,0.136023,True,0.09478819999999999,0.13603,0.128892,0.00713766,True,0.0629228,0.129432,-3.37766e-26,0.186798,0.337771,0.33771,1.20703,1.2069,
2,initial_eval,2,1,False,False,0.146042,0.138443,0.00759886,0.170894,0.179221,0.00863594,0.00839768,0.138436,0.146034,True,0.090777075,0.146042,0.138443,0.00759886,True,0.101401,0.0690115,0.150533,0.0421628,0.337569,0.337517,1.19651,1.19631,
3,initial_eval,3,0,False,False,0.13334,0.140454,-0.00711398,0.158556,0.167375,0.00881306,0.00858829,0.133332,0.140446,False,0.10864892500000001,0.13334,0.140454,-0.00711398,False,0.1776,0.0625996,0.0967068,0.0976893,0.338113,0.338033,1.18617,1.18592,
4,train,0,0,True,True,0.130366,0.137542,-0.00717667,0.158083,0.166632,0.0077124,0.00749829,0.130359,0.137535,False,0.1004377,0.130366,0.137542,-0.00717667,False,0.0587658,0.194417,0.0493393,0.0992287,0.337417,0.33737,1.19999,0.690442,1.04429
5,train,1,1,True,True,0.127591,0.133332,-0.00574158,0.16264,0.154351,0.0103468,0.0100573,0.133325,0.127584,False,0.0946823,0.127591,0.133332,-0.00574158,False,0.0626892,0.129261,-3.34389e-26,0.186779,0.337302,0.33781,0.693702,1.19999,1.04429
6,train,2,1,True,True,0.145776,0.133636,0.0121404,0.16565,0.178118,0.00927105,0.00850496,0.133628,0.145768,True,0.09039495,0.145776,0.133636,0.0121404,True,0.101271,0.0684787,0.150188,0.0416421,0.337512,0.337441,1.19999,0.671336,0.0351965
7,train,3,0,True,True,0.12912,0.141303,-0.0121831,0.152245,0.168378,0.00894193,0.00910336,0.129113,0.141295,False,0.108543575,0.12912,0.141303,-0.0121831,False,0.178526,0.0619465,0.0963873,0.0973145,0.338069,0.337555,1.2,0.177234,1.04431
8,train,0,0,True,True,0.144255,0.128213,0.0160421,0.178793,0.158048,0.00757147,0.00931924,0.144248,0.128206,True,0.09987230000000001,0.144255,0.128213,0.0160421,True,0.058083,0.194495,0.0486942,0.098217,0.336373,0.337246,0.170134,1.2,0.032648
9,train,1,1,True,True,0.142409,0.13118,0.0112291,0.158875,0.176965,0.0111425,0.0100344,0.131173,0.142403,True,0.09449055,0.142409,0.13118,0.0112291,True,0.0622632,0.128943,-3.31128e-26,0.186756,0.337579,0.336466,1.2,0.179346,0.0258658
10,train,2,1,True,True,0.135917,0.14049,-0.004573,0.172879,0.167739,0.00934253,0.00874947,0.140482,0.13591,False,0.090195125,0.135917,0.14049,-0.004573,False,0.10121,0.0682016,0.150003,0.0413659,0.337217,0.337498,1.19999,0.528834,0.0281646
11,train,3,0,True,True,0.137706,0.131404,0.00630216,0.166487,0.157833,0.00844573,0.009531,0.137699,0.131397,True,0.108493275,0.137706,0.131404,0.00630216,True,0.179028,0.0616104,0.0962153,0.0971194,0.337415,0.337715,1.2,0.423322,1.04431
12,train,0,0,True,True,0.14547,0.120551,0.0249197,0.18017,0.150135,0.0100242,0.00964558,0.145465,0.120544,True,0.09966392499999999,0.14547,0.120551,0.0249197,True,0.0578345,0.194512,0.0484582,0.097851,0.336248,0.337284,0.154482,1.2,0.0337738
13,train,1,1,True,True,0.134538,0.131102,0.00343597,0.159816,0.168858,0.0134438,0.0103797,0.131094,0.134532,True,0.09438339999999999,0.134538,0.131102,0.00343597,True,0.0620266,0.128762,-3.29405e-26,0.186745,0.337423,0.336478,0.522575,1.19999,1.04431
14,train,2,1,True,True,0.128295,0.136238,-0.00794234,0.170297,0.159639,0.0134824,0.00617201,0.13623,0.128288,False,0.089782875,0.128295,0.136238,-0.00794234,False,0.101062,0.067637,0.149629,0.0408035,0.33662,0.337493,0.187879,1.2,1.04431
15,train,3,0,True,True,0.134044,0.135496,-0.00145249,0.167991,0.160584,0.00925337,0.00781956,0.134036,0.135489,False,0.10832554999999999,0.134044,0.135496,-0.00145249,False,0.180419,0.0606335,0.0957012,0.0965485,0.336187,0.33774,0.642792,1.19999,0.0387614
16,train,0,0,True,True,0.128135,0.131997,-0.00386137,0.16233,0.161057,0.00811991,0.0126113,0.128131,0.131989,False,0.0992812,0.128135,0.131997,-0.00386137,False,0.057381,0.19453,0.0480259,0.0971879,0.336283,0.33682,0.489372,1.2,0.0291543
17,train,1,1,True,True,0.149362,0.115279,0.0340831,0.142138,0.184002,0.00998833,0.0140439,0.115272,0.149354,True,0.0941771,0.149362,0.115279,0.0340831,True,0.0615874,0.128424,-3.24031e-26,0.186697,0.337829,0.335717,1.2,0.141097,0.0257234
18,train,2,1,True,True,0.13942,0.126773,0.0126476,0.160514,0.170496,0.0139423,0.0058574,0.126766,0.139413,True,0.08959312500000001,0.13942,0.126773,0.0126476,True,0.100988,0.0673794,0.149458,0.0405471,0.336658,0.337216,1.2,0.175912,0.0272485
19,train,3,0,True,True,0.134039,0.135489,-0.00144975,0.167987,0.160576,0.00925412,0.00781886,0.134032,0.135481,False,0.10832055,0.134039,0.135489,-0.00144975,False,0.180421,0.0606247,0.0956952,0.0965413,0.336187,0.33774,0.642862,1.19999,0.0258476
20,train,0,0,True,True,0.128132,0.13199,-0.00385876,0.162327,0.161052,0.00812174,0.0126126,0.128128,0.131983,False,0.099273775,0.128132,0.13199,-0.00385876,False,0.0573741,0.194524,0.0480192,0.0971778,0.336282,0.33682,0.489456,1.2,0.0290892
21,train,1,1,True,True,0.149357,0.115273,0.034084,0.142134,0.183997,0.00998847,0.0140453,0.115267,0.149349,True,0.094171775,0.149357,0.115273,0.034084,True,0.0615801,0.128416,-3.23983e-26,0.186691,0.337829,0.335716,1.2,0.141089,0.0257228
22,train,2,1,True,True,0.139415,0.126768,0.0126472,0.160509,0.170492,0.0139432,0.00585752,0.126761,0.139407,True,0.08958595000000001,0.139415,0.126768,0.0126472,True,0.100983,0.0673713,0.14945,0.0405395,0.336658,0.337215,1.19999,0.646143,0.0272554
23,train,3,0,True,True,0.134035,0.135482,-0.00144701,0.167982,0.160569,0.00925488,0.00781815,0.134027,0.135474,False,0.10831552500000001,0.134035,0.135482,-0.00144701,False,0.180423,0.0606158,0.0956892,0.0965341,0.336186,0.33774,0.642999,1.19999,0.025848
24,train,0,0,True,True,0.128128,0.131984,-0.00385615,0.162323,0.161046,0.00812357,0.0126138,0.128124,0.131977,False,0.099266625,0.128128,0.131984,-0.00385615,False,0.0573672,0.194519,0.0480126,0.0971677,0.336282,0.33682,0.489541,1.2,0.0290898
25,train,1,1,True,True,0.149352,0.115267,0.0340847,0.142129,0.183992,0.0099886,0.0140467,0.115261,0.149344,True,0.094166675,0.149352,0.115267,0.0340847,True,0.0615727,0.128409,-3.23934e-26,0.186685,0.337829,0.335716,1.2,0.141082,0.0257228
26,train,2,1,True,True,0.13941,0.126763,0.0126467,0.160505,0.170488,0.013944,0.00585764,0.126756,0.139402,True,0.089578775,0.13941,0.126763,0.0126467,True,0.100977,0.0673632,0.149443,0.0405319,0.336658,0.337215,1.19999,0.646125,0.0272561
27,train,3,0,True,True,0.13403,0.135474,-0.00144427,0.167978,0.160562,0.00925564,0.00781745,0.134023,0.135467,False,0.10831052499999999,0.13403,0.135474,-0.00144427,False,0.180425,0.060607,0.0956832,0.0965269,0.336186,0.337739,0.643136,1.19999,0.0258481
28,train,0,0,True,True,0.128125,0.131978,-0.00385355,0.16232,0.161041,0.0081254,0.0126151,0.12812,0.131971,False,0.09925919999999999,0.128125,0.131978,-0.00385355,False,0.0573603,0.194513,0.0480059,0.0971576,0.336282,0.33682,0.489625,1.2,0.0290904
29,train,1,1,True,True,0.149347,0.115262,0.0340854,0.142124,0.183987,0.00998874,0.0140482,0.115255,0.149339,True,0.09416132499999999,0.149347,0.115262,0.0340854,True,0.0615653,0.128401,-3.23886e-26,0.186679,0.337829,0.335716,1.2,0.141075,0.0257229
30,train,2,1,True,True,0.139405,0.126758,0.0126462,0.1605,0.170483,0.0139449,0.00585776,0.126751,0.139397,True,0.08957185000000001,0.139405,0.126758,0.0126462,True,0.100972,0.0673552,0.149436,0.0405242,0.336658,0.337215,1.2,0.175871,0.0272506
31,train,3,0,True,True,0.134026,0.135467,-0.00144153,0.167974,0.160555,0.0092564,0.00781675,0.134018,0.13546,False,0.1083055,0.134026,0.135467,-0.00144153,False,0.180427,0.0605981,0.0956772,0.0965197,0.336186,0.337739,0.643273,1.19999,0.0258479
32,train,0,0,True,True,0.128121,0.131972,-0.00385094,0.162316,0.161036,0.00812722,0.0126164,0.128117,0.131965,False,0.0992518,0.128121,0.131972,-0.00385094,False,0.0573534,0.194507,0.0479993,0.0971475,0.336282,0.33682,0.489709,1.2,0.029091
33,train,1,1,True,True,0.149342,0.115256,0.0340861,0.142119,0.183982,0.00998887,0.0140496,0.115249,0.149334,True,0.09415622500000001,0.149342,0.115256,0.0340861,True,0.0615579,0.128394,-3.23838e-26,0.186673,0.337829,0.335716,1.2,0.141068,0.0257229
34,train,2,1,True,True,0.139399,0.126754,0.0126458,0.160496,0.170479,0.0139458,0.00585789,0.126747,0.139392,True,0.08956467500000001,0.139399,0.126754,0.0126458,True,0.100967,0.0673471,0.149428,0.0405166,0.336658,0.337215,1.2,0.175911,0.0272512
35,train,3,0,True,True,0.134021,0.13546,-0.00143879,0.167969,0.160548,0.00925716,0.00781604,0.134014,0.135453,False,0.10830050000000001,0.134021,0.13546,-0.00143879,False,0.180429,0.0605893,0.0956712,0.0965125,0.336186,0.337739,0.64341,1.19999,0.025848
36,train,0,0,True,True,0.128118,0.131966,-0.00384833,0.162313,0.161031,0.00812905,0.0126177,0.128113,0.131959,False,0.09924464999999999,0.128118,0.131966,-0.00384833,False,0.0573466,0.194502,0.0479926,0.0971374,0.336282,0.33682,0.489793,1.2,0.0290916
37,train,1,1,True,True,0.149337,0.11525,0.0340868,0.142114,0.183977,0.00998901,0.014051,0.115244,0.149329,True,0.094151125,0.149337,0.11525,0.0340868,True,0.0615505,0.128387,-3.2379e-26,0.186667,0.337829,0.335715,1.2,0.141061,0.0257229
38,train,2,1,True,True,0.139394,0.126749,0.0126453,0.160491,0.170475,0.0139467,0.00585801,0.126742,0.139387,True,0.08955774999999999,0.139394,0.126749,0.0126453,True,0.100962,0.067339,0.149421,0.040509,0.336658,0.337215,1.2,0.175911,0.0272519
39,train,3,0,True,True,0.134017,0.135453,-0.00143605,0.167965,0.160541,0.00925792,0.00781534,0.134009,0.135445,False,0.10829542500000001,0.134017,0.135453,-0.00143605,False,0.180431,0.0605804,0.0956651,0.0965052,0.336185,0.337739,0.643547,1.19999,0.0258481
