cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.131382,0.13864,-0.00725826,0.158207,0.16676,0.158168,0.16672,0.13138,0.138638,False,0.1002362,0.131382,0.13864,-0.00725826,False,0.13138,0.138639,-0.00725819,False,0.131379,0.138637,-0.00725811,False,0.131378,0.138636,-0.00725804,False,0.058567,0.194207,0.0491414,0.0990294,0.337365,0.337318,1.16471e-09,1.2,
1,initial_eval,1,1,False,False,0.137575,0.130438,0.00713702,0.154852,0.163636,0.154812,0.163595,0.130436,0.137573,True,0.094629875,0.137575,0.130438,0.00713702,True,0.137573,0.130436,0.00713695,True,0.137572,0.130435,0.00713687,True,0.137571,0.130434,0.0071368,True,0.0627165,0.12922,6.40907e-23,0.186583,0.337763,0.337701,1.2,1.16471e-09,
2,initial_eval,2,1,False,False,0.146968,0.139465,0.00750383,0.17102,0.179342,0.17098,0.179303,0.139463,0.146967,True,0.0905688,0.146968,0.139465,0.00750383,True,0.146967,0.139463,0.00750375,True,0.146965,0.139462,0.00750368,True,0.146964,0.13946,0.0075036,True,0.101191,0.0688048,0.15032,0.0419594,0.337554,0.337501,1.2,1.16471e-09,
3,initial_eval,3,0,False,False,0.135272,0.142343,-0.00707094,0.158712,0.167525,0.158662,0.167477,0.13527,0.142341,False,0.108439025,0.135272,0.142343,-0.00707094,False,0.135271,0.142342,-0.00707087,False,0.135269,0.14234,-0.0070708,False,0.135268,0.142339,-0.00707073,False,0.177385,0.0623935,0.0964976,0.09748,0.338099,0.338019,1.2,1.16471e-09,
4,train,0,0,True,True,0.131781,0.138938,-0.00715719,0.158207,0.16676,0.158167,0.166718,0.131779,0.138937,False,0.10022914999999999,0.131781,0.138938,-0.00715719,False,0.13178,0.138937,-0.00715712,False,0.131778,0.138935,-0.00715705,False,0.131777,0.138934,-0.00715697,False,0.0585602,0.194202,0.0491349,0.0990195,0.337365,0.337318,1.20251,0.000122933,0.0234241
5,train,1,1,True,True,0.137857,0.1308,0.00705702,0.154852,0.163636,0.15481,0.163593,0.130798,0.137855,True,0.0946248,0.137857,0.1308,0.00705702,True,0.137855,0.130798,0.00705695,True,0.137854,0.130797,0.00705688,True,0.137853,0.130796,0.00705681,True,0.0627092,0.129213,-1.67913e-26,0.186577,0.337763,0.337701,1.20214,0.000112271,1.04694
6,train,2,1,True,True,0.147295,0.139869,0.00742551,0.171154,0.179474,0.171112,0.179434,0.139868,0.147293,True,0.09036557499999999,0.147295,0.139869,0.00742551,True,0.147293,0.139868,0.00742544,True,0.147292,0.139867,0.00742536,True,0.147291,0.139865,0.00742529,True,0.101132,0.0685207,0.150132,0.0416776,0.337545,0.337492,1.2024,0.000122016,1.04533
7,train,3,0,True,True,0.135253,0.142285,-0.00703252,0.158668,0.167496,0.158616,0.167446,0.135251,0.142284,False,0.108352,0.135253,0.142285,-0.00703252,False,0.135252,0.142284,-0.00703245,False,0.13525,0.142283,-0.00703238,False,0.135249,0.142281,-0.00703231,False,0.178371,0.0617495,0.0961774,0.0971101,0.338066,0.337987,1.20169,8.81285e-05,0.0439628
8,train,0,0,True,True,0.132009,0.139167,-0.00715795,0.158435,0.166995,0.158395,0.166953,0.132008,0.139166,False,0.09986,0.132009,0.139167,-0.00715795,False,0.132008,0.139166,-0.00715788,False,0.132007,0.139164,-0.00715781,False,0.132005,0.139163,-0.00715774,False,0.0581099,0.194262,0.0487079,0.0983602,0.337344,0.337297,1.20251,0.000122665,0.017018
9,train,1,1,True,True,0.137888,0.130821,0.00706731,0.155056,0.163847,0.155013,0.163804,0.130819,0.137887,True,0.09443307499999999,0.137888,0.130821,0.00706731,True,0.137887,0.13082,0.00706724,True,0.137885,0.130818,0.00706717,True,0.137884,0.130817,0.0070671,True,0.0622823,0.1289,-1.66358e-26,0.18655,0.337753,0.337691,1.20213,0.000111884,1.04533
10,train,2,1,True,True,0.147416,0.139981,0.00743559,0.171387,0.179703,0.171345,0.179663,0.139979,0.147415,True,0.089992875,0.147416,0.139981,0.00743559,True,0.147415,0.139979,0.00743552,True,0.147413,0.139978,0.00743544,True,0.147412,0.139977,0.00743537,True,0.101017,0.0680036,0.149789,0.0411619,0.337529,0.337476,1.2024,0.00012194,1.04533
