cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.131382,0.13864,-0.00725826,0.158207,0.16676,0.158168,0.16672,0.13138,0.138638,False,0.1002362,0.131382,0.13864,-0.00725826,False,0.13138,0.138638,-0.00725818,False,0.131379,0.138637,-0.00725811,False,0.131378,0.138636,-0.00725804,False,0.058567,0.194207,0.0491414,0.0990294,0.337365,0.337318,1.16471e-09,1.2,
1,initial_eval,1,1,False,False,0.137574,0.130437,0.00713698,0.154851,0.163635,0.15481,0.163593,0.130435,0.137572,True,0.094629875,0.137574,0.130437,0.00713698,True,0.137572,0.130435,0.00713691,True,0.137571,0.130434,0.00713684,True,0.13757,0.130433,0.00713676,True,0.0627165,0.12922,6.41285e-23,0.186583,0.337763,0.337701,1.2,1.16471e-09,
2,initial_eval,2,1,False,False,0.146966,0.139462,0.00750376,0.171018,0.17934,0.170977,0.179301,0.139461,0.146965,True,0.0905688,0.146966,0.139462,0.00750376,True,0.146965,0.139461,0.00750368,True,0.146963,0.13946,0.00750361,True,0.146962,0.139458,0.00750353,True,0.101191,0.0688048,0.15032,0.0419594,0.337554,0.337501,1.2,1.16471e-09,
3,initial_eval,3,0,False,False,0.134741,0.141866,-0.00712423,0.158708,0.167521,0.158658,0.167474,0.13474,0.141864,False,0.10843915,0.134741,0.141866,-0.00712423,False,0.13474,0.141864,-0.00712416,False,0.134739,0.141863,-0.00712409,False,0.134737,0.141861,-0.00712402,False,0.177385,0.0623937,0.0964978,0.0974801,0.338099,0.338019,1.2,1.16471e-09,
4,train,0,0,True,True,0.131777,0.138934,-0.00715702,0.158203,0.166755,0.158162,0.166713,0.131776,0.138933,False,0.10022914999999999,0.131777,0.138934,-0.00715702,False,0.131776,0.138933,-0.00715695,False,0.131774,0.138931,-0.00715688,False,0.131773,0.13893,-0.0071568,False,0.0585602,0.194202,0.0491349,0.0990195,0.337365,0.337318,1.20251,0.000122933,0.0234249
5,train,1,1,True,True,0.137852,0.130795,0.00705681,0.154847,0.16363,0.154804,0.163587,0.130793,0.13785,True,0.0946248,0.137852,0.130795,0.00705681,True,0.13785,0.130794,0.00705674,True,0.137849,0.130792,0.00705667,True,0.137848,0.130791,0.0070566,True,0.0627092,0.129213,-1.67913e-26,0.186577,0.337763,0.337701,1.20214,0.000112269,1.04694
6,train,2,1,True,True,0.272468,0.00386997,0.268598,0.0345087,0.28552,0.0345126,0.285427,0.00391947,0.272465,True,0.09036552499999999,0.272468,0.00386997,0.268598,True,0.272465,0.00391353,0.268552,True,0.272462,0.00395058,0.268512,True,0.27246,0.0040019,0.268458,True,0.101132,0.0685206,0.150132,0.0416775,1.17308,0.3363,1.1647e-09,1.2,0.02961
7,train,3,0,True,True,0.00527046,0.268811,-0.263541,0.0360184,0.25881,0.0360242,0.258703,0.00533247,0.268808,False,0.1083915,0.00527046,0.268811,-0.263541,False,0.0053251,0.268808,-0.263483,False,0.00537083,0.268806,-0.263435,False,0.00541723,0.268803,-0.263386,False,0.17792,0.0620395,0.0963267,0.0972798,1.15292,0.336854,1.1647e-09,1.2,1.04533
8,train,0,0,True,True,0.0177185,0.0188712,-0.00115273,0.048852,0.0500396,0.0488523,0.0500396,0.0177773,0.0189296,False,0.09984232500000001,0.0177185,0.0188712,-0.00115273,False,0.0177703,0.0189227,-0.00115238,False,0.0178133,0.0189654,-0.0011521,False,0.0178247,0.0189765,-0.00115187,False,0.0580895,0.194264,0.0486897,0.0983261,0.752868,0.695905,1.16466e-09,1.20001,1.04533
9,train,1,1,True,True,0.00920974,0.0178261,-0.0086164,0.0490106,0.0401712,0.0490177,0.0401825,0.0178954,0.00929106,False,0.09433929999999999,0.00920974,0.0178261,-0.0086164,False,0.00928148,0.0178872,-0.00860576,False,0.00934058,0.0179379,-0.00859735,False,0.0093636,0.0179516,-0.00858799,False,0.0620712,0.128743,-1.62668e-26,0.186543,0.745179,1.06795,1.2,1.16469e-09,1.04533
