chunk,samples_seen,test_accuracy,test_correct,note,checkpoint,wall_time_s
0,0,0.928,928,initial,,0.0023007499999998515
5,20,0.926,926,post_chunk_eval,,0.006352290999999788
10,40,0.92,920,post_chunk_eval,,0.008949874999999885
15,60,0.915,915,post_chunk_eval,,0.011510125000000038
20,80,0.917,917,post_chunk_eval,,0.014160415999999731
25,100,0.925,925,post_chunk_eval,,0.01670879100000011
30,120,0.927,927,post_chunk_eval,,0.01908420799999977
35,140,0.925,925,post_chunk_eval,,0.021513582999999947
40,160,0.925,925,post_chunk_eval,,0.02412737499999995
45,180,0.925,925,post_chunk_eval,,0.026541874999999937
50,200,0.925,925,post_chunk_eval,,0.02894591600000007
53,212,0.923,923,post_chunk_eval,,0.030843249999999767
