chunk,samples_seen,test_accuracy,test_correct,note,checkpoint,wall_time_s
53,212,0.9481,9481,initial,,0.01654241600000006
75,300,0.9478,9478,post_chunk_eval,,0.03593958300000022
100,400,0.9474,9474,post_chunk_eval,/Users/ahle/kode/stochastic-local-computer/spice/results/fast_checkpoint_continuation_smallnet10_b4_s2_c2_scale_60kfull_e25_lr003_fast_resume212to1024/smallnet10_b4_s2_c2_scale_60kfull_e25_lr003_fast_resume212to1024_chunk0100_weights.npz,0.056261000000000116
125,500,0.9487,9487,post_chunk_eval,,0.07583237500000006
150,600,0.949,9490,post_chunk_eval,/Users/ahle/kode/stochastic-local-computer/spice/results/fast_checkpoint_continuation_smallnet10_b4_s2_c2_scale_60kfull_e25_lr003_fast_resume212to1024/smallnet10_b4_s2_c2_scale_60kfull_e25_lr003_fast_resume212to1024_chunk0150_weights.npz,0.09603729100000002
175,700,0.9461,9461,post_chunk_eval,,0.11561487500000034
200,800,0.9469,9469,post_chunk_eval,/Users/ahle/kode/stochastic-local-computer/spice/results/fast_checkpoint_continuation_smallnet10_b4_s2_c2_scale_60kfull_e25_lr003_fast_resume212to1024/smallnet10_b4_s2_c2_scale_60kfull_e25_lr003_fast_resume212to1024_chunk0200_weights.npz,0.135831166
225,900,0.947,9470,post_chunk_eval,,0.15536216599999975
250,1000,0.9481,9481,post_chunk_eval,/Users/ahle/kode/stochastic-local-computer/spice/results/fast_checkpoint_continuation_smallnet10_b4_s2_c2_scale_60kfull_e25_lr003_fast_resume212to1024/smallnet10_b4_s2_c2_scale_60kfull_e25_lr003_fast_resume212to1024_chunk0250_weights.npz,0.17552583300000002
256,1024,0.9477,9477,post_chunk_eval,/Users/ahle/kode/stochastic-local-computer/spice/results/fast_checkpoint_continuation_smallnet10_b4_s2_c2_scale_60kfull_e25_lr003_fast_resume212to1024/smallnet10_b4_s2_c2_scale_60kfull_e25_lr003_fast_resume212to1024_chunk0256_weights.npz,0.19193012499999984
