chunk,samples_seen,test_accuracy,test_correct,note,checkpoint,wall_time_s
0,0,0.924,1848,initial,,0.002754833000000012
5,20,0.922,1844,post_chunk_eval,,0.005550792000000193
10,40,0.919,1838,post_chunk_eval,,0.008013500000000118
15,60,0.9205,1841,post_chunk_eval,,0.010512124999999983
20,80,0.914,1828,post_chunk_eval,,0.013236000000000026
25,100,0.916,1832,post_chunk_eval,,0.017679624999999977
30,120,0.9095,1819,post_chunk_eval,,0.020217208000000042
35,140,0.913,1826,post_chunk_eval,,0.022777292000000227
40,160,0.907,1814,post_chunk_eval,,0.025338917000000016
45,180,0.9085,1817,post_chunk_eval,,0.02795358299999995
50,200,0.912,1824,post_chunk_eval,,0.030559875000000236
53,212,0.911,1822,post_chunk_eval,/Users/ahle/kode/stochastic-local-computer/spice/results/fast_checkpoint_continuation_tiny_below_b5_i9_b4_s2_c2_10k2k_e120_lr005_fastcont_lr005_0to212/tiny_below_b5_i9_b4_s2_c2_10k2k_e120_lr005_fastcont_lr005_0to212_chunk0053_weights.npz,0.03362483300000019
