epoch,xor_accuracy,mse
1,0.75,0.4993848551270268
2,0.75,0.47408834088800156
3,0.75,0.4600769963528464
4,0.75,0.4493040117039606
5,0.75,0.439770249481579
6,0.75,0.4313096580884344
7,0.75,0.4241047093382156
8,0.75,0.4181966963510933
9,0.75,0.4134095989230957
10,0.75,0.409442440733078
11,0.75,0.40598233279851953
12,0.75,0.4027716224643696
13,0.75,0.3996261505991879
14,0.75,0.396426029625942
15,0.75,0.39309740717387176
16,0.75,0.38960064401776073
17,0.75,0.3859089706035111
18,0.75,0.3820108578735844
19,0.75,0.3778994937780476
20,0.75,0.3735717410971303
21,0.75,0.36902590157050447
22,0.75,0.364261072315464
23,0.75,0.35927618146567397
24,0.75,0.3540691887905331
25,0.75,0.34863585990369594
26,0.75,0.34296815253086693
27,0.75,0.33705220567684885
28,0.75,0.33086607943641194
29,0.75,0.32437756602086676
30,0.75,0.31754260555937336
31,0.75,0.31030514880243126
32,0.75,0.3025995740553261
33,0.75,0.2943568444902361
34,0.75,0.2855148663324386
35,0.75,0.2760314416983587
36,0.75,0.265894892108412
37,1.0,0.25512519420373037
38,1.0,0.24376170826483332
39,1.0,0.23184399731999145
40,1.0,0.21940286729691932
41,1.0,0.20647687301974227
42,1.0,0.19315071631757325
43,1.0,0.1795893695162146
44,1.0,0.16603781194749373
45,1.0,0.15278005399986042
46,1.0,0.140081717768154
47,1.0,0.12814731396453993
48,1.0,0.11710503880152513
49,1.0,0.10701277567277949
50,1.0,0.09787349720764868
51,1.0,0.08965191103408231
52,1.0,0.08228880441528547
53,1.0,0.07571216446372143
54,1.0,0.06984520180782194
55,1.0,0.06461175042776064
56,1.0,0.05993961422205277
57,1.0,0.05576239763346665
58,1.0,0.05202029328158276
59,1.0,0.04866019437332848
60,1.0,0.04563540385628016
61,1.0,0.0429051267761913
62,1.0,0.04043386997749826
63,1.0,0.03819082406049473
64,1.0,0.03614927157009036
65,1.0,0.034286041741311876
66,1.0,0.03258102470140756
67,1.0,0.031016743708308876
68,1.0,0.029577984066021544
69,1.0,0.028251473558636397
70,1.0,0.027025608730275198
71,1.0,0.02589022097618949
72,1.0,0.02483637703176516
73,1.0,0.02385620958334677
74,1.0,0.0229427724358241
75,1.0,0.0220899171158702
76,1.0,0.021292187837037766
77,1.0,0.02054473137396281
78,1.0,0.01984322013055153
79,1.0,0.019183785927170013
80,1.0,0.018562963586224834
