epoch,heldout_accuracy,epoch_wall_time_s
1,0.435,21.746385834
2,0.44,20.789441833
3,0.475,20.364094833999992
4,0.51,20.530575041999995
5,0.54,21.487613707999998
6,0.565,21.665039000000007
7,0.65,22.189233083000005
8,0.63,21.848585874999998
9,0.655,21.67761116700001
10,0.66,21.14711225000002
11,0.66,20.602821000000006
12,0.65,22.109462916999973
13,0.67,21.84894295800001
14,0.665,21.726726333000045
15,0.675,21.85981620900003
16,0.68,21.195555083999977
17,0.665,20.808261707999975
18,0.68,21.266281042000003
19,0.685,21.754911624999977
20,0.68,21.094043833
