epoch,heldout_accuracy,epoch_wall_time_s
1,0.205,19.043894875
2,0.29,18.922418625000002
3,0.32,18.911912375
4,0.295,20.12634874999999
5,0.375,20.48441975
6,0.38,20.265461042
7,0.505,20.426585499999987
8,0.465,21.228083249999997
9,0.545,19.69877654199999
10,0.56,19.431965374999976
11,0.575,19.584297582999994
12,0.565,19.797475666999986
13,0.65,20.266996000000006
14,0.61,20.456995291
15,0.64,20.27228012500001
16,0.645,20.595098750000034
17,0.645,20.064880708000032
18,0.665,19.358224790999998
19,0.66,19.537826875000007
20,0.68,19.652981958999987
