image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_values,local_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,multiply_terms_per_sample
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,1,0.649,1298,0.537165125,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,2,0.8005,1601,1.0282842909999999,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,3,0.8525,1705,1.5171564160000002,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,4,0.869,1738,2.005566083,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,5,0.8705,1741,2.4942506659999997,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,6,0.867,1734,2.9806484999999996,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,7,0.877,1754,3.4814654160000003,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,8,0.8725,1745,3.966729166,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,9,0.879,1758,4.453356916000001,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,10,0.881,1762,4.964669666000001,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,11,0.879,1758,5.450209750000001,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,12,0.881,1762,5.939538458000001,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,13,0.8815,1763,6.424152250000001,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,14,0.8825,1765,6.935331250000001,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,15,0.8825,1765,7.436534083,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,16,0.8825,1765,7.937723625,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,17,0.883,1766,8.446241791,324,9,90,10,433,433,38,904,414
10,6,2,9,1,9,10000,2000,0.01,0.05,0.0,0,18,0.8805,1761,8.942583166,324,9,90,10,433,433,38,904,414
