epoch,heldout_accuracy,epoch_wall_time_s
1,0.105,11.439087208
2,0.13,11.251385125
3,0.135,11.601419499999999
4,0.14,12.069741041999997
5,0.155,11.904969416
6,0.165,11.95190404200001
7,0.15,11.879243500000001
8,0.165,12.15661762500001
9,0.16,12.232016250000001
10,0.215,11.926360125000002
11,0.26,11.964591958
12,0.265,11.821170417000019
13,0.285,11.388374583000001
14,0.3,11.631874125000024
15,0.305,11.41699245800001
16,0.305,11.45721312500001
17,0.295,11.39075249999999
18,0.285,11.808254458000022
19,0.295,12.070342874999994
20,0.305,12.33551912499999
