image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_values,local_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,multiply_terms_per_sample
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,1,0.437,437,0.12455275000000032,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,2,0.643,643,0.23439575,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,3,0.759,759,0.34358691700000055,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,4,0.801,801,0.45162887499999993,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,5,0.83,830,0.5587048340000003,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,6,0.844,844,0.6662737920000001,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,7,0.847,847,0.7743399589999997,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,8,0.864,864,0.880608542,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,9,0.867,867,0.9871387500000006,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,10,0.877,877,1.095585625,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,11,0.887,887,1.203040959,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,12,0.883,883,1.3094652089999999,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,13,0.886,886,1.4158384169999998,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,14,0.883,883,1.525207709,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,15,0.892,892,1.6327282500000004,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,16,0.891,891,1.739607125,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,17,0.89,890,1.8470590840000005,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,18,0.896,896,1.95416875,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,19,0.891,891,2.0619325,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,20,0.895,895,2.1721447090000003,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,21,0.896,896,2.287336584,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,22,0.897,897,2.397966084,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,23,0.899,899,2.5051450420000005,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,24,0.901,901,2.616631042,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,25,0.896,896,2.724848875,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,26,0.905,905,2.83261,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,27,0.892,892,2.9411380420000004,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,28,0.904,904,3.048196,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,29,0.907,907,3.155173125,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,30,0.902,902,3.261832792,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,31,0.906,906,3.375565667,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,32,0.898,898,3.488490625,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,33,0.905,905,3.6015673340000003,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,34,0.902,902,3.71442025,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,35,0.904,904,3.826727625,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,36,0.907,907,3.940669875,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,37,0.905,905,4.0525769170000006,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,38,0.906,906,4.164683125,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,39,0.907,907,4.277895,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.01,0.05,0.0,0,40,0.914,914,4.391142292,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,1,0.698,698,0.1149856249999992,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,2,0.841,841,0.22773095799999865,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,3,0.862,862,0.3384708749999987,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,4,0.873,873,0.4466261249999999,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,5,0.884,884,0.5538568749999992,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,6,0.89,890,0.6592364999999987,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,7,0.882,882,0.7648603749999996,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,8,0.893,893,0.875087916,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,9,0.888,888,0.9812292079999985,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,10,0.889,889,1.0937237499999988,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,11,0.9,900,1.2009722499999995,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,12,0.911,911,1.3098349579999997,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,13,0.9,900,1.4155983330000002,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,14,0.901,901,1.5211945829999998,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,15,0.908,908,1.6328707499999986,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,16,0.908,908,1.742043624999999,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,2000,1000,0.03,0.15,0.0,0,17,0.908,908,1.8459327909999992,1152,32,320,10,1514,1514,84,3112,1472
