image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_values,local_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,multiply_terms_per_sample
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,1,0.392,392,0.019641457999999723,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,2,0.399,399,0.026333332999999737,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,3,0.355,355,0.03150612499999994,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,4,0.398,398,0.03645204099999999,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,5,0.511,511,0.042888874999999604,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,6,0.551,551,0.048483082999999816,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,7,0.608,608,0.05371183299999993,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,8,0.645,645,0.05884874999999967,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,9,0.679,679,0.06418341599999966,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,10,0.703,703,0.06944241599999978,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,11,0.728,728,0.07481333299999982,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,12,0.746,746,0.08017945799999993,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,13,0.755,755,0.08552787499999992,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,14,0.789,789,0.09081645799999993,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,15,0.792,792,0.09614116599999978,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,16,0.795,795,0.10141087499999957,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,17,0.796,796,0.10665708299999999,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,18,0.783,783,0.11133983299999972,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,19,0.816,816,0.1168306659999998,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,20,0.812,812,0.12192874999999992,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,21,0.829,829,0.12751358299999982,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,22,0.833,833,0.1330066249999997,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,23,0.838,838,0.13826054099999974,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,24,0.84,840,0.14342049999999995,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,25,0.843,843,0.14848824999999977,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,26,0.837,837,0.15342666599999966,1152,32,320,10,1514,1514,84,3112,1472
12,6,2,16,2,32,1000,1000,0.3,1.5,0.0,0,27,0.849,849,0.15878820799999982,1152,32,320,10,1514,1514,84,3112,1472
