image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_sharing,shared_weight_values,shared_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,expanded_weight_equivalent_values,multiply_terms_per_sample
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,1,0.355,710,0.2839922920000002,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,2,0.6775,1355,0.5530262920000002,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,3,0.748,1496,0.8175262079999999,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,4,0.7825,1565,1.0805682500000002,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,5,0.8135,1627,1.3430325,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,6,0.8245,1649,1.6249831250000004,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,7,0.8325,1665,1.896624917,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,8,0.833,1666,2.167161583,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,9,0.842,1684,2.4554794579999997,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,10,0.8415,1683,2.721033292,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,11,0.8395,1679,2.9825013750000005,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,12,0.841,1682,3.2466794169999997,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,13,0.8405,1681,3.5224137499999997,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,14,0.842,1684,3.7853025830000004,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,15,0.8435,1687,4.048191624999999,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,16,0.8435,1687,4.30974675,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,17,0.844,1688,4.578393458000001,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,18,0.8455,1691,4.840376292,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,19,0.852,1704,5.132027000000001,shared_kernel,32,2,180,10,224,224,56,504,288,468
