image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_values,local_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,multiply_terms_per_sample
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,1,0.136,136,0.018041916999999685,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,2,0.163,163,0.020451333999999655,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,3,0.208,208,0.022747583999999765,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,4,0.265,265,0.024906333999999752,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,5,0.286,286,0.02723058399999978,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,6,0.297,297,0.029360791999999858,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,7,0.318,318,0.03143112499999967,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,8,0.325,325,0.033486374999999846,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,9,0.321,321,0.03521333399999982,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,10,0.338,338,0.03724908399999993,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,11,0.322,322,0.03901500000000002,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,12,0.335,335,0.040833874999999686,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,13,0.362,362,0.042993583999999974,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,14,0.372,372,0.04504137499999983,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,15,0.408,408,0.04707537499999992,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,16,0.447,447,0.04910670899999969,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,17,0.508,508,0.05116999999999994,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,18,0.523,523,0.05327704199999994,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,19,0.564,564,0.05535716699999993,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,20,0.593,593,0.05742449999999977,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,21,0.621,621,0.05944379199999972,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,22,0.639,639,0.061476541999999856,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,23,0.65,650,0.06353195899999964,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,24,0.669,669,0.06563141699999964,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,25,0.686,686,0.06769087499999982,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,26,0.687,687,0.06971537499999991,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,27,0.686,686,0.07150004199999982,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,28,0.702,702,0.07357324999999992,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,29,0.706,706,0.0757167919999997,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,30,0.709,709,0.07778624999999995,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,31,0.714,714,0.07993374999999991,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,32,0.715,715,0.08202766699999975,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,33,0.718,718,0.08405920899999986,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,34,0.723,723,0.08607712499999964,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,35,0.733,733,0.08808854199999994,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,36,0.736,736,0.09007912499999993,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,37,0.738,738,0.09221083399999985,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,38,0.745,745,0.09425974999999998,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,39,0.744,744,0.09595683399999988,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,40,0.744,744,0.09763691699999999,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,41,0.747,747,0.09966074999999996,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,42,0.749,749,0.10166504200000004,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,43,0.753,753,0.103714584,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,44,0.755,755,0.10575270899999989,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,45,0.757,757,0.10779608399999985,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,46,0.758,758,0.10981716699999966,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,47,0.763,763,0.11187366699999979,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,48,0.763,763,0.11356370899999968,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,49,0.773,773,0.11559020900000005,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,50,0.767,767,0.11727874999999965,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,51,0.774,774,0.11930266699999992,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,52,0.775,775,0.12128604199999993,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,53,0.779,779,0.12330304199999986,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,54,0.78,780,0.12534066699999968,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,55,0.786,786,0.12732591699999984,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,56,0.779,779,0.12902220899999994,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,57,0.78,780,0.1307219169999998,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,58,0.786,786,0.1324041669999998,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,59,0.787,787,0.13444600000000007,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.3,1.5,0.0,0,60,0.78,780,0.1361327499999998,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,1,0.086,86,0.00215195899999987,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,2,0.106,106,0.004205083999999637,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,3,0.204,204,0.006283458999999603,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,4,0.329,329,0.008300291999999931,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,5,0.358,358,0.01031170899999978,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,6,0.417,417,0.012336874999999914,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,7,0.529,529,0.014420624999999632,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,8,0.624,624,0.016447791999999684,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,9,0.631,631,0.018495999999999846,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,10,0.679,679,0.020536999999999583,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,11,0.697,697,0.02258595899999971,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,12,0.709,709,0.02464833399999966,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,13,0.704,704,0.026329458999999833,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,14,0.732,732,0.028349624999999712,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,15,0.733,733,0.030377666999999775,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,16,0.754,754,0.03239774999999989,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,17,0.743,743,0.034119083999999855,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,18,0.746,746,0.03581304200000002,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,19,0.773,773,0.037848208999999855,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,20,0.767,767,0.039562166999999704,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,21,0.782,782,0.04159216699999968,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,22,0.75,750,0.04329116700000002,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,23,0.752,752,0.044999083999999634,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,24,0.789,789,0.04700016699999976,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,25,0.784,784,0.04871924999999999,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,26,0.789,789,0.05042174999999993,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,27,0.782,782,0.052130499999999635,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,28,0.798,798,0.05418999999999974,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,29,0.791,791,0.05588912499999976,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,30,0.795,795,0.057572833999999684,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,31,0.789,789,0.05925837499999975,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,32,0.788,788,0.06093416699999965,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,33,0.784,784,0.06261295899999997,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,34,0.802,802,0.06461499999999987,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,35,0.795,795,0.06630349999999963,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,36,0.792,792,0.0679846249999998,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,37,0.79,790,0.06968320899999991,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,38,0.801,801,0.0713740839999999,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,39,0.796,796,0.07306749999999962,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,40,0.802,802,0.0747629169999997,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,41,0.806,806,0.07683574999999987,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,42,0.808,808,0.07885420899999973,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,43,0.815,815,0.08084441699999978,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,44,0.809,809,0.08252916699999968,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,45,0.806,806,0.08423429199999966,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,46,0.818,818,0.08624129199999997,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,47,0.816,816,0.08793479199999998,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,48,0.815,815,0.08962262499999962,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,49,0.81,810,0.09131183399999987,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,50,0.816,816,0.09299541699999958,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,51,0.817,817,0.09467541699999993,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,52,0.811,811,0.09636937499999965,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,53,0.813,813,0.09804537499999988,256,16,160,10,442,442,52,936,416
8,4,4,4,4,16,1000,1000,0.8,4.0,0.0,0,54,0.801,801,0.09972099999999973,256,16,160,10,442,442,52,936,416
