image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_values,local_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,multiply_terms_per_sample
8,4,4,4,1,4,300,300,0.1,0.5,0.0,0,1,0.11333333333333333,34,0.03210237500000046,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.1,0.5,0.0,0,2,0.11333333333333333,34,0.032937707999999954,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.1,0.5,0.0,0,3,0.11333333333333333,34,0.033799500000000204,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.1,0.5,0.0,0,4,0.11333333333333333,34,0.034746125000000294,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.1,0.5,0.0,0,5,0.11333333333333333,34,0.03567300000000051,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.1,0.5,0.0,0,6,0.11333333333333333,34,0.036454125000000115,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.1,0.5,0.0,0,7,0.11333333333333333,34,0.03725029099999988,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.1,0.5,0.0,0,8,0.11333333333333333,34,0.03803024999999982,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.1,0.5,0.0,0,9,0.11333333333333333,34,0.03880483299999993,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.1,0.5,0.0,0,10,0.11333333333333333,34,0.039585375000000145,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.1,0.5,0.0,0,11,0.11333333333333333,34,0.040352458000000535,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.1,0.5,0.0,0,12,0.11333333333333333,34,0.04112258300000038,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.3,1.5,0.0,0,1,0.11333333333333333,34,0.0011875420000002634,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.3,1.5,0.0,0,2,0.11333333333333333,34,0.002049042000000334,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.3,1.5,0.0,0,3,0.11333333333333333,34,0.0028285840000004114,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.3,1.5,0.0,0,4,0.11333333333333333,34,0.0035968340000005483,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.3,1.5,0.0,0,5,0.11333333333333333,34,0.004375125000000146,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.3,1.5,0.0,0,6,0.11333333333333333,34,0.005213334000000458,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.3,1.5,0.0,0,7,0.11333333333333333,34,0.00606891700000034,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.3,1.5,0.0,0,8,0.11333333333333333,34,0.006842875000000248,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.3,1.5,0.0,0,9,0.11333333333333333,34,0.007628584000000771,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.3,1.5,0.0,0,10,0.11333333333333333,34,0.008404917000000012,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.3,1.5,0.0,0,11,0.11333333333333333,34,0.009181333999999985,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.3,1.5,0.0,0,12,0.11333333333333333,34,0.009977042000000047,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.8,4.0,0.0,0,1,0.11333333333333333,34,0.0012246249999998682,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.8,4.0,0.0,0,2,0.14333333333333334,43,0.0023773330000000925,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.8,4.0,0.0,0,3,0.11333333333333333,34,0.0031802500000006617,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.8,4.0,0.0,0,4,0.11333333333333333,34,0.003985958000000345,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.8,4.0,0.0,0,5,0.12,36,0.004809250000000098,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.8,4.0,0.0,0,6,0.26666666666666666,80,0.00595320800000021,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.8,4.0,0.0,0,7,0.22333333333333333,67,0.006766458000000419,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.8,4.0,0.0,0,8,0.23666666666666666,71,0.0075639160000005035,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.8,4.0,0.0,0,9,0.20666666666666667,62,0.00836604100000038,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.8,4.0,0.0,0,10,0.21666666666666667,65,0.009138583000000366,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.8,4.0,0.0,0,11,0.23,69,0.009916083000000242,64,4,40,10,118,118,28,264,104
8,4,4,4,1,4,300,300,0.8,4.0,0.0,0,12,0.26666666666666666,80,0.010692416000000371,64,4,40,10,118,118,28,264,104
8,4,4,4,2,8,300,300,0.1,0.5,0.0,0,1,0.14333333333333334,43,0.002361124999999298,128,8,80,10,226,226,36,488,208
8,4,4,4,2,8,300,300,0.1,0.5,0.0,0,2,0.08,24,0.003277832999999397,128,8,80,10,226,226,36,488,208
8,4,4,4,2,8,300,300,0.1,0.5,0.0,0,3,0.11666666666666667,35,0.004162832999999644,128,8,80,10,226,226,36,488,208
8,4,4,4,2,8,300,300,0.1,0.5,0.0,0,4,0.11333333333333333,34,0.0050391669999996225,128,8,80,10,226,226,36,488,208
8,4,4,4,2,8,300,300,0.1,0.5,0.0,0,5,0.11333333333333333,34,0.005921416999999707,128,8,80,10,226,226,36,488,208
8,4,4,4,2,8,300,300,0.1,0.5,0.0,0,6,0.11333333333333333,34,0.006833707999999383,128,8,80,10,226,226,36,488,208
8,4,4,4,2,8,300,300,0.1,0.5,0.0,0,7,0.11333333333333333,34,0.007722041999999263,128,8,80,10,226,226,36,488,208
