image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_values,local_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,multiply_terms_per_sample
10,4,2,16,2,32,2000,1000,0.03,0.15,0.0,0,1,0.59,590,0.13481708400000025,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.03,0.15,0.0,0,2,0.758,758,0.2527217500000001,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.03,0.15,0.0,0,3,0.834,834,0.3687287920000002,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.03,0.15,0.0,0,4,0.858,858,0.4854297090000004,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.03,0.15,0.0,0,5,0.877,877,0.6039485840000003,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.03,0.15,0.0,0,6,0.871,871,0.7226439170000001,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.03,0.15,0.0,0,7,0.879,879,0.8392567090000003,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.03,0.15,0.0,0,8,0.88,880,0.9551959170000002,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.03,0.15,0.0,0,9,0.888,888,1.0710714590000006,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.03,0.15,0.0,0,10,0.892,892,1.1898245420000002,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.03,0.15,0.0,0,11,0.891,891,1.315996042,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.03,0.15,0.0,0,12,0.897,897,1.430934584,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.03,0.15,0.0,0,13,0.902,902,1.5472433749999999,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.03,0.15,0.0,0,14,0.895,895,1.6664066670000004,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.03,0.15,0.0,0,15,0.909,909,1.7837342500000002,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.08,0.4,0.0,0,1,0.787,787,0.12550795800000003,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.08,0.4,0.0,0,2,0.839,839,0.24804337499999995,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.08,0.4,0.0,0,3,0.852,852,0.3707740409999998,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.08,0.4,0.0,0,4,0.88,880,0.49101508299999974,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.08,0.4,0.0,0,5,0.879,879,0.6156692079999999,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.08,0.4,0.0,0,6,0.886,886,0.7320364579999996,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.08,0.4,0.0,0,7,0.893,893,0.8548162909999997,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.08,0.4,0.0,0,8,0.894,894,0.9714627079999998,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.08,0.4,0.0,0,9,0.904,904,1.0879337500000004,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.08,0.4,0.0,0,10,0.903,903,1.2039514579999997,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.08,0.4,0.0,0,11,0.89,890,1.3247609579999997,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.08,0.4,0.0,0,12,0.895,895,1.4432308330000003,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.08,0.4,0.0,0,13,0.905,905,1.5644357500000003,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.08,0.4,0.0,0,14,0.898,898,1.686029833,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.08,0.4,0.0,0,15,0.902,902,1.8067744579999996,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.1,0.5,0.0,0,1,0.802,802,0.11562791600000022,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.1,0.5,0.0,0,2,0.838,838,0.23236212499999986,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.1,0.5,0.0,0,3,0.861,861,0.34934825000000025,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.1,0.5,0.0,0,4,0.879,879,0.47399166599999987,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.1,0.5,0.0,0,5,0.872,872,0.5974354160000006,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.1,0.5,0.0,0,6,0.9,900,0.7141185830000003,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.1,0.5,0.0,0,7,0.888,888,0.8293895410000003,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.1,0.5,0.0,0,8,0.897,897,0.942988208,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.1,0.5,0.0,0,9,0.893,893,1.0631596660000007,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.1,0.5,0.0,0,10,0.88,880,1.1775881250000007,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.1,0.5,0.0,0,11,0.896,896,1.2995247079999999,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.1,0.5,0.0,0,12,0.9,900,1.4129050000000003,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.1,0.5,0.0,0,13,0.907,907,1.527631125,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.1,0.5,0.0,0,14,0.893,893,1.6416525000000002,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.1,0.5,0.0,0,15,0.9,900,1.7600186659999997,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.15,0.75,0.0,0,1,0.771,771,0.12081566700000046,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.15,0.75,0.0,0,2,0.851,851,0.24066195900000054,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.15,0.75,0.0,0,3,0.857,857,0.3600288340000013,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.15,0.75,0.0,0,4,0.858,858,0.4810295419999999,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.15,0.75,0.0,0,5,0.863,863,0.59850125,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.15,0.75,0.0,0,6,0.864,864,0.7147852500000003,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.15,0.75,0.0,0,7,0.887,887,0.8325130420000004,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.15,0.75,0.0,0,8,0.871,871,0.9526783340000016,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.15,0.75,0.0,0,9,0.888,888,1.0757907920000012,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.15,0.75,0.0,0,10,0.891,891,1.1947117500000015,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.15,0.75,0.0,0,11,0.897,897,1.3114177920000003,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.15,0.75,0.0,0,12,0.902,902,1.4286266670000014,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.15,0.75,0.0,0,13,0.891,891,1.5464745840000003,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.15,0.75,0.0,0,14,0.893,893,1.6624677090000013,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,2000,1000,0.15,0.75,0.0,0,15,0.909,909,1.7810312920000015,512,32,320,10,874,874,84,1832,832
