image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_values,local_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,multiply_terms_per_sample
10,4,2,16,2,32,10000,2000,0.03,0.15,0.0,0,1,0.8605,1721,0.583061458,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,10000,2000,0.03,0.15,0.0,0,2,0.889,1778,1.1192987079999996,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,10000,2000,0.03,0.15,0.0,0,3,0.891,1782,1.6577937919999997,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,10000,2000,0.03,0.15,0.0,0,4,0.9005,1801,2.224068625,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,10000,2000,0.03,0.15,0.0,0,5,0.903,1806,2.7682165420000002,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,10000,2000,0.03,0.15,0.0,0,6,0.911,1822,3.3095689999999998,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,10000,2000,0.03,0.15,0.0,0,7,0.917,1834,3.873292792,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,10000,2000,0.03,0.15,0.0,0,8,0.915,1830,4.406409625,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,10000,2000,0.03,0.15,0.0,0,9,0.92,1840,4.939417333,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,10000,2000,0.03,0.15,0.0,0,10,0.9235,1847,5.475651917,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,10000,2000,0.03,0.15,0.0,0,11,0.9255,1851,6.041284125000001,512,32,320,10,874,874,84,1832,832
10,4,2,16,2,32,10000,2000,0.03,0.15,0.0,0,12,0.92,1840,6.593326542,512,32,320,10,874,874,84,1832,832
