image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_values,local_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,multiply_terms_per_sample
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,1,0.238,476,0.03166374999999988,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,2,0.2675,535,0.06117087500000018,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,3,0.4105,821,0.0913671250000001,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,4,0.504,1008,0.12030533300000013,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,5,0.665,1330,0.1485419160000001,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,6,0.7335,1467,0.17697075000000018,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,7,0.809,1618,0.20507737500000012,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,8,0.8205,1641,0.23354612500000016,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,9,0.8335,1667,0.2624511250000001,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,10,0.8405,1681,0.2912347500000001,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,11,0.848,1696,0.320415541,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,12,0.855,1710,0.3487595410000002,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,13,0.8615,1723,0.3767664580000001,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,14,0.8635,1727,0.4046734999999999,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,15,0.868,1736,0.4332832500000001,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,16,0.869,1738,0.46188179100000015,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,17,0.8665,1733,0.48950591600000015,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,10000,2000,0.1,0.5,0.0,0,18,0.868,1736,0.5175287499999999,450,18,180,10,658,658,56,1372,630
