image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_values,local_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,multiply_terms_per_sample
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,1,0.487,487,0.12946237499999969,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,2,0.797,797,0.24157987499999978,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,3,0.815,815,0.3522473749999997,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,4,0.84,840,0.4648946669999998,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,5,0.852,852,0.5748453339999999,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,6,0.857,857,0.68794675,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,7,0.882,882,0.8021105839999998,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,8,0.868,868,0.9123954589999999,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,9,0.878,878,1.021723417,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,10,0.879,879,1.131864417,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,11,0.884,884,1.2415466249999998,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,12,0.895,895,1.3519152920000002,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,13,0.895,895,1.4598180420000002,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,14,0.896,896,1.569097459,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,15,0.897,897,1.6787832920000003,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,16,0.897,897,1.789940875,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,17,0.896,896,1.899265625,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,18,0.901,901,2.0069954169999997,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,19,0.889,889,2.1149394589999995,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,20,0.904,904,2.2259670419999997,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,21,0.899,899,2.3334846669999996,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,22,0.899,899,2.441114625,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,23,0.899,899,2.549409,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,24,0.895,895,2.658037417,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,25,0.907,907,2.7687262089999995,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,26,0.894,894,2.8770527919999997,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,27,0.896,896,2.986065417,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,28,0.912,912,3.096128167,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,29,0.899,899,3.205262875,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,30,0.907,907,3.3154277919999995,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,31,0.898,898,3.4249642499999995,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,32,0.895,895,3.53379725,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,33,0.91,910,3.6423007499999995,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,34,0.9,900,3.7500142089999997,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,35,0.909,909,3.8596913749999997,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,36,0.905,905,3.9689018339999995,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,37,0.907,907,4.077156,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,38,0.906,906,4.18356575,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,39,0.907,907,4.305906417,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,40,0.905,905,4.422820209,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,41,0.904,904,4.534219125,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,42,0.904,904,4.640339084,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,43,0.901,901,4.747911375,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,44,0.906,906,4.856075167,450,18,180,10,658,658,56,1372,630
