image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_values,local_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,multiply_terms_per_sample
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,1,0.283,283,0.07353708300000017,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,2,0.478,478,0.13121041600000005,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,3,0.677,677,0.1860134160000002,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,4,0.726,726,0.2435130830000003,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,5,0.761,761,0.2995334999999999,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,6,0.793,793,0.3553747079999998,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,7,0.806,806,0.4114712500000004,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,8,0.823,823,0.4690658329999997,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,9,0.827,827,0.5259382499999998,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,10,0.833,833,0.5843473749999997,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,11,0.819,819,0.6441408330000002,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,12,0.845,845,0.70303125,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,13,0.841,841,0.7592360409999999,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,14,0.845,845,0.8176700000000001,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,15,0.835,835,0.8730179159999998,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,16,0.841,841,0.9307418330000004,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,17,0.838,838,0.9907586660000001,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,18,0.84,840,1.045681166,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,19,0.85,850,1.1038199160000004,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,20,0.842,842,1.162273791,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,21,0.85,850,1.21967225,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,22,0.855,855,1.2769395830000003,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,23,0.843,843,1.3348314580000005,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,24,0.847,847,1.392321125,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,25,0.848,848,1.4489025830000002,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,26,0.852,852,1.506215208,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,27,0.844,844,1.5675310000000002,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,28,0.851,851,1.624239625,324,36,360,10,730,730,92,1552,684
8,3,1,36,1,36,1000,1000,0.03,0.15,0.0,0,29,0.848,848,1.684480458,324,36,360,10,730,730,92,1552,684
