image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_values,local_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,multiply_terms_per_sample
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,1,0.446,892,0.4977550420000001,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,2,0.6925,1385,0.9881405000000005,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,3,0.7865,1573,1.4949010839999999,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,4,0.8095,1619,1.973118,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,5,0.833,1666,2.450237667,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,6,0.8325,1665,2.9263635420000003,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,7,0.843,1686,3.414161167,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,8,0.848,1696,3.9450322090000003,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,9,0.8535,1707,4.431470209,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,10,0.852,1704,4.911363625,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,11,0.8545,1709,5.451917333999999,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,12,0.86,1720,5.929074584,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,13,0.867,1734,6.4076255,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,14,0.8655,1731,6.882274459,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,15,0.87,1740,7.3543685,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,16,0.8675,1735,7.8249645,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,17,0.87,1740,8.301982292,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,18,0.876,1752,8.801214459,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,19,0.8675,1735,9.274248709,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,20,0.8735,1747,9.7760215,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,21,0.875,1750,10.274016542,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,22,0.872,1744,10.765281209,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,23,0.8795,1759,11.260766417,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,24,0.876,1752,11.75246725,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,25,0.8745,1749,12.232494083999999,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,26,0.8815,1763,12.700361833999999,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,27,0.88,1760,13.175172792,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,28,0.8815,1763,13.647621,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,29,0.877,1754,14.121976041999998,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,30,0.879,1758,14.607379125,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,31,0.8765,1753,15.104846624999999,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,32,0.877,1754,15.595492041999998,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,33,0.8815,1763,16.085068209000003,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,34,0.882,1764,16.583030875000002,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,35,0.8835,1767,17.073098084,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,36,0.8825,1765,17.550601875,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,37,0.8865,1773,18.03708125,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,38,0.883,1766,18.51803925,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,39,0.8825,1765,19.009980209000002,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,40,0.881,1762,19.493178334000003,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,41,0.882,1764,19.967868250000002,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,42,0.8845,1769,20.456362834,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,43,0.883,1766,20.949142209,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,44,0.8855,1771,21.4275585,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,10000,2000,0.006,0.03,0.0,0,45,0.887,1774,21.915817875000002,225,9,90,10,334,334,38,706,315
