image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_values,local_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,multiply_terms_per_sample
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,1,0.3035,607,0.1223613750000001,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,2,0.5565,1113,0.22649862500000006,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,3,0.69,1380,0.3298495840000002,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,4,0.735,1470,0.5677237500000003,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,5,0.81,1620,0.6801307919999999,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,6,0.8095,1619,0.7839954589999998,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,7,0.821,1642,0.8860068750000005,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,8,0.827,1654,0.9890388340000005,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,9,0.823,1646,1.0913140840000004,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,10,0.847,1694,1.1927274170000004,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,11,0.842,1684,1.2951432920000006,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,12,0.8405,1681,1.3988647500000004,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,13,0.8535,1707,1.5029572920000005,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,14,0.8575,1715,1.6066485000000004,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,15,0.851,1702,1.7089332920000002,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,16,0.848,1696,1.8114709170000003,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,17,0.857,1714,1.914598334,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,18,0.8605,1721,2.0182312090000005,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,19,0.852,1704,2.1220887500000005,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,20,0.859,1718,2.2255066670000003,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,21,0.8585,1717,2.3279236250000004,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,22,0.8605,1721,2.4319905420000003,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,23,0.8595,1719,2.5354916670000005,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,24,0.854,1708,2.638563542,225,9,90,10,334,334,38,706,315
7,5,1,9,1,9,2000,2000,0.02,0.1,0.0,0,25,0.862,1724,2.7437728750000003,225,9,90,10,334,334,38,706,315
