image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_values,local_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,multiply_terms_per_sample
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,1,0.6815,1363,0.2546407500000001,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,2,0.8355,1671,0.4981532080000002,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,3,0.862,1724,0.7416972080000002,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,4,0.865,1730,1.0308395,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,5,0.8695,1739,1.2748040830000003,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,6,0.8815,1763,1.5155641659999999,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,7,0.8815,1763,1.7502150409999997,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,8,0.8735,1747,1.9836445410000003,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,9,0.891,1782,2.2251059160000004,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,10,0.8825,1765,2.488890958,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,11,0.8835,1767,2.760760875,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,12,0.8935,1787,2.9995699580000004,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,13,0.8875,1775,3.235039166,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,14,0.891,1782,3.470609875,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,15,0.8945,1789,3.708142958,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,16,0.8895,1779,3.942639916,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,17,0.885,1770,4.178857041,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,18,0.8915,1783,4.414248791,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,19,0.8955,1791,4.650864958,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,20,0.888,1776,4.886079790999999,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,21,0.894,1788,5.120021875,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,22,0.8945,1789,5.356176083,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,23,0.8885,1777,5.5910621659999995,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,24,0.8925,1785,5.8409942500000005,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,25,0.8945,1789,6.08023975,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,26,0.8945,1789,6.32355075,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,27,0.896,1792,6.563249416000001,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,28,0.893,1786,6.8016429579999995,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,29,0.8885,1777,7.039837208000001,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,30,0.8925,1785,7.2735133329999995,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,31,0.891,1782,7.516425708000001,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,32,0.8935,1787,7.7735487910000005,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,33,0.889,1778,8.014860708,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,34,0.8915,1783,8.245586041,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,35,0.894,1788,8.476105458,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,36,0.902,1804,8.709840916000001,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,37,0.895,1790,8.941382333,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,38,0.8955,1791,9.180919458000002,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,39,0.898,1796,9.412365041000001,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,40,0.899,1798,9.641062416,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,41,0.8965,1793,9.880188208,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,42,0.8955,1791,10.128091208,288,18,180,10,496,496,56,1048,468
9,4,2,9,2,18,5000,2000,0.02,0.1,0.0,0,43,0.9015,1803,10.366023791,288,18,180,10,496,496,56,1048,468
