channels,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,epoch,test_accuracy,test_correct,trial_wall_time_s
8,0.3,1.5,0.0,1,0.374,374,0.007617000000000207
8,0.3,1.5,0.0,2,0.444,444,0.014500375000000343
8,0.3,1.5,0.0,3,0.58,580,0.019591708000000096
8,0.3,1.5,0.0,4,0.722,722,0.024675208000000115
8,0.3,1.5,0.0,5,0.737,737,0.029736125000000335
8,0.3,1.5,0.0,6,0.751,751,0.0346915830000003
8,0.3,1.5,0.0,7,0.809,809,0.039645042000000075
8,0.3,1.5,0.0,8,0.817,817,0.044769250000000316
8,0.3,1.5,0.0,9,0.832,832,0.05002933300000034
8,0.3,1.5,0.0,10,0.844,844,0.05501487499999991
8,0.3,1.5,0.0,11,0.861,861,0.060034708000000325
8,0.3,1.5,0.0,12,0.865,865,0.0652330830000003
8,0.3,1.5,0.0,13,0.862,862,0.069604
8,0.3,1.5,0.0,14,0.867,867,0.07472995800000026
8,0.3,1.5,0.0,15,0.87,870,0.07974195800000006
8,0.3,1.5,0.0,16,0.875,875,0.08449208300000022
8,0.3,1.5,0.0,17,0.876,876,0.08935724999999994
8,0.3,1.5,0.0,18,0.879,879,0.0941252079999999
8,0.3,1.5,0.0,19,0.883,883,0.09911579200000009
8,0.3,1.5,0.0,20,0.886,886,0.10389095800000003
8,0.3,1.5,0.0,21,0.886,886,0.10817445800000014
8,0.3,1.5,0.0,22,0.883,883,0.11247975000000032
8,0.3,1.5,0.0,23,0.889,889,0.11738099999999996
8,0.3,1.5,0.0,24,0.888,888,0.12171420800000021
8,0.3,1.5,0.0,25,0.9,900,0.12655720799999992
8,0.3,1.5,0.0,26,0.896,896,0.13081483300000007
8,0.3,1.5,0.0,27,0.898,898,0.1351166250000002
8,0.3,1.5,0.0,28,0.897,897,0.1393814579999999
8,0.3,1.5,0.0,29,0.9,900,0.14380541700000027
8,0.3,1.5,0.0,30,0.905,905,0.14937725000000013
8,0.3,1.5,0.0,31,0.906,906,0.15461637500000025
8,0.3,1.5,0.0,32,0.905,905,0.15897200000000034
8,0.3,1.5,0.0,33,0.903,903,0.16324249999999996
8,0.3,1.5,0.0,34,0.908,908,0.16813237500000033
8,0.3,1.5,0.0,35,0.907,907,0.17240158300000008
8,0.3,1.5,0.0,36,0.907,907,0.17665429200000027
8,0.3,1.5,0.0,37,0.905,905,0.18138204200000008
8,0.3,1.5,0.0,38,0.907,907,0.18585058300000012
8,0.3,1.5,0.0,39,0.908,908,0.19043441700000008
8,0.3,1.5,0.0,40,0.907,907,0.19502504200000015
8,0.3,1.5,0.0,41,0.911,911,0.20038416700000017
8,0.3,1.5,0.0,42,0.912,912,0.20567045800000017
8,0.3,1.5,0.0,43,0.911,911,0.20994929200000012
8,0.3,1.5,0.0,44,0.909,909,0.21421416700000018
8,0.3,1.5,0.0,45,0.911,911,0.2187371250000001
8,0.3,1.5,0.0,46,0.912,912,0.22318841700000025
8,0.3,1.5,0.0,47,0.911,911,0.22817429200000028
8,0.3,1.5,0.0,48,0.905,905,0.23300750000000026
8,0.3,1.5,0.0,49,0.908,908,0.23750804199999997
8,0.3,1.5,0.0,50,0.91,910,0.2419040830000001
8,0.3,1.5,0.0,51,0.914,914,0.24733345799999995
8,0.3,1.5,0.0,52,0.915,915,0.252406417
8,0.3,1.5,0.0,53,0.912,912,0.25672362500000023
8,0.3,1.5,0.0,54,0.914,914,0.2609944580000003
8,0.3,1.5,0.0,55,0.913,913,0.2655047500000003
8,0.3,1.5,0.0,56,0.91,910,0.27012316699999994
8,0.3,1.5,0.0,57,0.912,912,0.2747219169999999
8,0.3,1.5,0.0,58,0.919,919,0.2800734170000001
8,0.3,1.5,0.0,59,0.917,917,0.28461075000000013
8,0.3,1.5,0.0,60,0.918,918,0.28886091700000005
8,0.3,1.5,0.0001,1,0.445,445,0.00593716699999991
8,0.3,1.5,0.0001,2,0.455,455,0.011523374999999891
8,0.3,1.5,0.0001,3,0.573,573,0.01704183299999995
8,0.3,1.5,0.0001,4,0.713,713,0.022582750000000207
8,0.3,1.5,0.0001,5,0.759,759,0.028141082999999956
8,0.3,1.5,0.0001,6,0.775,775,0.03357674999999993
