image_size,block_size,stride,blocks,shared_channels,private_channels,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_sharing,shared_weight_values,shared_bias_values,private_weight_values,private_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,expanded_weight_equivalent_values,multiply_terms_per_sample
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,1,0.406,406,0.4742236669999986,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,2,0.647,647,0.815375542,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,3,0.74,740,1.141289541999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,4,0.76,760,1.408994999999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,5,0.795,795,1.6936839999999993,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,6,0.823,823,1.98615225,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,7,0.834,834,2.3523531249999987,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,8,0.831,831,2.762991874999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,9,0.833,833,3.12363225,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,10,0.863,863,3.454596167,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,11,0.85,850,3.6873077079999987,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,12,0.857,857,3.928491124999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,13,0.859,859,4.138713082999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,14,0.865,865,4.446671666999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,15,0.859,859,4.785790707999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,16,0.871,871,5.044091249999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,17,0.872,872,5.257287083,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,18,0.86,860,5.46569575,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,19,0.865,865,5.673098791999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,20,0.867,867,5.885198707999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,21,0.863,863,6.109275917,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
